Machine Name,Netzsch TG 209F1 Libra ,P35,,,P40,,,P45,
,Nitrogen flow (at a rate of 50 mL.min−1) between 25 °C and 600 °C at a heating rate of 10 °C min−1,Temperature / °C,Derivative Weight  / °C.%-1,,Temperature / °C,Derivative Weight  / °C.%-1,,Temperature / °C,Derivative Weight  / °C.%-1
,,460.80,-1.79,,461.07,-1.73,,459.09,-1.68
,,461.80,-1.64,,462.07,-1.59,,460.09,-1.56
,,462.80,-1.50,,463.07,-1.44,,461.09,-1.44
,,463.80,-1.37,,464.07,-1.31,,462.09,-1.33
,,464.80,-1.23,,465.07,-1.18,,463.09,-1.20
,,465.80,-1.10,,466.07,-1.04,,464.09,-1.08
,,466.80,-0.97,,467.07,-0.92,,465.09,-0.98
,,467.80,-0.85,,468.07,-0.80,,466.09,-0.86
,,468.80,-0.74,,469.07,-0.68,,467.09,-0.76
,,469.80,-0.64,,470.07,-0.58,,468.09,-0.66
,,470.80,-0.54,,471.07,-0.49,,469.09,-0.56
,,471.80,-0.47,,472.07,-0.44,,470.09,-0.48
,,472.80,-0.41,,473.07,-0.37,,471.09,-0.41
,,473.80,-0.33,,474.07,-0.29,,472.09,-0.34
,,474.80,-0.28,,475.07,-0.24,,473.09,-0.28
,,475.80,-0.23,,476.07,-0.19,,474.09,-0.23
,,476.80,-0.18,,477.07,-0.15,,475.09,-0.20
,,477.80,-0.15,,478.07,-0.11,,476.09,-0.17
,,478.80,-0.11,,479.07,-0.09,,477.09,-0.14
,,479.80,-0.09,,480.07,-0.07,,478.09,-0.11
,,480.80,-0.08,,481.07,-0.05,,479.09,-0.08
,,481.80,-0.05,,482.07,-0.04,,480.09,-0.06
,,482.80,-0.04,,483.07,-0.03,,481.09,-0.05
,,483.80,-0.04,,484.07,-0.03,,482.09,-0.04
,,484.80,-0.03,,485.07,-0.03,,483.09,-0.03
,,485.80,-0.02,,486.07,-0.02,,484.09,-0.03
,,486.80,-0.02,,487.07,-0.01,,485.09,-0.03
,,487.80,-0.02,,488.07,-0.01,,486.09,-0.02
,,488.80,-0.02,,489.07,-0.01,,487.09,-0.02
,,489.80,-0.02,,490.07,-0.01,,488.09,-0.02
,,490.80,-0.02,,491.07,-0.01,,489.09,-0.01
,,491.80,-0.02,,492.07,-0.01,,490.09,-0.01
,,492.80,-0.01,,493.07,-0.01,,491.09,-0.01
,,493.80,-0.02,,494.07,-0.02,,492.09,-0.01
,,494.80,-0.01,,495.07,-0.01,,493.09,-0.01
,,495.80,-0.02,,496.07,-0.01,,494.09,-0.01
,,496.80,-0.02,,497.07,-0.01,,495.09,-0.01
,,497.80,-0.01,,498.07,-0.01,,496.09,-0.01
,,498.80,-0.01,,499.07,-0.01,,497.09,-0.01
,,499.80,-0.01,,500.07,-0.01,,498.09,-0.01
,,500.80,-0.01,,501.07,-0.01,,499.09,-0.01
,,501.80,-0.01,,502.07,-0.01,,500.09,-0.01
,,502.80,-0.01,,503.07,-0.01,,501.09,-0.01
,,503.80,-0.01,,504.07,-0.01,,502.09,-0.01
,,504.80,-0.01,,505.07,-0.01,,503.09,0.00
,,505.80,-0.01,,506.07,-0.01,,504.09,-0.01
,,506.80,-0.01,,507.07,-0.01,,505.09,-0.01
,,507.80,-0.01,,508.07,-0.01,,506.09,-0.01
,,508.80,-0.01,,509.07,-0.01,,507.09,-0.01
,,509.80,-0.01,,510.07,-0.01,,508.09,-0.01
,,510.80,-0.01,,511.07,-0.01,,509.09,-0.01
,,511.80,-0.01,,512.07,-0.01,,510.09,-0.01
,,512.80,0.00,,513.07,-0.01,,511.09,-0.01
,,513.80,-0.01,,514.07,-0.01,,512.09,-0.01
,,514.80,-0.01,,515.07,-0.01,,513.09,-0.01
,,515.80,-0.01,,516.07,-0.01,,514.09,-0.01
,,516.80,-0.01,,517.07,0.00,,515.09,-0.01
,,517.80,-0.01,,518.07,-0.01,,516.09,-0.01
,,518.80,-0.02,,519.07,-0.01,,517.09,-0.01
,,519.80,-0.01,,520.07,-0.01,,518.09,-0.01
,,520.80,-0.01,,521.07,-0.01,,519.09,-0.02
,,521.80,-0.01,,522.07,-0.01,,520.09,-0.01
,,522.80,-0.01,,523.07,-0.01,,521.09,-0.01
,,523.80,-0.01,,524.07,-0.01,,522.09,-0.01
,,524.80,-0.01,,525.07,-0.01,,523.09,-0.01
,,525.80,-0.01,,526.07,0.00,,524.09,-0.01
,,526.80,-0.01,,527.07,-0.01,,525.09,-0.01
,,527.80,-0.01,,528.07,-0.01,,526.09,-0.01
,,528.80,-0.01,,529.07,-0.01,,527.09,-0.01
,,529.80,-0.01,,530.07,-0.01,,528.09,-0.01
,,530.80,-0.01,,531.07,-0.01,,529.09,-0.01
,,531.80,-0.01,,532.07,-0.01,,530.09,-0.01
,,532.80,-0.01,,533.07,-0.01,,531.09,-0.01
,,533.80,-0.01,,534.07,-0.01,,532.09,-0.01
,,534.80,-0.01,,535.07,-0.01,,533.09,0.00
,,535.80,-0.01,,536.07,-0.01,,534.09,-0.01
,,536.80,-0.01,,537.07,-0.01,,535.09,0.00
,,537.80,-0.01,,538.07,-0.01,,536.09,0.00
,,538.80,-0.01,,539.07,-0.01,,537.09,0.00
,,539.80,-0.01,,540.07,-0.01,,538.09,-0.01
,,540.80,-0.02,,541.07,-0.01,,539.09,-0.01
,,541.80,-0.01,,542.07,-0.01,,540.09,-0.01
,,542.80,-0.01,,543.07,-0.01,,541.09,-0.01
,,543.80,-0.01,,544.07,-0.01,,542.09,-0.01
,,544.80,-0.02,,545.07,-0.01,,543.09,-0.01
,,545.80,-0.02,,546.07,-0.01,,544.09,-0.01
,,546.80,-0.01,,547.07,-0.01,,545.09,-0.01
,,547.80,-0.01,,548.07,-0.01,,546.09,-0.01
,,548.80,-0.02,,549.07,-0.01,,547.09,-0.01
,,549.80,-0.02,,550.07,-0.01,,548.09,-0.01
,,550.80,-0.02,,551.07,-0.01,,549.09,-0.01
,,551.80,-0.02,,552.07,-0.01,,550.09,-0.01
,,552.80,-0.02,,553.07,-0.01,,551.09,-0.01
,,553.80,-0.02,,554.07,-0.01,,552.09,-0.01
,,554.80,-0.02,,555.07,0.00,,553.09,-0.01
,,555.80,-0.01,,556.07,-0.01,,554.09,-0.01
,,556.80,-0.01,,557.07,-0.01,,555.09,-0.01
,,557.80,-0.01,,558.07,-0.01,,556.09,-0.01
,,558.80,-0.02,,559.07,-0.01,,557.09,-0.01
,,559.80,-0.02,,560.07,-0.01,,558.09,-0.01
,,560.80,-0.02,,561.07,-0.01,,559.09,-0.01
,,561.80,-0.01,,562.07,0.00,,560.09,-0.01
,,562.80,-0.01,,563.07,0.00,,561.09,-0.01
,,563.80,-0.02,,564.07,-0.01,,562.09,-0.01
,,564.80,-0.02,,565.07,-0.01,,563.09,-0.01
,,565.80,-0.02,,566.07,0.00,,564.09,-0.01
,,566.80,-0.01,,567.07,0.00,,565.09,-0.01
,,567.80,-0.01,,568.07,0.00,,566.09,-0.01
,,568.80,-0.01,,569.07,0.00,,567.09,-0.01
,,569.80,-0.01,,570.07,0.00,,568.09,-0.01
,,570.80,-0.01,,571.07,-0.01,,569.09,-0.01
,,571.80,-0.01,,572.07,-0.01,,570.09,-0.01
,,572.80,-0.01,,573.07,0.00,,571.09,-0.01
,,573.80,-0.01,,574.07,0.00,,572.09,-0.01
,,574.80,-0.01,,575.07,0.00,,573.09,0.00
,,575.80,-0.01,,576.07,0.00,,574.09,0.00
,,576.80,-0.01,,577.07,-0.01,,575.09,-0.01
,,577.80,-0.01,,578.07,-0.01,,576.09,-0.01
,,578.80,-0.01,,579.07,-0.02,,577.09,-0.01
,,579.80,-0.02,,580.07,-0.01,,578.09,-0.01
,,580.80,-0.01,,581.07,-0.01,,579.09,-0.02
,,581.80,-0.01,,582.07,-0.01,,580.09,-0.02
,,582.80,-0.01,,583.07,-0.01,,581.09,-0.01
,,583.80,-0.01,,584.07,-0.01,,582.09,-0.01
,,584.80,-0.02,,585.07,-0.01,,583.09,-0.01
,,585.80,-0.02,,586.07,-0.01,,584.09,-0.01
,,586.80,-0.01,,587.07,0.00,,585.09,-0.01
,,587.80,-0.01,,588.07,-0.01,,586.09,-0.01
,,588.80,-0.01,,589.07,-0.01,,587.09,-0.01
,,589.80,-0.01,,590.07,-0.02,,588.09,-0.01
,,590.80,-0.01,,591.07,-0.02,,589.09,-0.01
,,591.80,-0.01,,592.07,-0.02,,590.09,-0.01
,,592.80,-0.02,,593.07,-0.01,,591.09,-0.02
,,593.80,-0.02,,594.07,0.00,,592.09,-0.01
,,594.80,-0.01,,595.07,-0.01,,593.09,-0.01
,,595.80,-0.01,,596.07,-0.01,,594.09,0.00
,,596.80,0.00,,597.07,-0.02,,595.09,-0.01
,,597.80,0.01,,598.07,-0.04,,596.09,-0.01
,,598.80,-0.04,,599.07,-0.02,,597.09,-0.02
,,,,,,,,598.09,-0.022338
