Machine Name,Netzsch TG 209F1 Libra ,P35,,,P40,,,P45,
,Nitrogen flow (at a rate of 50 mL.min−1) between 25 °C and 600 °C at a heating rate of 10 °C min−1,Temperature / °C,Derivative Weight  / °C.%-1,,Temperature / °C,Derivative Weight  / °C.%-1,,Temperature / °C,Derivative Weight  / °C.%-1
,,123.80,-0.10,,124.07,-0.09,,122.09,-0.15
,,124.80,-0.10,,125.07,-0.09,,123.09,-0.16
,,125.80,-0.11,,126.07,-0.09,,124.09,-0.16
,,126.80,-0.11,,127.07,-0.09,,125.09,-0.17
,,127.80,-0.12,,128.07,-0.10,,126.09,-0.17
,,128.80,-0.12,,129.07,-0.10,,127.09,-0.18
,,129.80,-0.12,,130.07,-0.10,,128.09,-0.18
,,130.80,-0.13,,131.07,-0.10,,129.09,-0.18
,,131.80,-0.13,,132.07,-0.10,,130.09,-0.19
,,132.80,-0.13,,133.07,-0.10,,131.09,-0.19
,,133.80,-0.14,,134.07,-0.10,,132.09,-0.20
,,134.80,-0.15,,135.07,-0.11,,133.09,-0.21
,,135.80,-0.15,,136.07,-0.12,,134.09,-0.22
,,136.80,-0.15,,137.07,-0.12,,135.09,-0.22
,,137.80,-0.16,,138.07,-0.12,,136.09,-0.23
,,138.80,-0.16,,139.07,-0.12,,137.09,-0.23
,,139.80,-0.16,,140.07,-0.13,,138.09,-0.25
,,140.80,-0.17,,141.07,-0.14,,139.09,-0.26
,,141.80,-0.19,,142.07,-0.14,,140.09,-0.27
,,142.80,-0.19,,143.07,-0.15,,141.09,-0.27
,,143.80,-0.20,,144.07,-0.15,,142.09,-0.28
,,144.80,-0.20,,145.07,-0.15,,143.09,-0.30
,,145.80,-0.21,,146.07,-0.16,,144.09,-0.32
,,146.80,-0.21,,147.07,-0.16,,145.09,-0.32
,,147.80,-0.22,,148.07,-0.17,,146.09,-0.33
,,148.80,-0.22,,149.07,-0.18,,147.09,-0.35
,,149.80,-0.24,,150.07,-0.18,,148.09,-0.36
,,150.80,-0.26,,151.07,-0.19,,149.09,-0.37
,,151.80,-0.26,,152.07,-0.19,,150.09,-0.39
,,152.80,-0.27,,153.07,-0.20,,151.09,-0.41
,,153.80,-0.29,,154.07,-0.21,,152.09,-0.42
,,154.80,-0.29,,155.07,-0.22,,153.09,-0.43
,,155.80,-0.30,,156.07,-0.23,,154.09,-0.45
,,156.80,-0.31,,157.07,-0.24,,155.09,-0.47
,,157.80,-0.32,,158.07,-0.24,,156.09,-0.48
,,158.80,-0.32,,159.07,-0.25,,157.09,-0.50
,,159.80,-0.33,,160.07,-0.25,,158.09,-0.51
,,160.80,-0.34,,161.07,-0.26,,159.09,-0.53
,,161.80,-0.35,,162.07,-0.27,,160.09,-0.54
,,162.80,-0.36,,163.07,-0.28,,161.09,-0.55
,,163.80,-0.38,,164.07,-0.29,,162.09,-0.57
,,164.80,-0.38,,165.07,-0.29,,163.09,-0.59
,,165.80,-0.39,,166.07,-0.30,,164.09,-0.61
,,166.80,-0.40,,167.07,-0.31,,165.09,-0.62
,,167.80,-0.41,,168.07,-0.32,,166.09,-0.64
,,168.80,-0.42,,169.07,-0.32,,167.09,-0.65
,,169.80,-0.42,,170.07,-0.32,,168.09,-0.66
,,170.80,-0.43,,171.07,-0.32,,169.09,-0.68
,,171.80,-0.44,,172.07,-0.32,,170.09,-0.69
,,172.80,-0.44,,173.07,-0.32,,171.09,-0.69
,,173.80,-0.44,,174.07,-0.32,,172.09,-0.70
,,174.80,-0.45,,175.07,-0.32,,173.09,-0.70
,,175.80,-0.45,,176.07,-0.32,,174.09,-0.71
,,176.80,-0.45,,177.07,-0.32,,175.09,-0.71
,,177.80,-0.44,,178.07,-0.32,,176.09,-0.71
,,178.80,-0.44,,179.07,-0.32,,177.09,-0.70
,,179.80,-0.45,,180.07,-0.32,,178.09,-0.70
,,180.80,-0.44,,181.07,-0.31,,179.09,-0.70
,,181.80,-0.43,,182.07,-0.31,,180.09,-0.69
,,182.80,-0.43,,183.07,-0.30,,181.09,-0.68
,,183.80,-0.42,,184.07,-0.30,,182.09,-0.66
,,184.80,-0.41,,185.07,-0.29,,183.09,-0.65
,,185.80,-0.39,,186.07,-0.29,,184.09,-0.63
,,186.80,-0.38,,187.07,-0.29,,185.09,-0.62
,,187.80,-0.37,,188.07,-0.28,,186.09,-0.59
,,188.80,-0.36,,189.07,-0.28,,187.09,-0.57
,,189.80,-0.34,,190.07,-0.27,,188.09,-0.55
,,190.80,-0.34,,191.07,-0.26,,189.09,-0.53
,,191.80,-0.33,,192.07,-0.26,,190.09,-0.51
,,192.80,-0.32,,193.07,-0.25,,191.09,-0.50
,,193.80,-0.31,,194.07,-0.25,,192.09,-0.48
,,194.80,-0.31,,195.07,-0.24,,193.09,-0.46
,,195.80,-0.30,,196.07,-0.24,,194.09,-0.44
,,196.80,-0.29,,197.07,-0.23,,195.09,-0.43
,,197.80,-0.28,,198.07,-0.23,,196.09,-0.40
,,198.80,-0.27,,199.07,-0.22,,197.09,-0.39
,,199.80,-0.26,,200.07,-0.21,,198.09,-0.37
,,200.80,-0.25,,201.07,-0.21,,199.09,-0.36
,,201.80,-0.25,,202.07,-0.20,,200.09,-0.34
,,202.80,-0.25,,203.07,-0.20,,201.09,-0.33
,,203.80,-0.24,,204.07,-0.19,,202.09,-0.33
,,204.80,-0.23,,205.07,-0.19,,203.09,-0.32
,,205.80,-0.23,,206.07,-0.18,,204.09,-0.31
,,206.80,-0.22,,207.07,-0.18,,205.09,-0.31
,,207.80,-0.22,,208.07,-0.18,,206.09,-0.30
,,208.80,-0.22,,209.07,-0.18,,207.09,-0.29
,,209.80,-0.22,,210.07,-0.18,,208.09,-0.29
,,210.80,-0.20,,211.07,-0.18,,209.09,-0.28
,,211.80,-0.20,,212.07,-0.18,,210.09,-0.28
,,212.80,-0.20,,213.07,-0.18,,211.09,-0.28
,,213.80,-0.19,,214.07,-0.18,,212.09,-0.27
,,214.80,-0.19,,215.07,-0.18,,213.09,-0.27
,,215.80,-0.19,,216.07,-0.19,,214.09,-0.26
,,216.80,-0.19,,217.07,-0.19,,215.09,-0.26
,,217.80,-0.19,,218.07,-0.19,,216.09,-0.26
,,218.80,-0.19,,219.07,-0.19,,217.09,-0.26
,,219.80,-0.19,,220.07,-0.19,,218.09,-0.26
,,220.80,-0.19,,221.07,-0.19,,219.09,-0.25
,,221.80,-0.19,,222.07,-0.20,,220.09,-0.26
,,222.80,-0.19,,223.07,-0.20,,221.09,-0.25
,,223.80,-0.19,,224.07,-0.21,,222.09,-0.25
,,224.80,-0.19,,225.07,-0.21,,223.09,-0.26
,,225.80,-0.19,,226.07,-0.22,,224.09,-0.26
,,226.80,-0.19,,227.07,-0.22,,225.09,-0.26
,,227.80,-0.20,,228.07,-0.22,,226.09,-0.26
,,228.80,-0.21,,229.07,-0.23,,227.09,-0.26
,,229.80,-0.21,,230.07,-0.24,,228.09,-0.26
,,230.80,-0.21,,231.07,-0.25,,229.09,-0.27
,,231.80,-0.21,,232.07,-0.25,,230.09,-0.27
,,232.80,-0.21,,233.07,-0.25,,231.09,-0.27
,,233.80,-0.22,,234.07,-0.26,,232.09,-0.28
,,234.80,-0.21,,235.07,-0.27,,233.09,-0.28
,,235.80,-0.22,,236.07,-0.28,,234.09,-0.29
,,236.80,-0.24,,237.07,-0.29,,235.09,-0.30
,,237.80,-0.24,,238.07,-0.29,,236.09,-0.30
,,238.80,-0.25,,239.07,-0.30,,237.09,-0.31
,,239.80,-0.26,,240.07,-0.31,,238.09,-0.32
,,240.80,-0.27,,241.07,-0.31,,239.09,-0.33
,,241.80,-0.28,,242.07,-0.32,,240.09,-0.33
,,242.80,-0.29,,243.07,-0.34,,241.09,-0.35
,,243.80,-0.30,,244.07,-0.35,,242.09,-0.36
,,244.80,-0.31,,245.07,-0.36,,243.09,-0.37
,,245.80,-0.32,,246.07,-0.38,,244.09,-0.39
,,246.80,-0.33,,247.07,-0.39,,245.09,-0.41
,,247.80,-0.35,,248.07,-0.41,,246.09,-0.42
,,248.80,-0.37,,249.07,-0.43,,247.09,-0.43
,,249.80,-0.40,,250.07,-0.45,,248.09,-0.46
,,250.80,-0.42,,251.07,-0.47,,249.09,-0.48
,,251.80,-0.44,,252.07,-0.50,,250.09,-0.51
,,252.80,-0.48,,253.07,-0.52,,251.09,-0.54
,,253.80,-0.50,,254.07,-0.55,,252.09,-0.57
,,254.80,-0.53,,255.07,-0.59,,253.09,-0.59
,,255.80,-0.56,,256.07,-0.63,,254.09,-0.63
,,256.80,-0.61,,257.07,-0.68,,255.09,-0.69
,,257.80,-0.69,,258.07,-0.72,,256.09,-0.74
,,258.80,-0.74,,259.07,-0.80,,257.09,-0.81
,,259.80,-0.82,,260.07,-0.86,,258.09,-0.87
,,260.80,-0.89,,261.07,-0.94,,259.09,-0.94
,,261.80,-0.97,,262.07,-1.02,,260.09,-1.01
,,262.80,-1.05,,263.07,-1.11,,261.09,-1.10
,,263.80,-1.16,,264.07,-1.20,,262.09,-1.19
,,264.80,-1.28,,265.07,-1.31,,263.09,-1.29
,,265.80,-1.39,,266.07,-1.42,,264.09,-1.41
,,266.80,-1.52,,267.07,-1.55,,265.09,-1.54
,,267.80,-1.64,,268.07,-1.70,,266.09,-1.68
,,268.80,-1.79,,269.07,-1.86,,267.09,-1.84
,,269.80,-1.96,,270.07,-2.05,,268.09,-2.03
,,270.80,-2.11,,271.07,-2.25,,269.09,-2.24
,,271.80,-2.26,,272.07,-2.45,,270.09,-2.47
,,272.80,-2.41,,273.07,-2.67,,271.09,-2.73
,,273.80,-2.54,,274.07,-2.89,,272.09,-3.00
,,274.80,-2.64,,275.07,-3.11,,273.09,-3.26
,,275.80,-2.72,,276.07,-3.34,,274.09,-3.61
,,276.80,-2.75,,277.07,-3.50,,275.09,-3.97
,,277.80,-2.77,,278.07,-3.67,,276.09,-4.34
,,278.80,-2.74,,279.07,-3.81,,277.09,-4.73
,,279.80,-2.70,,280.07,-3.93,,278.09,-5.10
,,280.80,-2.65,,281.07,-3.98,,279.09,-5.35
,,281.80,-2.58,,282.07,-3.99,,280.09,-5.48
,,282.80,-2.50,,283.07,-3.98,,281.09,-5.54
,,283.80,-2.43,,284.07,-3.93,,282.09,-5.55
,,284.80,-2.31,,285.07,-3.85,,283.09,-5.52
,,285.80,-2.20,,286.07,-3.76,,284.09,-5.46
,,286.80,-2.07,,287.07,-3.65,,285.09,-5.36
,,287.80,-1.95,,288.07,-3.52,,286.09,-5.24
,,288.80,-1.80,,289.07,-3.38,,287.09,-5.11
,,289.80,-1.73,,290.07,-3.21,,288.09,-4.95
,,290.80,-1.62,,291.07,-3.01,,289.09,-4.78
,,291.80,-1.52,,292.07,-2.85,,290.09,-4.56
,,292.80,-1.46,,293.07,-2.68,,291.09,-4.32
,,293.80,-1.42,,294.07,-2.52,,292.09,-4.04
,,294.80,-1.39,,295.07,-2.37,,293.09,-3.71
,,295.80,-1.39,,296.07,-2.24,,294.09,-3.37
,,296.80,-1.43,,297.07,-2.14,,295.09,-3.02
,,297.80,-1.48,,298.07,-2.06,,296.09,-2.70
,,298.80,-1.51,,299.07,-2.03,,297.09,-2.51
,,299.80,-1.57,,300.07,-2.05,,298.09,-2.42
,,300.80,-1.63,,301.07,-2.07,,299.09,-2.37
,,301.80,-1.67,,302.07,-2.11,,300.09,-2.36
,,302.80,-1.75,,303.07,-2.17,,301.09,-2.38
,,303.80,-1.83,,304.07,-2.22,,302.09,-2.42
,,304.80,-1.88,,305.07,-2.28,,303.09,-2.45
,,305.80,-1.96,,306.07,-2.35,,304.09,-2.49
,,306.80,-2.01,,307.07,-2.43,,305.09,-2.55
,,307.80,-2.06,,308.07,-2.53,,306.09,-2.60
,,308.80,-2.13,,309.07,-2.60,,307.09,-2.66
,,309.80,-2.20,,310.07,-2.67,,308.09,-2.72
,,310.80,-2.27,,311.07,-2.74,,309.09,-2.80
,,311.80,-2.33,,312.07,-2.81,,310.09,-2.87
,,312.80,-2.42,,313.07,-2.90,,311.09,-2.95
,,313.80,-2.51,,314.07,-2.99,,312.09,-3.03
,,314.80,-2.59,,315.07,-3.07,,313.09,-3.11
,,315.80,-2.69,,316.07,-3.17,,314.09,-3.19
,,316.80,-2.79,,317.07,-3.27,,315.09,-3.27
,,317.80,-2.89,,318.07,-3.36,,316.09,-3.36
,,318.80,-3.00,,319.07,-3.46,,317.09,-3.45
,,319.80,-3.11,,320.07,-3.57,,318.09,-3.54
,,320.80,-3.22,,321.07,-3.68,,319.09,-3.63
,,321.80,-3.35,,322.07,-3.79,,320.09,-3.73
,,322.80,-3.48,,323.07,-3.90,,321.09,-3.84
,,323.80,-3.60,,324.07,-4.02,,322.09,-3.95
,,324.80,-3.74,,325.07,-4.14,,323.09,-4.05
,,325.80,-3.87,,326.07,-4.27,,324.09,-4.16
,,326.80,-4.01,,327.07,-4.40,,325.09,-4.29
,,327.80,-4.15,,328.07,-4.53,,326.09,-4.41
,,328.80,-4.30,,329.07,-4.65,,327.09,-4.53
,,329.80,-4.45,,330.07,-4.78,,328.09,-4.65
,,330.80,-4.61,,331.07,-4.91,,329.09,-4.78
,,331.80,-4.76,,332.07,-5.04,,330.09,-4.91
,,332.80,-4.92,,333.07,-5.18,,331.09,-5.04
,,333.80,-5.09,,334.07,-5.32,,332.09,-5.18
,,334.80,-5.25,,335.07,-5.45,,333.09,-5.31
,,335.80,-5.43,,336.07,-5.59,,334.09,-5.43
,,336.80,-5.62,,337.07,-5.73,,335.09,-5.58
,,337.80,-5.81,,338.07,-5.87,,336.09,-5.72
,,338.80,-6.01,,339.07,-6.03,,337.09,-5.89
,,339.80,-6.22,,340.07,-6.21,,338.09,-6.06
,,340.80,-6.46,,341.07,-6.40,,339.09,-6.24
,,341.80,-6.70,,342.07,-6.61,,340.09,-6.42
,,342.80,-6.95,,343.07,-6.82,,341.09,-6.61
,,343.80,-7.20,,344.07,-7.05,,342.09,-6.85
,,344.80,-7.46,,345.07,-7.28,,343.09,-7.08
,,345.80,-7.71,,346.07,-7.50,,344.09,-7.29
,,346.80,-7.96,,347.07,-7.75,,345.09,-7.52
,,347.80,-8.19,,348.07,-8.01,,346.09,-7.73
,,348.80,-8.39,,349.07,-8.31,,347.09,-7.93
,,349.80,-8.59,,350.07,-8.60,,348.09,-8.12
,,350.80,-8.78,,351.07,-8.92,,349.09,-8.32
,,351.80,-8.95,,352.07,-9.22,,350.09,-8.52
,,352.80,-9.12,,353.07,-9.49,,351.09,-8.76
,,353.80,-9.27,,354.07,-9.75,,352.09,-9.00
,,354.80,-9.41,,355.07,-10.00,,353.09,-9.19
,,355.80,-9.53,,356.07,-10.21,,354.09,-9.38
,,356.80,-9.62,,357.07,-10.38,,355.09,-9.53
,,357.80,-9.71,,358.07,-10.53,,356.09,-9.67
,,358.80,-9.77,,359.07,-10.65,,357.09,-9.82
,,359.80,-9.81,,360.07,-10.71,,358.09,-9.95
,,360.80,-9.85,,361.07,-10.78,,359.09,-10.06
,,361.80,-9.87,,362.07,-10.78,,360.09,-10.12
,,362.80,-9.88,,363.07,-10.81,,361.09,-10.26
,,363.80,-9.89,,364.07,-10.88,,362.09,-10.42
,,364.80,-9.92,,365.07,-10.79,,363.09,-10.51
,,365.80,-9.91,,366.07,-10.62,,364.09,-10.71
,,366.80,-9.91,,367.07,-10.44,,365.09,-10.63
,,367.80,-9.93,,368.07,-10.21,,366.09,-10.51
,,368.80,-9.92,,369.07,-9.99,,367.09,-10.39
,,369.80,-9.91,,370.07,-9.77,,368.09,-10.25
,,370.80,-9.89,,371.07,-9.59,,369.09,-10.07
,,371.80,-9.84,,372.07,-9.35,,370.09,-9.89
,,372.80,-9.79,,373.07,-9.10,,371.09,-9.72
,,373.80,-9.74,,374.07,-8.88,,372.09,-9.51
,,374.80,-9.68,,375.07,-8.63,,373.09,-9.28
,,375.80,-9.59,,376.07,-8.38,,374.09,-9.04
,,376.80,-9.49,,377.07,-8.13,,375.09,-8.78
,,377.80,-9.39,,378.07,-7.90,,376.09,-8.51
,,378.80,-9.25,,379.07,-7.65,,377.09,-8.22
,,379.80,-9.10,,380.07,-7.42,,378.09,-7.90
,,380.80,-8.94,,381.07,-7.12,,379.09,-7.49
,,381.80,-8.77,,382.07,-6.84,,380.09,-7.13
,,382.80,-8.58,,383.07,-6.66,,381.09,-6.59
,,383.80,-8.40,,384.07,-6.49,,382.09,-6.35
,,384.80,-8.21,,385.07,-6.30,,383.09,-6.17
,,385.80,-8.01,,386.07,-6.12,,384.09,-5.99
,,386.80,-7.80,,387.07,-5.94,,385.09,-5.80
,,387.80,-7.58,,388.07,-5.75,,386.09,-5.60
,,388.80,-7.37,,389.07,-5.55,,387.09,-5.40
,,389.80,-7.17,,390.07,-5.39,,388.09,-5.19
,,390.80,-6.96,,391.07,-5.24,,389.09,-5.01
,,391.80,-6.75,,392.07,-5.08,,390.09,-4.84
,,392.80,-6.54,,393.07,-4.94,,391.09,-4.69
,,393.80,-6.34,,394.07,-4.82,,392.09,-4.55
,,394.80,-6.15,,395.07,-4.69,,393.09,-4.40
,,395.80,-5.96,,396.07,-4.58,,394.09,-4.28
,,396.80,-5.79,,397.07,-4.48,,395.09,-4.16
,,397.80,-5.63,,398.07,-4.39,,396.09,-4.04
,,398.80,-5.48,,399.07,-4.29,,397.09,-3.94
,,399.80,-5.34,,400.07,-4.21,,398.09,-3.84
,,400.80,-5.20,,401.07,-4.14,,399.09,-3.76
,,401.80,-5.09,,402.07,-4.07,,400.09,-3.67
,,402.80,-4.98,,403.07,-4.02,,401.09,-3.60
,,403.80,-4.87,,404.07,-3.97,,402.09,-3.53
,,404.80,-4.79,,405.07,-3.92,,403.09,-3.47
,,405.80,-4.70,,406.07,-3.87,,404.09,-3.42
,,406.80,-4.62,,407.07,-3.83,,405.09,-3.37
,,407.80,-4.55,,408.07,-3.80,,406.09,-3.33
,,408.80,-4.48,,409.07,-3.77,,407.09,-3.29
,,409.80,-4.43,,410.07,-3.75,,408.09,-3.27
,,410.80,-4.38,,411.07,-3.73,,409.09,-3.24
,,411.80,-4.34,,412.07,-3.71,,410.09,-3.21
,,412.80,-4.30,,413.07,-3.69,,411.09,-3.19
,,413.80,-4.26,,414.07,-3.68,,412.09,-3.18
,,414.80,-4.23,,415.07,-3.66,,413.09,-3.16
,,415.80,-4.19,,416.07,-3.65,,414.09,-3.14
,,416.80,-4.16,,417.07,-3.64,,415.09,-3.12
,,417.80,-4.14,,418.07,-3.63,,416.09,-3.12
,,418.80,-4.12,,419.07,-3.62,,417.09,-3.11
,,419.80,-4.10,,420.07,-3.62,,418.09,-3.10
,,420.80,-4.09,,421.07,-3.61,,419.09,-3.09
,,421.80,-4.06,,422.07,-3.60,,420.09,-3.09
,,422.80,-4.04,,423.07,-3.60,,421.09,-3.09
,,423.80,-4.03,,424.07,-3.60,,422.09,-3.08
,,424.80,-4.01,,425.07,-3.60,,423.09,-3.08
,,425.80,-4.01,,426.07,-3.60,,424.09,-3.08
,,426.80,-4.00,,427.07,-3.60,,425.09,-3.08
,,427.80,-3.98,,428.07,-3.59,,426.09,-3.09
,,428.80,-3.96,,429.07,-3.58,,427.09,-3.09
,,429.80,-3.95,,430.07,-3.58,,428.09,-3.08
,,430.80,-3.93,,431.07,-3.58,,429.09,-3.08
,,431.80,-3.94,,432.07,-3.58,,430.09,-3.08
,,432.80,-3.92,,433.07,-3.57,,431.09,-3.08
,,433.80,-3.91,,434.07,-3.56,,432.09,-3.09
,,434.80,-3.88,,435.07,-3.56,,433.09,-3.08
,,435.80,-3.87,,436.07,-3.55,,434.09,-3.07
,,436.80,-3.84,,437.07,-3.54,,435.09,-3.07
,,437.80,-3.81,,438.07,-3.53,,436.09,-3.07
,,438.80,-3.79,,439.07,-3.51,,437.09,-3.06
,,439.80,-3.76,,440.07,-3.50,,438.09,-3.05
,,440.80,-3.74,,441.07,-3.48,,439.09,-3.04
,,441.80,-3.70,,442.07,-3.45,,440.09,-3.03
,,442.80,-3.65,,443.07,-3.41,,441.09,-3.01
,,443.80,-3.60,,444.07,-3.37,,442.09,-2.98
,,444.80,-3.54,,445.07,-3.33,,443.09,-2.95
,,445.80,-3.49,,446.07,-3.29,,444.09,-2.91
,,446.80,-3.43,,447.07,-3.24,,445.09,-2.87
,,447.80,-3.35,,448.07,-3.18,,446.09,-2.84
,,448.80,-3.28,,449.07,-3.11,,447.09,-2.79
,,449.80,-3.17,,450.07,-3.03,,448.09,-2.73
,,450.80,-3.09,,451.07,-2.96,,449.09,-2.67
,,451.80,-2.98,,452.07,-2.87,,450.09,-2.60
,,452.80,-2.88,,453.07,-2.77,,451.09,-2.53
,,453.80,-2.76,,454.07,-2.64,,452.09,-2.45
,,454.80,-2.62,,455.07,-2.51,,453.09,-2.35
,,455.80,-2.50,,456.07,-2.41,,454.09,-2.26
,,456.80,-2.35,,457.07,-2.28,,455.09,-2.16
,,457.80,-2.21,,458.07,-2.15,,456.09,-2.06
,,458.80,-2.07,,459.07,-2.00,,457.09,-1.93
,,459.80,-1.93,,460.07,-1.87,,458.09,-1.80
