Machine Name,Lloyd LRX ,P40-HDO Undamaged,1,,,2,,,3,,,P40-HDO 3 hr Healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.47,0,,-0.54,0,,-0.45,-0.01,,,0,-0.02,,-0.55,0,,-0.27,-0.01
,,,38.8,0.31,,66.08,0.47,,27.98,0.3,,,13.03,0.2,,20.6,0.23,,16.5,0.19
,,,40,0.32,,67.88,0.48,,29.11,0.31,,,13.63,0.21,,21.36,0.24,,17.16,0.19
,,,41.21,0.32,,69.69,0.49,,30.24,0.32,,,14.22,0.21,,22.13,0.24,,17.83,0.2
,,,42.41,0.33,,71.5,0.49,,31.43,0.33,,,14.84,0.22,,22.93,0.25,,18.53,0.2
,,,43.61,0.33,,73.3,0.5,,32.57,0.33,,,15.46,0.22,,23.69,0.25,,19.2,0.21
,,,44.82,0.33,,75.11,0.5,,33.68,0.34,,,16.03,0.23,,24.45,0.26,,19.86,0.21
,,,46.02,0.34,,76.92,0.51,,34.85,0.35,,,16.63,0.23,,25.26,0.26,,20.55,0.21
,,,47.23,0.34,,78.72,0.52,,36.01,0.35,,,17.26,0.23,,26.02,0.27,,21.23,0.22
,,,48.43,0.35,,80.53,0.52,,37.14,0.36,,,17.87,0.24,,26.77,0.27,,21.9,0.22
,,,49.62,0.35,,82.34,0.53,,38.29,0.36,,,18.45,0.24,,27.57,0.28,,22.58,0.23
,,,50.82,0.35,,84.15,0.53,,39.43,0.37,,,19.04,0.24,,28.35,0.28,,23.25,0.23
,,,52.01,0.36,,85.95,0.54,,40.58,0.37,,,19.67,0.25,,29.11,0.29,,23.93,0.23
,,,53.2,0.36,,87.76,0.54,,41.75,0.38,,,20.29,0.25,,29.89,0.29,,24.62,0.24
,,,54.4,0.37,,89.57,0.55,,42.91,0.39,,,20.87,0.25,,30.7,0.3,,25.3,0.24
,,,55.59,0.37,,91.38,0.55,,44.01,0.39,,,21.45,0.26,,31.46,0.3,,25.95,0.24
,,,56.79,0.37,,93.18,0.55,,45.18,0.4,,,22.09,0.26,,32.22,0.31,,26.64,0.25
,,,57.98,0.38,,94.99,0.56,,46.37,0.4,,,22.7,0.26,,33.04,0.31,,27.34,0.25
,,,59.18,0.38,,96.8,0.56,,47.53,0.41,,,23.29,0.27,,33.83,0.31,,28.02,0.25
,,,60.37,0.39,,98.61,0.57,,48.66,0.41,,,23.88,0.27,,34.61,0.32,,28.69,0.26
,,,61.56,0.39,,100.42,0.57,,49.82,0.42,,,24.51,0.27,,35.38,0.32,,29.38,0.26
,,,62.76,0.39,,102.22,0.58,,50.97,0.42,,,25.11,0.28,,36.15,0.32,,30.05,0.26
,,,63.95,0.4,,104.03,0.58,,52.1,0.43,,,25.7,0.28,,36.92,0.33,,30.72,0.26
,,,65.15,0.4,,105.84,0.58,,53.23,0.43,,,26.28,0.29,,37.7,0.33,,31.39,0.27
,,,66.34,0.4,,107.65,0.59,,54.39,0.44,,,26.91,0.29,,38.47,0.33,,32.07,0.27
,,,67.54,0.41,,109.45,0.59,,55.55,0.44,,,27.52,0.29,,39.24,0.34,,32.75,0.27
,,,68.73,0.41,,111.26,0.6,,56.67,0.44,,,28.09,0.3,,40.02,0.34,,33.41,0.28
,,,69.92,0.41,,113.07,0.6,,57.81,0.45,,,28.69,0.3,,40.8,0.34,,34.09,0.28
,,,71.12,0.41,,114.88,0.6,,59,0.45,,,29.33,0.3,,41.58,0.35,,34.79,0.28
,,,72.31,0.42,,116.69,0.61,,60.17,0.46,,,29.97,0.31,,42.35,0.35,,35.48,0.28
,,,73.51,0.42,,118.49,0.61,,61.3,0.46,,,30.55,0.31,,43.13,0.35,,36.15,0.29
,,,74.7,0.42,,120.3,0.62,,62.44,0.47,,,31.13,0.31,,43.91,0.36,,36.81,0.29
,,,75.9,0.42,,122.11,0.62,,63.58,0.47,,,31.73,0.32,,44.69,0.36,,37.49,0.29
,,,77.09,0.43,,123.92,0.62,,64.74,0.48,,,32.35,0.32,,45.47,0.36,,38.18,0.3
,,,78.29,0.43,,125.72,0.63,,65.9,0.48,,,32.96,0.32,,46.25,0.36,,38.86,0.3
,,,79.48,0.43,,127.53,0.63,,67.06,0.48,,,33.57,0.32,,47.03,0.37,,39.54,0.3
,,,80.67,0.43,,129.34,0.64,,68.21,0.49,,,34.18,0.33,,47.8,0.37,,40.22,0.3
,,,81.87,0.44,,131.15,0.64,,69.36,0.49,,,34.78,0.33,,48.58,0.37,,40.9,0.31
,,,83.06,0.44,,132.96,0.64,,70.51,0.5,,,35.39,0.33,,49.36,0.38,,41.57,0.31
,,,84.26,0.44,,134.76,0.64,,71.66,0.5,,,35.99,0.33,,50.14,0.38,,42.25,0.31
,,,85.45,0.45,,136.57,0.65,,72.81,0.5,,,36.6,0.34,,50.92,0.38,,42.93,0.31
,,,86.65,0.45,,138.38,0.65,,73.97,0.51,,,37.2,0.34,,51.7,0.39,,43.61,0.31
,,,87.84,0.45,,140.19,0.65,,75.12,0.51,,,37.81,0.34,,52.48,0.39,,44.29,0.32
,,,89.03,0.45,,142,0.66,,76.27,0.51,,,38.41,0.34,,53.26,0.39,,44.97,0.32
,,,90.23,0.46,,143.81,0.66,,77.42,0.52,,,39.02,0.34,,54.03,0.4,,45.65,0.32
,,,91.42,0.46,,145.62,0.66,,78.57,0.52,,,39.62,0.35,,54.81,0.4,,46.32,0.32
,,,92.62,0.46,,147.43,0.67,,79.72,0.53,,,40.22,0.35,,55.59,0.4,,47,0.33
,,,93.81,0.46,,149.24,0.67,,80.87,0.53,,,40.82,0.35,,56.37,0.41,,47.68,0.33
