Machine Name ,Perkin-Elmer Spectrum 100,,P35,,,P40,,,P45,
,Attenuated total reflectance mode in the region of 4000?650 cm?1. 16 scans were done with a resolution of 4 cm?1,,Wavenumber / cm-1,Transmittance ,,Wavenumber / cm-1,Transmittance ,,Wavenumber / cm-1,Transmittance 
,,,3486,98.48,,3486,147.88,,3486,203.81
,,,3485,98.47,,3485,147.86,,3485,203.8
,,,3484,98.47,,3484,147.86,,3484,203.8
,,,3483,98.47,,3483,147.85,,3483,203.79
,,,3482,98.47,,3482,147.83,,3482,203.77
,,,3481,98.46,,3481,147.82,,3481,203.75
,,,3480,98.45,,3480,147.81,,3480,203.74
,,,3479,98.44,,3479,147.79,,3479,203.72
,,,3478,98.41,,3478,147.76,,3478,203.71
,,,3477,98.38,,3477,147.73,,3477,203.69
,,,3476,98.34,,3476,147.69,,3476,203.66
,,,3475,98.3,,3475,147.66,,3475,203.62
,,,3474,98.26,,3474,147.61,,3474,203.58
,,,3473,98.22,,3473,147.57,,3473,203.52
,,,3472,98.16,,3472,147.51,,3472,203.47
,,,3471,98.11,,3471,147.46,,3471,203.42
,,,3470,98.05,,3470,147.41,,3470,203.37
,,,3469,98.01,,3469,147.35,,3469,203.32
,,,3468,97.96,,3468,147.3,,3468,203.27
,,,3467,97.92,,3467,147.25,,3467,203.21
,,,3466,97.88,,3466,147.21,,3466,203.15
,,,3465,97.84,,3465,147.16,,3465,203.1
,,,3464,97.81,,3464,147.13,,3464,203.06
,,,3463,97.78,,3463,147.11,,3463,203.03
,,,3462,97.77,,3462,147.09,,3462,203.02
,,,3461,97.76,,3461,147.08,,3461,203.01
,,,3460,97.77,,3460,147.07,,3460,203.01
,,,3459,97.77,,3459,147.06,,3459,203.01
,,,3458,97.77,,3458,147.05,,3458,203
,,,3457,97.77,,3457,147.04,,3457,202.98
,,,3456,97.75,,3456,147.02,,3456,202.96
,,,3455,97.73,,3455,146.99,,3455,202.92
,,,3454,97.7,,3454,146.96,,3454,202.88
,,,3453,97.68,,3453,146.93,,3453,202.84
,,,3452,97.65,,3452,146.89,,3452,202.81
,,,3451,97.63,,3451,146.87,,3451,202.78
,,,3450,97.6,,3450,146.84,,3450,202.75
,,,3449,97.56,,3449,146.81,,3449,202.72
,,,3448,97.51,,3448,146.76,,3448,202.67
,,,3447,97.48,,3447,146.73,,3447,202.63
,,,3446,97.46,,3446,146.71,,3446,202.61
,,,3445,97.46,,3445,146.71,,3445,202.61
,,,3444,97.49,,3444,146.72,,3444,202.62
,,,3443,97.51,,3443,146.74,,3443,202.64
,,,3442,97.53,,3442,146.76,,3442,202.65
,,,3441,97.54,,3441,146.76,,3441,202.65
,,,3440,97.55,,3440,146.76,,3440,202.65
,,,3439,97.57,,3439,146.77,,3439,202.65
,,,3438,97.59,,3438,146.78,,3438,202.66
,,,3437,97.61,,3437,146.79,,3437,202.68
,,,3436,97.62,,3436,146.8,,3436,202.68
,,,3435,97.62,,3435,146.79,,3435,202.67
,,,3434,97.61,,3434,146.78,,3434,202.65
,,,3433,97.6,,3433,146.77,,3433,202.64
,,,3432,97.58,,3432,146.76,,3432,202.62
,,,3431,97.57,,3431,146.74,,3431,202.6
,,,3430,97.56,,3430,146.73,,3430,202.58
,,,3429,97.54,,3429,146.71,,3429,202.55
,,,3428,97.52,,3428,146.69,,3428,202.51
,,,3427,97.5,,3427,146.66,,3427,202.47
,,,3426,97.48,,3426,146.63,,3426,202.43
,,,3425,97.45,,3425,146.6,,3425,202.4
,,,3424,97.43,,3424,146.57,,3424,202.37
,,,3423,97.41,,3423,146.54,,3423,202.35
,,,3422,97.39,,3422,146.51,,3422,202.32
,,,3421,97.36,,3421,146.48,,3421,202.28
,,,3420,97.33,,3420,146.44,,3420,202.23
,,,3419,97.3,,3419,146.41,,3419,202.19
,,,3418,97.27,,3418,146.38,,3418,202.15
,,,3417,97.24,,3417,146.36,,3417,202.12
,,,3416,97.21,,3416,146.33,,3416,202.08
,,,3415,97.17,,3415,146.3,,3415,202.04
,,,3414,97.14,,3414,146.27,,3414,202
,,,3413,97.12,,3413,146.24,,3413,201.96
,,,3412,97.09,,3412,146.22,,3412,201.93
,,,3411,97.07,,3411,146.19,,3411,201.89
,,,3410,97.04,,3410,146.16,,3410,201.85
,,,3409,97,,3409,146.13,,3409,201.8
,,,3408,96.97,,3408,146.09,,3408,201.76
,,,3407,96.94,,3407,146.05,,3407,201.71
,,,3406,96.91,,3406,146.03,,3406,201.67
,,,3405,96.88,,3405,146,,3405,201.63
,,,3404,96.85,,3404,145.98,,3404,201.59
,,,3403,96.82,,3403,145.95,,3403,201.56
,,,3402,96.8,,3402,145.92,,3402,201.53
,,,3401,96.78,,3401,145.89,,3401,201.49
,,,3400,96.75,,3400,145.87,,3400,201.46
,,,3399,96.73,,3399,145.84,,3399,201.43
,,,3398,96.7,,3398,145.81,,3398,201.4
,,,3397,96.67,,3397,145.77,,3397,201.35
,,,3396,96.64,,3396,145.73,,3396,201.3
,,,3395,96.61,,3395,145.7,,3395,201.25
,,,3394,96.58,,3394,145.68,,3394,201.21
,,,3393,96.55,,3393,145.65,,3393,201.17
,,,3392,96.52,,3392,145.62,,3392,201.14
,,,3391,96.48,,3391,145.58,,3391,201.11
,,,3390,96.44,,3390,145.54,,3390,201.08
,,,3389,96.4,,3389,145.5,,3389,201.03
,,,3388,96.36,,3388,145.45,,3388,200.98
,,,3387,96.32,,3387,145.4,,3387,200.93
,,,3386,96.28,,3386,145.35,,3386,200.88
,,,3385,96.24,,3385,145.31,,3385,200.82
,,,3384,96.2,,3384,145.27,,3384,200.77
,,,3383,96.16,,3383,145.23,,3383,200.72
,,,3382,96.12,,3382,145.19,,3382,200.67
,,,3381,96.09,,3381,145.15,,3381,200.63
,,,3380,96.04,,3380,145.1,,3380,200.58
,,,3379,95.99,,3379,145.06,,3379,200.52
,,,3378,95.94,,3378,145.01,,3378,200.46
,,,3377,95.88,,3377,144.95,,3377,200.38
,,,3376,95.81,,3376,144.89,,3376,200.31
,,,3375,95.75,,3375,144.82,,3375,200.23
,,,3374,95.7,,3374,144.76,,3374,200.17
,,,3373,95.65,,3373,144.7,,3373,200.1
,,,3372,95.61,,3372,144.65,,3372,200.04
,,,3371,95.56,,3371,144.59,,3371,199.97
,,,3370,95.51,,3370,144.53,,3370,199.89
,,,3369,95.45,,3369,144.46,,3369,199.81
,,,3368,95.39,,3368,144.38,,3368,199.71
,,,3367,95.32,,3367,144.31,,3367,199.62
,,,3366,95.24,,3366,144.23,,3366,199.52
,,,3365,95.17,,3365,144.15,,3365,199.43
,,,3364,95.1,,3364,144.07,,3364,199.34
,,,3363,95.04,,3363,144,,3363,199.26
,,,3362,94.98,,3362,143.93,,3362,199.18
,,,3361,94.92,,3361,143.86,,3361,199.09
,,,3360,94.86,,3360,143.79,,3360,199
,,,3359,94.78,,3359,143.71,,3359,198.9
,,,3358,94.71,,3358,143.63,,3358,198.81
,,,3357,94.63,,3357,143.55,,3357,198.72
,,,3356,94.57,,3356,143.48,,3356,198.63
,,,3355,94.5,,3355,143.41,,3355,198.56
,,,3354,94.44,,3354,143.34,,3354,198.48
,,,3353,94.39,,3353,143.28,,3353,198.4
,,,3352,94.34,,3352,143.22,,3352,198.33
,,,3351,94.3,,3351,143.17,,3351,198.25
,,,3350,94.25,,3350,143.11,,3350,198.18
,,,3349,94.2,,3349,143.05,,3349,198.1
,,,3348,94.15,,3348,142.99,,3348,198.01
,,,3347,94.08,,3347,142.92,,3347,197.93
,,,3346,94.02,,3346,142.85,,3346,197.84
,,,3345,93.96,,3345,142.79,,3345,197.76
,,,3344,93.91,,3344,142.74,,3344,197.68
,,,3343,93.86,,3343,142.69,,3343,197.62
,,,3342,93.82,,3342,142.65,,3342,197.57
,,,3341,93.79,,3341,142.61,,3341,197.51
,,,3340,93.76,,3340,142.57,,3340,197.46
,,,3339,93.73,,3339,142.53,,3339,197.41
,,,3338,93.71,,3338,142.5,,3338,197.36
,,,3337,93.69,,3337,142.47,,3337,197.32
,,,3336,93.67,,3336,142.45,,3336,197.27
,,,3335,93.65,,3335,142.42,,3335,197.23
,,,3334,93.63,,3334,142.4,,3334,197.19
,,,3333,93.62,,3333,142.38,,3333,197.16
,,,3332,93.6,,3332,142.37,,3332,197.12
,,,3331,93.59,,3331,142.35,,3331,197.09
,,,3330,93.57,,3330,142.33,,3330,197.06
,,,3329,93.57,,3329,142.32,,3329,197.04
,,,3328,93.57,,3328,142.33,,3328,197.03
,,,3327,93.59,,3327,142.34,,3327,197.04
,,,3326,93.6,,3326,142.36,,3326,197.04
,,,3325,93.62,,3325,142.37,,3325,197.05
,,,3324,93.64,,3324,142.39,,3324,197.06
,,,3323,93.64,,3323,142.4,,3323,197.06
,,,3322,93.65,,3322,142.41,,3322,197.06
,,,3321,93.66,,3321,142.42,,3321,197.07
,,,3320,93.68,,3320,142.44,,3320,197.08
,,,3319,93.71,,3319,142.47,,3319,197.11
,,,3318,93.75,,3318,142.5,,3318,197.14
,,,3317,93.78,,3317,142.54,,3317,197.18
,,,3316,93.82,,3316,142.58,,3316,197.22
,,,3315,93.85,,3315,142.61,,3315,197.26
,,,3314,93.89,,3314,142.65,,3314,197.3
,,,3313,93.93,,3313,142.69,,3313,197.34
,,,3312,93.98,,3312,142.74,,3312,197.38
,,,3311,94.03,,3311,142.79,,3311,197.44
,,,3310,94.08,,3310,142.85,,3310,197.5
,,,3309,94.13,,3309,142.91,,3309,197.57
,,,3308,94.18,,3308,142.96,,3308,197.63
,,,3307,94.23,,3307,143.03,,3307,197.69
,,,3306,94.29,,3306,143.09,,3306,197.75
,,,3305,94.35,,3305,143.15,,3305,197.82
,,,3304,94.41,,3304,143.21,,3304,197.89
,,,3303,94.46,,3303,143.26,,3303,197.96
,,,3302,94.51,,3302,143.31,,3302,198.03
,,,3301,94.55,,3301,143.36,,3301,198.09
,,,3300,94.6,,3300,143.42,,3300,198.16
,,,3299,94.66,,3299,143.49,,3299,198.24
,,,3298,94.72,,3298,143.56,,3298,198.32
,,,3297,94.8,,3297,143.65,,3297,198.41
,,,3296,94.88,,3296,143.72,,3296,198.51
,,,3295,94.95,,3295,143.8,,3295,198.61
,,,3294,95.01,,3294,143.87,,3294,198.71
,,,3293,95.08,,3293,143.94,,3293,198.8
,,,3292,95.14,,3292,144,,3292,198.88
,,,3291,95.21,,3291,144.08,,3291,198.97
,,,3290,95.28,,3290,144.15,,3290,199.05
,,,3289,95.35,,3289,144.22,,3289,199.14
,,,3288,95.41,,3288,144.29,,3288,199.23
,,,3287,95.48,,3287,144.36,,3287,199.32
,,,3286,95.54,,3286,144.43,,3286,199.4
,,,3285,95.6,,3285,144.5,,3285,199.49
,,,3284,95.66,,3284,144.56,,3284,199.58
,,,3283,95.73,,3283,144.64,,3283,199.67
,,,3282,95.8,,3282,144.72,,3282,199.76
,,,3281,95.87,,3281,144.8,,3281,199.85
,,,3280,95.94,,3280,144.87,,3280,199.94
,,,3279,96,,3279,144.93,,3279,200.03
,,,3278,96.06,,3278,145,,3278,200.12
,,,3277,96.11,,3277,145.07,,3277,200.2
,,,3276,96.17,,3276,145.14,,3276,200.29
,,,3275,96.23,,3275,145.2,,3275,200.37
,,,3274,96.28,,3274,145.26,,3274,200.45
,,,3273,96.32,,3273,145.32,,3273,200.52
,,,3272,96.38,,3272,145.38,,3272,200.59
,,,3271,96.43,,3271,145.44,,3271,200.66
,,,3270,96.49,,3270,145.5,,3270,200.74
,,,3269,96.55,,3269,145.56,,3269,200.81
,,,3268,96.61,,3268,145.62,,3268,200.89
,,,3267,96.66,,3267,145.68,,3267,200.96
,,,3266,96.72,,3266,145.75,,3266,201.04
,,,3265,96.77,,3265,145.81,,3265,201.11
,,,3264,96.81,,3264,145.86,,3264,201.18
,,,3263,96.85,,3263,145.91,,3263,201.24
,,,3262,96.9,,3262,145.96,,3262,201.31
,,,3261,96.94,,3261,146.01,,3261,201.37
,,,3260,96.98,,3260,146.05,,3260,201.43
,,,3259,97.01,,3259,146.09,,3259,201.49
,,,3258,97.04,,3258,146.13,,3258,201.54
,,,3257,97.08,,3257,146.17,,3257,201.59
,,,3256,97.11,,3256,146.22,,3256,201.64
,,,3255,97.15,,3255,146.26,,3255,201.69
,,,3254,97.2,,3254,146.32,,3254,201.75
,,,3253,97.24,,3253,146.37,,3253,201.81
,,,3252,97.28,,3252,146.41,,3252,201.86
,,,3251,97.32,,3251,146.45,,3251,201.92
,,,3250,97.36,,3250,146.49,,3250,201.97
,,,3249,97.39,,3249,146.53,,3249,202.02
,,,3248,97.43,,3248,146.57,,3248,202.07
,,,3247,97.46,,3247,146.61,,3247,202.12
,,,3246,97.49,,3246,146.65,,3246,202.17
,,,3245,97.52,,3245,146.68,,3245,202.22
,,,3244,97.55,,3244,146.71,,3244,202.26
,,,3243,97.58,,3243,146.74,,3243,202.3
,,,3242,97.61,,3242,146.78,,3242,202.34
,,,3241,97.64,,3241,146.81,,3241,202.39
,,,3240,97.66,,3240,146.83,,3240,202.43
,,,3239,97.68,,3239,146.86,,3239,202.46
,,,3238,97.71,,3238,146.88,,3238,202.5
,,,3237,97.73,,3237,146.9,,3237,202.54
,,,3236,97.77,,3236,146.93,,3236,202.58
,,,3235,97.8,,3235,146.96,,3235,202.63
,,,3234,97.83,,3234,147,,3234,202.67
,,,3233,97.86,,3233,147.04,,3233,202.71
,,,3232,97.88,,3232,147.07,,3232,202.74
,,,3231,97.89,,3231,147.09,,3231,202.76
,,,3230,97.91,,3230,147.1,,3230,202.79
,,,3229,97.94,,3229,147.13,,3229,202.83
,,,3228,97.97,,3228,147.15,,3228,202.87
,,,3227,98,,3227,147.18,,3227,202.91
,,,3226,98.03,,3226,147.21,,3226,202.94
,,,3225,98.06,,3225,147.23,,3225,202.98
,,,3224,98.08,,3224,147.24,,3224,203
,,,3223,98.09,,3223,147.25,,3223,203.03
,,,3222,98.1,,3222,147.26,,3222,203.05
,,,3221,98.1,,3221,147.27,,3221,203.06
,,,3220,98.11,,3220,147.28,,3220,203.08
,,,3219,98.12,,3219,147.29,,3219,203.1
,,,3218,98.13,,3218,147.31,,3218,203.12
,,,3217,98.14,,3217,147.33,,3217,203.14
,,,3216,98.16,,3216,147.35,,3216,203.17
,,,3215,98.18,,3215,147.37,,3215,203.2
,,,3214,98.2,,3214,147.39,,3214,203.22
,,,3213,98.22,,3213,147.4,,3213,203.23
,,,3212,98.23,,3212,147.41,,3212,203.24
,,,3211,98.24,,3211,147.41,,3211,203.25
,,,3210,98.25,,3210,147.41,,3210,203.26
,,,3209,98.27,,3209,147.42,,3209,203.29
,,,3208,98.29,,3208,147.44,,3208,203.32
,,,3207,98.31,,3207,147.46,,3207,203.35
,,,3206,98.32,,3206,147.48,,3206,203.38
,,,3205,98.33,,3205,147.49,,3205,203.39
,,,3204,98.34,,3204,147.51,,3204,203.4
,,,3203,98.34,,3203,147.52,,3203,203.41
,,,3202,98.35,,3202,147.53,,3202,203.43
,,,3201,98.36,,3201,147.54,,3201,203.44
,,,3200,98.38,,3200,147.55,,3200,203.45
,,,3199,98.39,,3199,147.56,,3199,203.47
,,,3198,98.39,,3198,147.56,,3198,203.48
,,,3197,98.4,,3197,147.56,,3197,203.49
,,,3196,98.4,,3196,147.57,,3196,203.5
,,,3195,98.42,,3195,147.58,,3195,203.51
,,,3194,98.43,,3194,147.6,,3194,203.53
,,,3193,98.44,,3193,147.62,,3193,203.55
,,,3192,98.44,,3192,147.63,,3192,203.56
,,,3191,98.44,,3191,147.63,,3191,203.56
,,,3190,98.44,,3190,147.63,,3190,203.56
,,,3189,98.43,,3189,147.64,,3189,203.56
,,,3188,98.44,,3188,147.65,,3188,203.56
,,,3187,98.44,,3187,147.66,,3187,203.57
,,,3186,98.44,,3186,147.67,,3186,203.57
,,,3185,98.44,,3185,147.68,,3185,203.57
,,,3184,98.45,,3184,147.69,,3184,203.57
,,,3183,98.46,,3183,147.7,,3183,203.59
,,,3182,98.47,,3182,147.72,,3182,203.61
,,,3181,98.48,,3181,147.74,,3181,203.62
,,,3180,98.48,,3180,147.74,,3180,203.63
,,,3179,98.49,,3179,147.75,,3179,203.64
,,,3178,98.51,,3178,147.76,,3178,203.64
,,,3177,98.52,,3177,147.78,,3177,203.65
,,,3176,98.54,,3176,147.8,,3176,203.67
,,,3175,98.55,,3175,147.83,,3175,203.69
,,,3174,98.56,,3174,147.85,,3174,203.7
,,,3173,98.55,,3173,147.86,,3173,203.71
,,,3172,98.55,,3172,147.86,,3172,203.72
,,,3171,98.54,,3171,147.87,,3171,203.72
,,,3170,98.53,,3170,147.87,,3170,203.71
,,,3169,98.52,,3169,147.87,,3169,203.71
,,,3168,98.51,,3168,147.86,,3168,203.71
,,,3167,98.5,,3167,147.87,,3167,203.71
,,,3166,98.49,,3166,147.87,,3166,203.71
,,,3165,98.5,,3165,147.88,,3165,203.72
,,,3164,98.51,,3164,147.9,,3164,203.73
,,,3163,98.53,,3163,147.92,,3163,203.75
,,,3162,98.54,,3162,147.94,,3162,203.76
,,,3161,98.54,,3161,147.95,,3161,203.76
,,,3160,98.54,,3160,147.97,,3160,203.77
,,,3159,98.54,,3159,147.98,,3159,203.78
,,,3158,98.54,,3158,147.99,,3158,203.78
,,,3157,98.53,,3157,147.99,,3157,203.77
,,,3156,98.52,,3156,147.98,,3156,203.75
,,,3155,98.52,,3155,147.98,,3155,203.74
,,,3154,98.52,,3154,147.98,,3154,203.74
,,,3153,98.52,,3153,147.99,,3153,203.75
,,,3152,98.52,,3152,148,,3152,203.76
,,,3151,98.52,,3151,148.01,,3151,203.77
,,,3150,98.52,,3150,148.02,,3150,203.78
,,,3149,98.53,,3149,148.03,,3149,203.78
,,,3148,98.54,,3148,148.04,,3148,203.79
,,,3147,98.55,,3147,148.06,,3147,203.8
,,,3146,98.56,,3146,148.08,,3146,203.81
,,,3145,98.56,,3145,148.1,,3145,203.82
,,,3144,98.57,,3144,148.11,,3144,203.83
,,,3143,98.59,,3143,148.13,,3143,203.84
,,,3142,98.6,,3142,148.14,,3142,203.85
,,,3141,98.61,,3141,148.15,,3141,203.86
,,,3140,98.61,,3140,148.16,,3140,203.87
,,,3139,98.6,,3139,148.17,,3139,203.87
,,,3138,98.6,,3138,148.18,,3138,203.86
,,,3137,98.6,,3137,148.19,,3137,203.86
,,,3136,98.6,,3136,148.2,,3136,203.86
,,,3135,98.61,,3135,148.21,,3135,203.87
,,,3134,98.61,,3134,148.23,,3134,203.88
,,,3133,98.62,,3133,148.24,,3133,203.89
,,,3132,98.63,,3132,148.25,,3132,203.91
,,,3131,98.63,,3131,148.25,,3131,203.91
,,,3130,98.64,,3130,148.26,,3130,203.91
,,,3129,98.64,,3129,148.26,,3129,203.91
,,,3128,98.65,,3128,148.27,,3128,203.91
,,,3127,98.65,,3127,148.28,,3127,203.91
,,,3126,98.65,,3126,148.29,,3126,203.91
,,,3125,98.64,,3125,148.29,,3125,203.91
,,,3124,98.65,,3124,148.3,,3124,203.91
,,,3123,98.65,,3123,148.31,,3123,203.92
,,,3122,98.65,,3122,148.32,,3122,203.92
,,,3121,98.65,,3121,148.32,,3121,203.93
,,,3120,98.65,,3120,148.33,,3120,203.93
,,,3119,98.64,,3119,148.33,,3119,203.93
,,,3118,98.64,,3118,148.33,,3118,203.93
,,,3117,98.63,,3117,148.33,,3117,203.93
,,,3116,98.63,,3116,148.34,,3116,203.92
,,,3115,98.64,,3115,148.35,,3115,203.92
,,,3114,98.65,,3114,148.35,,3114,203.92
,,,3113,98.66,,3113,148.36,,3113,203.92
,,,3112,98.67,,3112,148.37,,3112,203.92
,,,3111,98.67,,3111,148.37,,3111,203.92
,,,3110,98.67,,3110,148.37,,3110,203.92
,,,3109,98.66,,3109,148.37,,3109,203.9
,,,3108,98.65,,3108,148.37,,3108,203.89
,,,3107,98.64,,3107,148.36,,3107,203.87
,,,3106,98.63,,3106,148.36,,3106,203.86
,,,3105,98.62,,3105,148.36,,3105,203.85
,,,3104,98.61,,3104,148.36,,3104,203.84
,,,3103,98.61,,3103,148.35,,3103,203.83
,,,3102,98.6,,3102,148.35,,3102,203.82
,,,3101,98.6,,3101,148.35,,3101,203.82
,,,3100,98.59,,3100,148.35,,3100,203.81
,,,3099,98.59,,3099,148.35,,3099,203.8
,,,3098,98.58,,3098,148.34,,3098,203.78
,,,3097,98.56,,3097,148.32,,3097,203.76
,,,3096,98.55,,3096,148.31,,3096,203.74
,,,3095,98.54,,3095,148.3,,3095,203.73
,,,3094,98.53,,3094,148.29,,3094,203.72
,,,3093,98.52,,3093,148.28,,3093,203.71
,,,3092,98.52,,3092,148.27,,3092,203.7
,,,3091,98.51,,3091,148.27,,3091,203.69
,,,3090,98.5,,3090,148.26,,3090,203.68
,,,3089,98.49,,3089,148.25,,3089,203.66
,,,3088,98.48,,3088,148.24,,3088,203.64
,,,3087,98.48,,3087,148.23,,3087,203.62
,,,3086,98.47,,3086,148.23,,3086,203.6
,,,3085,98.46,,3085,148.22,,3085,203.59
,,,3084,98.45,,3084,148.2,,3084,203.57
,,,3083,98.44,,3083,148.19,,3083,203.56
,,,3082,98.43,,3082,148.18,,3082,203.54
,,,3081,98.42,,3081,148.17,,3081,203.53
,,,3080,98.41,,3080,148.16,,3080,203.51
,,,3079,98.39,,3079,148.15,,3079,203.49
,,,3078,98.37,,3078,148.14,,3078,203.47
,,,3077,98.36,,3077,148.13,,3077,203.45
,,,3076,98.35,,3076,148.12,,3076,203.43
,,,3075,98.34,,3075,148.11,,3075,203.42
,,,3074,98.33,,3074,148.1,,3074,203.42
,,,3073,98.32,,3073,148.09,,3073,203.41
,,,3072,98.31,,3072,148.09,,3072,203.41
,,,3071,98.31,,3071,148.1,,3071,203.41
,,,3070,98.32,,3070,148.11,,3070,203.41
,,,3069,98.32,,3069,148.12,,3069,203.41
,,,3068,98.33,,3068,148.12,,3068,203.41
,,,3067,98.33,,3067,148.12,,3067,203.41
,,,3066,98.32,,3066,148.12,,3066,203.4
,,,3065,98.32,,3065,148.12,,3065,203.39
,,,3064,98.32,,3064,148.12,,3064,203.39
,,,3063,98.32,,3063,148.12,,3063,203.4
,,,3062,98.32,,3062,148.12,,3062,203.4
,,,3061,98.32,,3061,148.12,,3061,203.41
,,,3060,98.33,,3060,148.13,,3060,203.41
,,,3059,98.33,,3059,148.13,,3059,203.41
,,,3058,98.33,,3058,148.14,,3058,203.42
,,,3057,98.33,,3057,148.15,,3057,203.42
,,,3056,98.33,,3056,148.16,,3056,203.43
,,,3055,98.34,,3055,148.17,,3055,203.45
,,,3054,98.34,,3054,148.18,,3054,203.46
,,,3053,98.34,,3053,148.19,,3053,203.48
,,,3052,98.34,,3052,148.19,,3052,203.49
,,,3051,98.33,,3051,148.19,,3051,203.49
,,,3050,98.32,,3050,148.18,,3050,203.48
,,,3049,98.31,,3049,148.18,,3049,203.48
,,,3048,98.31,,3048,148.18,,3048,203.48
,,,3047,98.32,,3047,148.19,,3047,203.5
,,,3046,98.33,,3046,148.21,,3046,203.52
,,,3045,98.35,,3045,148.23,,3045,203.54
,,,3044,98.36,,3044,148.24,,3044,203.55
,,,3043,98.37,,3043,148.25,,3043,203.57
,,,3042,98.38,,3042,148.26,,3042,203.58
,,,3041,98.38,,3041,148.26,,3041,203.58
,,,3040,98.37,,3040,148.25,,3040,203.57
,,,3039,98.35,,3039,148.25,,3039,203.56
,,,3038,98.34,,3038,148.24,,3038,203.55
,,,3037,98.34,,3037,148.25,,3037,203.56
,,,3036,98.34,,3036,148.26,,3036,203.57
,,,3035,98.35,,3035,148.26,,3035,203.58
,,,3034,98.35,,3034,148.26,,3034,203.58
,,,3033,98.35,,3033,148.25,,3033,203.57
,,,3032,98.33,,3032,148.24,,3032,203.55
,,,3031,98.31,,3031,148.23,,3031,203.53
,,,3030,98.29,,3030,148.22,,3030,203.52
,,,3029,98.27,,3029,148.21,,3029,203.5
,,,3028,98.25,,3028,148.2,,3028,203.5
,,,3027,98.24,,3027,148.19,,3027,203.49
,,,3026,98.23,,3026,148.17,,3026,203.48
,,,3025,98.22,,3025,148.16,,3025,203.46
,,,3024,98.21,,3024,148.14,,3024,203.43
,,,3023,98.19,,3023,148.12,,3023,203.41
,,,3022,98.17,,3022,148.11,,3022,203.38
,,,3021,98.15,,3021,148.08,,3021,203.35
,,,3020,98.12,,3020,148.05,,3020,203.32
,,,3019,98.08,,3019,148.02,,3019,203.28
,,,3018,98.04,,3018,147.98,,3018,203.23
,,,3017,97.99,,3017,147.93,,3017,203.18
,,,3016,97.94,,3016,147.89,,3016,203.12
,,,3015,97.88,,3015,147.84,,3015,203.05
,,,3014,97.83,,3014,147.78,,3014,202.97
,,,3013,97.76,,3013,147.72,,3013,202.89
,,,3012,97.7,,3012,147.65,,3012,202.8
,,,3011,97.63,,3011,147.57,,3011,202.71
,,,3010,97.55,,3010,147.49,,3010,202.61
,,,3009,97.47,,3009,147.41,,3009,202.51
,,,3008,97.38,,3008,147.32,,3008,202.4
,,,3007,97.29,,3007,147.22,,3007,202.29
,,,3006,97.2,,3006,147.12,,3006,202.17
,,,3005,97.09,,3005,147.01,,3005,202.04
,,,3004,96.98,,3004,146.89,,3004,201.9
,,,3003,96.86,,3003,146.77,,3003,201.75
,,,3002,96.74,,3002,146.64,,3002,201.6
,,,3001,96.63,,3001,146.52,,3001,201.45
,,,3000,96.51,,3000,146.4,,3000,201.31
,,,2999,96.41,,2999,146.29,,2999,201.18
,,,2998,96.31,,2998,146.19,,2998,201.06
,,,2997,96.22,,2997,146.1,,2997,200.95
,,,2996,96.14,,2996,146.01,,2996,200.85
,,,2995,96.07,,2995,145.94,,2995,200.76
,,,2994,95.99,,2994,145.86,,2994,200.68
,,,2993,95.91,,2993,145.78,,2993,200.59
,,,2992,95.83,,2992,145.69,,2992,200.5
,,,2991,95.74,,2991,145.6,,2991,200.4
,,,2990,95.63,,2990,145.5,,2990,200.29
,,,2989,95.51,,2989,145.38,,2989,200.16
,,,2988,95.37,,2988,145.24,,2988,200.02
,,,2987,95.22,,2987,145.09,,2987,199.85
,,,2986,95.04,,2986,144.92,,2986,199.67
,,,2985,94.85,,2985,144.73,,2985,199.46
,,,2984,94.65,,2984,144.52,,2984,199.23
,,,2983,94.45,,2983,144.31,,2983,199
,,,2982,94.24,,2982,144.11,,2982,198.78
,,,2981,94.04,,2981,143.92,,2981,198.58
,,,2980,93.85,,2980,143.74,,2980,198.4
,,,2979,93.66,,2979,143.56,,2979,198.22
,,,2978,93.46,,2978,143.37,,2978,198.04
,,,2977,93.23,,2977,143.15,,2977,197.82
,,,2976,92.96,,2976,142.89,,2976,197.56
,,,2975,92.64,,2975,142.59,,2975,197.25
,,,2974,92.28,,2974,142.24,,2974,196.89
,,,2973,91.88,,2973,141.85,,2973,196.49
,,,2972,91.44,,2972,141.41,,2972,196.04
,,,2971,90.96,,2971,140.94,,2971,195.54
,,,2970,90.43,,2970,140.42,,2970,195.01
,,,2969,89.87,,2969,139.87,,2969,194.43
,,,2968,89.26,,2968,139.27,,2968,193.81
,,,2967,88.61,,2967,138.65,,2967,193.15
,,,2966,87.94,,2966,137.99,,2966,192.45
,,,2965,87.25,,2965,137.31,,2965,191.73
,,,2964,86.55,,2964,136.62,,2964,190.99
,,,2963,85.85,,2963,135.92,,2963,190.26
,,,2962,85.15,,2962,135.23,,2962,189.52
,,,2961,84.47,,2961,134.56,,2961,188.8
,,,2960,83.81,,2960,133.9,,2960,188.11
,,,2959,83.19,,2959,133.29,,2959,187.45
,,,2958,82.63,,2958,132.72,,2958,186.84
,,,2957,82.12,,2957,132.21,,2957,186.3
,,,2956,81.67,,2956,131.76,,2956,185.83
,,,2955,81.3,,2955,131.38,,2955,185.43
,,,2954,81,,2954,131.08,,2954,185.11
