HSP,Healing_Time,Replica_Set,Max_Strain,Max_Stress,HE_Elongation_Mean,HE_UTS_Mean,Peak_logM,Molecular_Weight,Contact_Angle_Mean,Contact_Angle_Std
0.45,0.0,1-4,1477.92,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,1-5,1476.41,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,1-6,1474.91,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,1-7,1473.41,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,1-8,1471.9,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,1-9,1470.4,0.63,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-1,1486.32,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-10,1472.7,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-2,1484.81,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-3,1483.29,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-4,1481.78,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-5,1480.27,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-6,1478.75,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-7,1477.24,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-8,1475.73,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,2-9,1474.22,0.55,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-1,1396.01,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-10,1383.25,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-2,1394.54,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-3,1393.13,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-4,1391.72,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-5,1390.31,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-6,1388.89,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-7,1387.48,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-8,1386.07,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,0.0,3-9,1384.66,0.44,100.0,100.0,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-1,834.76,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-10,827.13,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-2,833.92,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-3,833.07,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-4,832.22,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-5,831.37,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-6,830.52,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-7,829.67,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-8,828.82,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,1-9,827.98,0.55,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-1,1172.85,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-10,1162.15,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-2,1171.66,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-3,1170.47,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-4,1169.28,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-5,1168.09,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-6,1166.9,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-7,1165.72,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-8,1164.53,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,2-9,1163.34,0.28,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-1,691.22,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-10,684.86,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-2,690.51,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-3,689.8,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-4,689.1,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-5,688.39,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-6,687.68,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-7,686.98,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-8,686.27,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,1.0,3-9,685.56,0.34,61.8,72.6,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-1,836.54,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-10,828.84,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-2,835.68,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-3,834.83,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-4,833.97,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-5,833.12,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-6,832.26,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-7,831.41,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-8,830.55,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,1-9,829.7,0.42,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-1,1237.81,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-10,1226.48,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-2,1236.55,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-3,1235.29,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-4,1234.03,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-5,1232.77,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-6,1231.51,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-7,1230.25,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-8,1229.0,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,2-9,1227.74,0.29,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-1,860.13,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-10,852.19,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-2,859.25,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-3,858.37,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-4,857.48,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-5,856.6,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-6,855.72,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-7,854.84,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-8,853.95,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,3-9,853.07,0.45,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-1,643.89,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-10,637.95,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-2,643.23,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-3,642.57,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-4,641.91,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-5,641.25,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-6,640.59,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-7,639.93,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-8,639.27,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
0.45,3.0,4-9,638.61,0.34,61.5,69.7,4.43,26915.348039269138,76.00200000000001,42.12131906766454
