HSP,Healing_Time,Replica_Set,Max_Strain,Max_Stress,HE_Elongation_Mean,HE_UTS_Mean,Peak_logM,Molecular_Weight,Contact_Angle_Mean,Contact_Angle_Std
0.35,1.0,2-8,924.67,0.21,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,2-9,923.72,0.21,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-1,919.59,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-10,911.2,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-2,918.65,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-3,917.72,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-4,916.79,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-5,915.86,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-6,914.93,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-7,914.0,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-8,913.07,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,1.0,3-9,912.13,0.3,34.2,92.9,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-1,1168.61,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-10,1157.92,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-2,1167.42,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-3,1166.23,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-4,1165.04,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-5,1163.86,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-6,1162.67,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-7,1161.48,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-8,1160.29,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,1-9,1159.1,0.26,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-1,1387.96,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-10,1375.35,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-2,1386.56,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-3,1385.16,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-4,1383.76,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-5,1382.36,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-6,1380.95,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-7,1379.55,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-8,1378.15,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,2-9,1376.75,0.16,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-1,1439.05,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-10,1425.89,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-2,1437.59,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-3,1436.12,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-4,1434.66,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-5,1433.2,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-6,1431.74,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-7,1430.28,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-8,1428.81,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.35,3.0,3-9,1427.35,0.14,46.9,68.5,4.45,28183.82931264455,70.624,39.14259930050635
0.4,0.0,1-1,1783.14,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,1-10,1766.94,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,1-2,1781.34,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,1-3,1779.54,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,1-4,1777.74,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,1-5,1775.94,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,1-6,1774.14,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,1-7,1772.34,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,1-8,1770.54,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,1-9,1768.74,0.42,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-1,1735.69,0.37,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-10,1575.99,0.36,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-2,1717.92,0.37,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-3,1700.17,0.37,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-4,1682.41,0.36,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-5,1664.66,0.36,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-6,1646.93,0.36,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-7,1629.2,0.36,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-8,1611.47,0.36,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,2-9,1593.72,0.36,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-1,2146.43,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-10,2126.93,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-2,2144.27,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-3,2142.1,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-4,2139.93,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-5,2137.76,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-6,2135.59,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-7,2133.42,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-8,2131.26,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,3-9,2129.09,0.33,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-1,1821.45,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-10,1804.82,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-2,1819.6,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-3,1817.75,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-4,1815.91,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-5,1814.06,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-6,1812.21,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-7,1810.36,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-8,1808.52,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.0,4-9,1806.67,0.35,100.0,100.0,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-1,1270.61,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-10,1259.02,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-2,1269.32,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-3,1268.04,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-4,1266.75,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-5,1265.46,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-6,1264.17,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-7,1262.88,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-8,1261.6,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,1-9,1260.31,0.38,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-1,1255.78,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-10,1244.25,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-2,1254.5,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-3,1253.22,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-4,1251.94,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-5,1250.66,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-6,1249.37,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-7,1248.09,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-8,1246.81,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,2-9,1245.53,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,3-1,1365.68,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,3-10,1353.22,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,3-2,1364.3,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,3-3,1362.91,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,3-4,1361.53,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,3-5,1360.14,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
0.4,0.33,3-6,1358.76,0.39,69.3,100.9,4.53,33884.415613920275,73.612,40.911683783486595
