Machine Name,Lloyd LRX ,,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,32.88,1.65,,26.2,2.33,,32.04,1.95
,,,33.18,1.65,,26.57,2.34,,32.33,1.96
,,,33.48,1.65,,26.93,2.34,,32.62,1.97
,,,33.78,1.66,,27.29,2.35,,32.91,1.98
,,,34.07,1.66,,27.61,2.36,,33.2,1.99
,,,34.38,1.66,,27.94,2.37,,33.49,2
,,,34.7,1.66,,28.28,2.38,,33.79,2
,,,35.03,1.67,,28.64,2.39,,34.09,2.01
,,,35.35,1.67,,29.01,2.4,,34.39,2.02
,,,35.66,1.67,,29.37,2.41,,34.69,2.03
,,,35.96,1.68,,29.73,2.42,,34.99,2.03
,,,36.27,1.68,,30.07,2.43,,35.29,2.03
,,,36.58,1.68,,30.41,2.43,,35.59,2.04
,,,36.88,1.68,,30.74,2.44,,35.89,2.04
,,,37.19,1.69,,31.09,2.45,,36.19,2.04
,,,37.49,1.69,,31.44,2.46,,36.49,2.04
,,,37.8,1.69,,31.79,2.47,,36.79,2.05
,,,38.1,1.69,,32.15,2.48,,37.09,2.05
,,,38.41,1.7,,32.5,2.49,,37.39,2.05
,,,38.71,1.7,,32.85,2.5,,37.69,2.05
,,,39.02,1.7,,33.21,2.51,,37.99,2.06
,,,39.33,1.7,,33.56,2.52,,38.28,2.06
,,,39.63,1.71,,33.91,2.53,,38.58,2.06
,,,39.94,1.71,,34.27,2.53,,38.88,2.06
,,,40.24,1.71,,34.62,2.54,,39.17,2.07
,,,40.55,1.71,,34.97,2.55,,39.47,2.07
,,,40.85,1.72,,35.33,2.56,,39.77,2.07
,,,41.16,1.72,,35.68,2.57,,40.07,2.07
,,,41.46,1.72,,36.03,2.58,,40.36,2.08
,,,41.77,1.72,,36.39,2.59,,40.66,2.08
,,,42.07,1.73,,36.74,2.6,,40.96,2.08
,,,42.38,1.73,,37.09,2.61,,41.25,2.08
,,,42.69,1.73,,37.45,2.62,,41.55,2.09
,,,42.99,1.73,,37.8,2.62,,41.85,2.09
,,,43.3,1.74,,38.15,2.63,,42.15,2.09
,,,43.6,1.74,,38.51,2.64,,42.44,2.09
,,,43.91,1.74,,38.86,2.65,,42.74,2.1
,,,44.21,1.75,,39.21,2.66,,43.04,2.1
,,,44.52,1.75,,39.57,2.66,,43.33,2.1
,,,44.82,1.75,,39.92,2.66,,43.63,2.1
,,,45.13,1.75,,40.27,2.67,,43.93,2.11
,,,45.44,1.76,,40.62,2.67,,44.23,2.11
,,,45.74,1.76,,40.98,2.68,,44.52,2.11
,,,46.05,1.76,,41.33,2.68,,44.82,2.11
,,,46.35,1.76,,41.68,2.68,,45.12,2.12
,,,46.66,1.77,,42.03,2.69,,45.41,2.12
,,,46.96,1.77,,42.38,2.69,,45.71,2.12
,,,47.27,1.77,,42.73,2.69,,46.01,2.12
,,,47.57,1.77,,43.08,2.7,,46.31,2.13
,,,47.88,1.78,,43.43,2.7,,46.6,2.13
,,,48.18,1.78,,43.78,2.71,,46.9,2.13
,,,48.49,1.78,,44.13,2.71,,47.2,2.13
,,,48.8,1.78,,44.49,2.71,,47.49,2.14
,,,49.1,1.79,,44.84,2.72,,47.79,2.14
,,,49.41,1.79,,45.19,2.72,,48.09,2.14
,,,49.71,1.79,,45.54,2.73,,48.39,2.14
,,,50.02,1.79,,45.89,2.73,,48.68,2.15
,,,50.32,1.8,,46.24,2.73,,48.98,2.15
,,,50.63,1.8,,46.59,2.74,,49.28,2.15
,,,50.93,1.8,,46.94,2.74,,49.58,2.15
,,,51.24,1.8,,47.29,2.74,,49.87,2.16
,,,51.55,1.81,,47.65,2.75,,50.17,2.16
,,,51.85,1.81,,48,2.75,,50.47,2.16
,,,52.16,1.81,,48.35,2.76,,50.76,2.16
,,,52.46,1.82,,48.7,2.76,,51.06,2.17
,,,52.77,1.82,,49.05,2.76,,51.36,2.17
,,,53.07,1.82,,49.4,2.77,,51.66,2.17
,,,53.38,1.82,,49.75,2.77,,51.95,2.17
,,,53.68,1.83,,50.1,2.77,,52.25,2.18
,,,53.99,1.83,,50.45,2.78,,52.55,2.18
,,,54.3,1.83,,50.8,2.78,,52.84,2.18
,,,54.6,1.83,,51.16,2.79,,53.14,2.18
,,,54.91,1.84,,51.51,2.79,,53.44,2.19
,,,55.21,1.84,,51.86,2.79,,53.74,2.19
,,,55.52,1.84,,52.21,2.8,,54.03,2.19
,,,55.82,1.84,,52.56,2.8,,54.33,2.19
,,,56.13,1.85,,52.91,2.81,,54.63,2.2
,,,56.43,1.85,,53.26,2.81,,54.92,2.2
,,,56.74,1.85,,53.61,2.81,,55.22,2.2
,,,57.04,1.85,,53.96,2.82,,55.52,2.2
,,,57.35,1.86,,54.31,2.82,,55.82,2.21
,,,57.66,1.86,,54.67,2.82,,56.11,2.21
,,,57.96,1.86,,55.02,2.83,,56.41,2.21
,,,58.27,1.86,,55.37,2.83,,56.71,2.21
,,,58.57,1.87,,55.72,2.84,,57,2.22
,,,58.88,1.87,,56.07,2.84,,57.3,2.22
,,,59.18,1.87,,56.42,2.84,,57.6,2.22
,,,59.49,1.87,,56.77,2.85,,57.9,2.22
,,,59.79,1.88,,57.12,2.85,,58.19,2.23
,,,60.1,1.88,,57.47,2.85,,58.49,2.23
,,,60.41,1.88,,57.83,2.86,,58.79,2.23
,,,60.71,1.89,,58.18,2.86,,59.08,2.23
,,,61.02,1.89,,58.53,2.87,,59.38,2.23
,,,61.32,1.89,,58.88,2.87,,59.68,2.24
,,,61.63,1.89,,59.23,2.87,,59.98,2.24
,,,61.93,1.9,,59.58,2.88,,60.27,2.24
,,,62.24,1.9,,59.93,2.88,,60.57,2.24
,,,62.54,1.9,,60.28,2.89,,60.87,2.25
,,,62.85,1.9,,60.63,2.89,,61.17,2.25
,,,63.15,1.91,,60.98,2.89,,61.46,2.25
,,,63.46,1.91,,61.34,2.9,,61.76,2.25
,,,63.77,1.91,,61.69,2.9,,62.06,2.26
,,,64.07,1.91,,62.04,2.9,,62.35,2.26
,,,64.38,1.92,,62.39,2.91,,62.65,2.26
,,,64.68,1.92,,62.74,2.91,,62.95,2.26
,,,64.99,1.92,,63.09,2.92,,63.25,2.27
,,,65.29,1.92,,63.44,2.92,,63.54,2.27
,,,65.6,1.93,,63.79,2.92,,63.84,2.27
,,,65.9,1.93,,64.14,2.93,,64.14,2.27
,,,66.21,1.93,,64.49,2.93,,64.44,2.28
,,,66.52,1.93,,64.85,2.93,,64.73,2.28
,,,66.82,1.94,,65.2,2.94,,65.03,2.28
,,,67.13,1.94,,65.55,2.94,,65.33,2.28
,,,67.43,1.94,,65.9,2.95,,65.62,2.29
,,,67.74,1.94,,66.25,2.95,,65.92,2.29
,,,68.04,1.95,,66.6,2.95,,66.22,2.29
,,,68.35,1.95,,66.95,2.96,,66.52,2.29
,,,68.65,1.95,,67.3,2.96,,66.81,2.3
,,,68.96,1.96,,67.65,2.97,,67.11,2.3
,,,69.27,1.96,,68,2.97,,67.41,2.3
,,,69.57,1.96,,68.35,2.97,,67.71,2.3
,,,69.88,1.96,,68.7,2.98,,68,2.31
,,,70.18,1.97,,69.05,2.98,,68.3,2.31
,,,70.49,1.97,,69.4,2.98,,68.6,2.31
,,,70.79,1.97,,69.75,2.99,,68.9,2.31
,,,71.1,1.97,,70.11,2.99,,69.19,2.32
,,,71.4,1.98,,70.46,3,,69.49,2.32
,,,71.71,1.98,,70.81,3,,69.79,2.32
,,,72.01,1.98,,71.16,3,,70.08,2.32
,,,72.32,1.98,,71.51,3.01,,70.38,2.33
,,,72.63,1.99,,71.86,3.01,,70.68,2.33
,,,72.93,1.99,,72.21,3.01,,70.98,2.33
,,,73.24,1.99,,72.56,3.02,,71.27,2.33
,,,73.54,1.99,,72.91,3.02,,71.57,2.34
,,,73.85,2,,73.26,3.03,,71.87,2.34
,,,74.15,2,,73.61,3.03,,72.17,2.34
,,,74.46,2,,73.96,3.03,,72.46,2.34
,,,74.76,2,,74.31,3.04,,72.76,2.35
,,,75.07,2.01,,74.66,3.04,,73.06,2.35
,,,75.38,2.01,,75.01,3.05,,73.36,2.35
,,,75.68,2.01,,75.37,3.05,,73.65,2.35
,,,75.99,2.01,,75.72,3.05,,73.95,2.36
,,,76.29,2.02,,76.07,3.06,,74.25,2.36
,,,76.6,2.02,,76.42,3.06,,74.54,2.36
,,,76.9,2.02,,76.77,3.06,,74.84,2.36
,,,77.21,2.03,,77.12,3.07,,75.14,2.37
,,,77.51,2.03,,77.47,3.07,,75.44,2.37
,,,77.82,2.03,,77.82,3.08,,75.73,2.37
,,,78.12,2.03,,78.17,3.08,,76.03,2.37
,,,78.43,2.04,,78.52,3.08,,76.33,2.38
,,,78.74,2.04,,78.87,3.09,,76.63,2.38
,,,79.04,2.04,,79.22,3.09,,76.92,2.38
,,,79.35,2.04,,79.57,3.09,,77.22,2.38
,,,79.65,2.05,,79.92,3.1,,77.52,2.39
,,,79.96,2.05,,80.27,3.1,,77.82,2.39
,,,80.26,2.05,,80.62,3.11,,78.11,2.39
,,,80.57,2.05,,80.98,3.11,,78.41,2.39
,,,80.87,2.06,,81.33,3.11,,78.71,2.4
,,,81.18,2.06,,81.68,3.12,,79,2.4
,,,81.49,2.06,,82.03,3.12,,79.3,2.4
