Machine Name,Bruker Avance III HD 600 MHz,,P40 - H NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 64 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,2.04,29565.97
,,,2.04,29487.13
,,,2.04,29218.3
,,,2.04,29695.69
,,,2.04,29940.3
,,,2.04,29414.06
,,,2.04,29268.05
,,,2.04,29192.23
,,,2.04,29593.77
,,,2.04,30014.11
,,,2.04,29847.14
,,,2.04,29933.33
,,,2.04,30172.31
,,,2.05,29828.28
,,,2.05,29811.91
,,,2.05,29386.08
,,,2.05,29216.28
,,,2.05,29314.91
,,,2.05,29177.95
,,,2.05,28836.69
,,,2.05,28604.33
,,,2.05,28664.23
,,,2.05,28883.14
,,,2.05,28622.78
,,,2.05,28655.45
,,,2.05,28630.97
,,,2.05,28891.61
,,,2.05,28571
,,,2.05,28780.38
,,,2.06,28533.08
,,,2.06,28018.02
,,,2.06,27805.03
,,,2.06,27908.95
,,,2.06,28001.97
,,,2.06,27484.23
,,,2.06,27669.75
,,,2.06,27147.47
,,,2.06,26826.17
,,,2.06,26603.48
,,,2.06,26645.2
,,,2.06,26721.2
,,,2.06,26851.69
,,,2.06,26809.55
,,,2.06,26499.11
,,,2.06,26528.94
,,,2.07,26146.45
,,,2.07,26294.05
,,,2.07,26185.38
,,,2.07,26120.94
,,,2.07,25909.14
,,,2.07,25701.7
,,,2.07,25585.86
,,,2.07,25317.98
,,,2.07,25413.34
,,,2.07,25554.23
,,,2.07,25609.98
,,,2.07,25862.58
,,,2.07,25856.36
,,,2.07,25122.06
,,,2.07,24769.81
,,,2.07,25132.73
,,,2.08,25562.36
,,,2.08,25388.81
,,,2.08,25045.86
,,,2.08,24623.31
,,,2.08,24410.27
,,,2.08,24819.63
,,,2.08,24663.11
,,,2.08,24311.63
,,,2.08,24179.42
,,,2.08,23938.42
,,,2.08,23947.36
,,,2.08,24150.67
,,,2.08,24447.84
,,,2.08,24070.09
,,,2.08,23596.02
,,,2.08,23556.91
,,,2.09,23408.53
,,,2.09,23329.53
,,,2.09,23321.09
,,,2.09,23404.67
,,,2.09,23741.05
,,,2.09,23479.53
,,,2.09,23553.19
,,,2.09,23168.3
,,,2.09,23131.83
,,,2.09,23339.53
,,,2.09,23012.94
,,,2.09,23085.38
,,,2.09,23238.28
,,,2.09,23452.02
,,,2.09,22987.3
,,,2.09,22410.59
,,,2.1,22076.53
,,,2.1,22172.03
,,,2.1,21781.86
,,,2.1,21468.2
,,,2.1,21566.41
,,,2.1,21287.16
,,,2.1,21446.92
,,,2.1,21447.81
,,,2.1,21473.14
,,,2.1,21214.64
,,,2.1,21036.59
,,,2.1,21207.14
,,,2.1,21331.38
,,,2.1,21172.89
,,,2.1,21274.44
,,,2.1,21137.84
,,,2.11,20440.25
,,,2.11,20137.69
,,,2.11,20521.5
,,,2.11,20446.08
,,,2.11,20513.56
,,,2.11,20402.38
,,,2.11,20672.98
,,,2.11,20400.11
,,,2.11,20266.36
,,,2.11,20096.95
,,,2.11,19715.17
,,,2.11,19614.56
,,,2.11,19658.39
,,,2.11,19484.39
,,,2.11,18720.83
,,,2.11,18269.81
,,,2.12,18483.42
,,,2.12,18694.25
,,,2.12,19012
,,,2.12,19371.64
,,,2.12,19073.75
,,,2.12,19090.59
,,,2.12,19086.75
,,,2.12,18908.67
,,,2.12,18951.59
,,,2.12,19158.16
,,,2.12,19175.78
,,,2.12,18778.33
,,,2.12,18776.58
,,,2.12,18588.52
,,,2.12,18205.34
,,,2.12,18052.89
,,,2.13,18220.78
,,,2.13,18109.27
,,,2.13,17945.28
,,,2.13,18002.63
,,,2.13,17501.44
,,,2.13,17700.05
,,,2.13,18196.55
,,,2.13,18107.78
,,,2.13,18045.55
,,,2.13,17906.3
,,,2.13,17573.16
,,,2.13,17452.25
,,,2.13,17786.19
,,,2.13,18004.33
,,,2.13,17959.94
,,,2.13,17645.2
,,,2.14,17189.52
,,,2.14,17391.02
,,,2.14,17767.42
,,,2.14,17456.02
,,,2.14,17119.78
,,,2.14,17037.61
,,,2.14,17066.39
,,,2.14,16800.86
,,,2.14,17168.56
,,,2.14,17079.28
,,,2.14,16929.58
,,,2.14,16999.97
,,,2.14,17022.02
,,,2.14,16689.17
,,,2.14,16941.08
,,,2.14,17281.39
,,,2.15,17054.66
,,,2.15,16821.98
,,,2.15,16688.73
,,,2.15,17320.17
,,,2.15,17197.45
,,,2.15,17021.27
,,,2.15,17088.27
,,,2.15,17117.02
,,,2.15,17188.63
,,,2.15,17653.5
,,,2.15,17567.78
,,,2.15,17650.94
,,,2.15,17784.5
,,,2.15,17665.14
,,,2.15,17645.67
,,,2.15,18261.42
,,,2.16,17930.3
,,,2.16,17861.64
,,,2.16,17655
,,,2.16,17797.98
,,,2.16,17601.25
,,,2.16,17429.14
,,,2.16,17572.8
,,,2.16,17479.8
,,,2.16,17586.23
,,,2.16,17832.42
,,,2.16,18122.83
,,,2.16,17673
,,,2.16,17786.31
,,,2.16,18155
,,,2.16,17819.3
,,,2.17,17999.22
,,,2.17,18553.02
,,,2.17,18495.8
,,,2.17,18496.7
,,,2.17,18240.28
,,,2.17,18434.56
,,,2.17,18658.41
,,,2.17,18745.27
,,,2.17,18956.63
,,,2.17,18714.33
,,,2.17,18435.36
,,,2.17,18850.19
,,,2.17,18440.16
,,,2.17,18271.63
,,,2.17,18587.56
,,,2.17,18581.73
,,,2.18,18583.08
,,,2.18,18739.63
,,,2.18,19160.86
,,,2.18,18926.27
,,,2.18,18983.97
,,,2.18,19343.67
,,,2.18,19307.52
,,,2.18,19883.25
,,,2.18,20302.38
,,,2.18,20397.97
,,,2.18,20251.48
,,,2.18,19827.89
,,,2.18,19851.23
,,,2.18,19645.63
,,,2.18,19508.17
,,,2.18,19109.08
,,,2.19,18784.7
,,,2.19,18508.55
,,,2.19,17437.27
,,,2.19,17247.3
,,,2.19,17393.47
,,,2.19,17572.09
,,,2.19,17381
,,,2.19,17182.08
,,,2.19,17093.31
,,,2.19,17067.48
,,,2.19,17120.97
,,,2.19,17010.98
,,,2.19,16914.45
,,,2.19,16791.36
,,,2.19,16644.05
,,,2.19,16252.42
,,,2.2,16410.13
,,,2.2,16358.06
,,,2.2,16349.94
,,,2.2,16609.31
,,,2.2,17008.08
,,,2.2,17157.34
,,,2.2,17372.5
,,,2.2,17751.64
,,,2.2,17659.44
,,,2.2,17368.31
,,,2.2,17109.81
,,,2.2,16927.81
,,,2.2,16710.55
,,,2.2,16564.5
,,,2.2,16842.45
,,,2.2,16701.11
,,,2.21,16373.36
,,,2.21,15997.13
,,,2.21,15905.75
,,,2.21,15865.52
,,,2.21,15820.27
,,,2.21,16197.55
,,,2.21,15783.7
,,,2.21,15693.08
,,,2.21,15263.31
,,,2.21,15740.91
,,,2.21,15827.91
,,,2.21,15123.34
,,,2.21,14998.22
,,,2.21,14836.59
,,,2.21,14736.31
,,,2.21,14803.02
,,,2.22,14815.92
,,,2.22,14672.95
,,,2.22,14542.08
,,,2.22,14833.34
,,,2.22,14773.69
,,,2.22,14878.06
,,,2.22,15356.39
,,,2.22,15184.89
,,,2.22,15201.64
,,,2.22,15186.17
,,,2.22,15224.84
,,,2.22,15607.81
,,,2.22,15627.92
,,,2.22,15280.34
,,,2.22,15748.88
,,,2.22,16122.91
,,,2.23,15660.2
,,,2.23,15903.33
,,,2.23,16678.23
,,,2.23,16634.3
,,,2.23,16809.81
,,,2.23,16890.28
,,,2.23,17268.2
,,,2.23,18153.3
,,,2.23,18329.94
,,,2.23,18971.94
,,,2.23,19148.23
,,,2.23,19719.56
,,,2.23,20222.33
,,,2.23,19993.25
,,,2.23,19788.11
,,,2.23,18952.31
,,,2.24,18422.72
,,,2.24,18052.22
,,,2.24,17563.17
,,,2.24,17418.89
,,,2.24,16848.92
,,,2.24,16474.64
,,,2.24,16435.94
,,,2.24,16045.88
,,,2.24,15726.92
,,,2.24,15174.5
,,,2.24,15450.95
,,,2.24,15635.58
,,,2.24,15878.22
,,,2.24,16263.42
,,,2.24,15999.97
,,,2.24,15864.45
,,,2.25,15970.8
,,,2.25,16216.95
,,,2.25,15942.69
,,,2.25,15553.52
,,,2.25,15959.88
,,,2.25,15798.09
,,,2.25,15748.31
,,,2.25,16089.64
,,,2.25,16191.44
,,,2.25,16219.31
,,,2.25,16312
,,,2.25,16524
,,,2.25,16789.7
,,,2.25,17021.14
,,,2.25,17314.52
,,,2.25,18080.83
,,,2.26,18810.84
,,,2.26,18970.8
,,,2.26,18733.13
,,,2.26,18736.7
,,,2.26,18713.67
,,,2.26,18637.17
,,,2.26,18149.19
,,,2.26,18309.86
,,,2.26,18052.59
,,,2.26,17573.64
,,,2.26,17680.53
,,,2.26,17392.42
,,,2.26,17216.25
,,,2.26,17465.03
,,,2.26,17551.97
,,,2.26,17533.95
,,,2.27,17343.94
,,,2.27,17761.06
,,,2.27,17908.67
,,,2.27,17635.45
,,,2.27,17654.19
,,,2.27,17934.58
,,,2.27,17610.63
,,,2.27,17891.91
,,,2.27,17879.63
,,,2.27,17372.5
,,,2.27,17050.34
,,,2.27,16886.19
,,,2.27,16955.55
,,,2.27,16642.06
,,,2.27,16625.8
,,,2.27,16830.2
,,,2.28,17130.25
,,,2.28,17118.38
,,,2.28,17271.63
,,,2.28,17298.84
,,,2.28,17713.58
,,,2.28,18164.98
,,,2.28,18212.17
,,,2.28,17972.53
,,,2.28,18318.08
,,,2.28,18389.14
,,,2.28,18326.77
,,,2.28,18006.8
,,,2.28,18146.2
,,,2.28,18011.47
,,,2.28,18513.53
,,,2.28,18704.59
,,,2.29,17985.08
,,,2.29,17847.42
,,,2.29,18153.17
,,,2.29,17930.92
,,,2.29,17560.53
,,,2.29,17406.09
,,,2.29,17088.13
,,,2.29,16477.48
,,,2.29,16649.52
,,,2.29,16949.09
,,,2.29,16748.38
,,,2.29,16613.89
,,,2.29,16355.52
,,,2.29,16517.45
,,,2.29,16791.69
,,,2.29,16658.67
,,,2.3,16030.45
,,,2.3,15835.28
,,,2.3,15260.02
,,,2.3,15155.92
,,,2.3,14619.17
,,,2.3,14362.64
,,,2.3,14099.69
,,,2.3,14563.47
,,,2.3,14775.03
,,,2.3,14381.64
,,,2.3,13933.47
,,,2.3,14134.7
,,,2.3,14271.41
,,,2.3,13865.44
,,,2.3,13718.08
,,,2.3,13299.67
,,,2.31,13637.86
,,,2.31,13846.59
,,,2.31,13377.13
,,,2.31,13177.95
,,,2.31,13909.55
,,,2.31,13460.33
,,,2.31,12666.69
,,,2.31,12702.23
,,,2.31,12423.59
,,,2.31,12746.89
,,,2.31,12403.16
,,,2.31,12640.17
,,,2.31,12820.34
,,,2.31,12860.25
,,,2.31,12426.75
,,,2.32,12156.61
,,,2.32,11978.44
,,,2.32,12161.2
,,,2.32,12195.58
,,,2.32,11948.88
,,,2.32,12610.28
,,,2.32,12487.41
,,,2.32,12659.7
,,,2.32,12976.88
,,,2.32,13248.23
,,,2.32,13106.25
,,,2.32,13473.34
,,,2.32,13748.33
,,,2.32,14437.95
,,,2.32,15238.58
,,,2.32,15914.64
,,,2.33,16252.52
,,,2.33,16715.44
,,,2.33,17800.31
,,,2.33,18884.28
,,,2.33,20299.42
,,,2.33,22263.64
,,,2.33,24823.17
,,,2.33,27350.75
,,,2.33,29233.89
,,,2.33,29681.63
,,,2.33,28925.44
,,,2.33,26593.84
,,,2.33,24531.73
,,,2.33,22387.2
,,,2.33,20968.16
,,,2.33,19432.86
,,,2.34,18313.05
,,,2.34,16987.28
,,,2.34,16663.42
,,,2.34,16267.34
,,,2.34,16232.55
,,,2.34,16361.61
,,,2.34,16434.06
,,,2.34,16316.7
,,,2.34,16504.05
,,,2.34,17596.08
,,,2.34,17917.97
,,,2.34,18582.61
,,,2.34,19315.3
,,,2.34,20263.83
,,,2.34,20768.5
,,,2.34,21700.89
,,,2.35,23770.63
,,,2.35,25892.75
,,,2.35,28461.27
,,,2.35,32492.03
,,,2.35,36008.05
,,,2.35,40016
,,,2.35,43070.81
,,,2.35,44271.48
,,,2.35,42992.23
,,,2.35,39966.72
,,,2.35,35820.53
,,,2.35,32063.42
,,,2.35,28180.72
,,,2.35,24909.19
,,,2.35,23306.2
,,,2.35,22299.14
,,,2.36,20839.42
,,,2.36,19980.75
,,,2.36,19097.03
,,,2.36,18912.45
,,,2.36,18382.17
,,,2.36,17623.03
,,,2.36,17488.11
,,,2.36,17835.92
,,,2.36,17968.25
,,,2.36,17969.67
,,,2.36,18057.2
,,,2.36,18404.55
,,,2.36,18508.83
,,,2.36,19200.48
,,,2.36,19838.73
,,,2.36,20914.31
,,,2.37,22246.86
,,,2.37,23781.11
,,,2.37,25919.36
,,,2.37,27847.44
,,,2.37,29391.72
,,,2.37,30017.25
,,,2.37,29008.38
,,,2.37,27446.89
,,,2.37,25091.61
,,,2.37,22928.86
,,,2.37,20968.22
,,,2.37,19527.69
,,,2.37,18637.31
,,,2.37,18216.25
,,,2.37,17813.31
,,,2.37,17346.89
,,,2.38,16881.03
,,,2.38,16755.8
,,,2.38,16391.53
,,,2.38,16248.05
,,,2.38,16364.8
,,,2.38,15877.97
,,,2.38,16101.59
,,,2.38,16008.22
,,,2.38,16154.47
,,,2.38,15888.3
,,,2.38,15861.7
,,,2.38,15990.27
,,,2.38,16150.02
,,,2.38,15920.13
,,,2.38,15957.86
,,,2.38,16019.38
,,,2.39,15862.81
,,,2.39,15585.05
,,,2.39,15490.91
,,,2.39,15887.28
,,,2.39,16130.59
,,,2.39,15980.06
,,,2.39,16167.05
,,,2.39,15969.22
,,,2.39,15555.42
,,,2.39,15373.05
,,,2.39,16065
,,,2.39,15830.7
,,,2.39,15963.91
,,,2.39,15824.44
,,,2.39,16040.39
,,,2.39,16457.33
,,,2.4,16922.72
,,,2.4,16293.55
,,,2.4,16324.55
,,,2.4,16344.03
,,,2.4,16318.09
,,,2.4,16706.3
,,,2.4,16884.89
,,,2.4,17081.19
,,,2.4,17184.27
,,,2.4,16707.36
,,,2.4,16643.67
,,,2.4,16556.11
,,,2.4,16724.84
,,,2.4,16920.45
,,,2.4,16832.69
,,,2.4,16863.06
,,,2.41,16745.78
,,,2.41,16614.86
,,,2.41,16601.45
,,,2.41,17003.08
,,,2.41,16956.61
,,,2.41,16856.75
,,,2.41,16893.27
,,,2.41,16855.2
,,,2.41,17054.22
,,,2.41,16920.83
,,,2.41,17355.73
,,,2.41,17410.25
,,,2.41,17458.44
,,,2.41,17482.45
,,,2.41,17380.56
,,,2.41,17115.52
,,,2.42,17420.84
,,,2.42,17610.67
,,,2.42,17714.28
,,,2.42,17618.05
,,,2.42,17789.53
,,,2.42,17485.77
,,,2.42,17656.19
,,,2.42,17438.92
,,,2.42,17473.03
,,,2.42,17881.13
,,,2.42,17702.09
,,,2.42,17437.83
,,,2.42,17664.06
,,,2.42,17394.2
,,,2.42,17279.5
,,,2.42,17206.19
,,,2.43,17344.92
,,,2.43,17295.67
,,,2.43,17485.06
,,,2.43,17693.64
,,,2.43,17392.36
,,,2.43,17185.05
,,,2.43,17575.86
,,,2.43,17086.69
,,,2.43,16972.86
,,,2.43,17288.7
,,,2.43,17963.09
,,,2.43,17843.25
,,,2.43,17812.98
,,,2.43,17543
,,,2.43,17725.09
,,,2.43,17886.48
,,,2.44,17989.08
,,,2.44,18559.34
,,,2.44,18468.27
,,,2.44,18499.52
,,,2.44,19378.36
,,,2.44,19718.25
,,,2.44,19650.84
,,,2.44,19500.11
,,,2.44,19491.47
,,,2.44,19913.44
,,,2.44,19765.56
,,,2.44,20320.94
,,,2.44,20397.11
,,,2.44,20669.86
,,,2.44,20843.03
,,,2.44,20763.34
,,,2.45,21079.92
,,,2.45,20651.44
,,,2.45,20912.95
,,,2.45,21192.73
,,,2.45,21911.81
,,,2.45,21837.52
,,,2.45,21844.47
,,,2.45,21579.58
,,,2.45,21603.36
,,,2.45,21472.19
,,,2.45,21877.52
,,,2.45,22042.02
,,,2.45,22151.61
,,,2.45,22550.55
,,,2.45,22410.5
,,,2.45,22601.69
,,,2.46,22790.3
,,,2.46,23307.31
,,,2.46,23588.47
,,,2.46,23529.42
,,,2.46,23281.91
,,,2.46,23786.11
,,,2.46,24109.06
,,,2.46,24807.67
,,,2.46,25002.05
,,,2.46,25048.81
,,,2.46,25053.34
,,,2.46,25543.44
,,,2.46,25704.98
,,,2.46,25787.83
,,,2.46,26793.39
,,,2.47,26964.64
,,,2.47,27071.94
,,,2.47,27415.55
,,,2.47,27320.56
,,,2.47,27489.66
,,,2.47,27872.52
,,,2.47,28818.19
,,,2.47,28774.53
,,,2.47,29437.33
,,,2.47,30212.03
,,,2.47,30657.66
,,,2.47,31166.58
,,,2.47,31492
,,,2.47,32327.45
,,,2.47,32257.38
,,,2.47,32451.2
,,,2.48,33195.27
,,,2.48,33249.28
,,,2.48,33112.81
,,,2.48,33424.23
,,,2.48,33593.28
,,,2.48,33774.3
,,,2.48,33990.33
,,,2.48,33912.69
,,,2.48,34315.5
,,,2.48,34894.86
,,,2.48,35579.52
,,,2.48,36092.06
,,,2.48,36874.89
,,,2.48,37117.13
,,,2.48,37960.31
,,,2.48,38262.63
,,,2.49,39169.8
,,,2.49,39913.41
,,,2.49,40557.61
,,,2.49,41366.31
,,,2.49,42118.81
,,,2.49,42784.27
,,,2.49,42955.64
,,,2.49,43975.02
,,,2.49,44949.41
,,,2.49,45908.92
,,,2.49,46852.19
,,,2.49,47914.63
,,,2.49,48734.48
,,,2.49,49291.83
,,,2.49,50407.97
,,,2.49,51302.08
,,,2.5,52214.03
,,,2.5,53184.28
,,,2.5,54079.78
,,,2.5,55257.89
,,,2.5,56461.2
,,,2.5,57462.44
,,,2.5,58635.22
,,,2.5,59956.23
,,,2.5,60974.09
,,,2.5,62013.98
,,,2.5,62796.67
,,,2.5,62894.67
,,,2.5,63489.75
,,,2.5,63832.33
,,,2.5,63833.8
,,,2.5,64036.47
,,,2.51,64004.91
,,,2.51,63895.23
,,,2.51,64073.5
,,,2.51,64332.63
,,,2.51,64385.13
,,,2.51,65325.8
,,,2.51,66542.19
,,,2.51,67717.63
,,,2.51,68521.5
,,,2.51,69524.38
,,,2.51,70588.2
,,,2.51,72020.25
,,,2.51,73026.56
,,,2.51,74443.28
,,,2.51,76245.16
,,,2.51,77004.19
,,,2.52,78196.33
,,,2.52,79371.59
,,,2.52,80361.73
,,,2.52,81380.59
,,,2.52,82123.03
,,,2.52,82369.83
,,,2.52,83245.11
,,,2.52,83437.44
,,,2.52,84097.92
,,,2.52,84473.17
,,,2.52,85133.98
,,,2.52,85210.81
,,,2.52,85402.5
,,,2.52,85999.48
,,,2.52,86379.11
,,,2.52,86331.59
,,,2.53,86554
,,,2.53,86285.52
,,,2.53,85933.5
,,,2.53,86228.27
,,,2.53,85717.36
,,,2.53,85004.97
,,,2.53,84482.92
,,,2.53,84005.2
,,,2.53,84078.28
,,,2.53,83793.33
,,,2.53,83151.89
,,,2.53,83252.33
,,,2.53,83203.64
,,,2.53,83178.48
,,,2.53,83455.48
,,,2.53,83662.52
,,,2.54,83990.95
,,,2.54,84619.41
,,,2.54,85362.3
,,,2.54,85948.25
,,,2.54,85973.98
,,,2.54,86229.88
,,,2.54,86388.72
,,,2.54,87064.84
,,,2.54,87343.89
,,,2.54,87042.56
,,,2.54,86548.42
,,,2.54,85321.83
,,,2.54,84288.75
,,,2.54,83300.52
,,,2.54,81974.97
,,,2.54,80522.34
,,,2.55,79104.34
,,,2.55,78039.53
,,,2.55,77383.17
,,,2.55,76296.16
,,,2.55,74995.52
,,,2.55,73675.11
,,,2.55,72804.17
,,,2.55,72330.66
,,,2.55,71733.25
,,,2.55,70257.52
,,,2.55,69517.17
,,,2.55,68765.8
,,,2.55,68081.14
,,,2.55,67220.55
,,,2.55,66735.44
,,,2.55,66320.39
,,,2.56,65183.83
,,,2.56,64142.39
,,,2.56,63176.91
,,,2.56,62255.66
,,,2.56,61619.98
,,,2.56,60804.28
,,,2.56,60143.69
,,,2.56,59490.33
,,,2.56,58095.92
,,,2.56,57217.63
,,,2.56,56253.03
,,,2.56,55101.06
,,,2.56,54733.23
,,,2.56,54121.59
,,,2.56,53349
,,,2.56,52850.53
,,,2.57,52115.16
,,,2.57,51069.64
,,,2.57,50179.27
,,,2.57,48541.2
,,,2.57,47850.48
,,,2.57,46983.97
,,,2.57,46018.28
,,,2.57,45168.23
,,,2.57,43715.48
,,,2.57,42457.36
,,,2.57,41536.19
,,,2.57,41077.59
,,,2.57,39951.53
,,,2.57,39353.02
,,,2.57,39003.63
,,,2.57,37734.48
,,,2.58,36624.11
,,,2.58,36495.22
,,,2.58,36049.69
,,,2.58,35361.58
,,,2.58,34910.64
,,,2.58,34419.22
,,,2.58,33789.2
,,,2.58,33420.25
,,,2.58,33207.36
,,,2.58,32882.47
,,,2.58,32501.67
,,,2.58,31830.06
,,,2.58,31631.27
,,,2.58,31398.42
,,,2.58,30609.91
,,,2.58,29769.69
,,,2.59,29534.86
,,,2.59,28969.84
,,,2.59,28454.17
,,,2.59,27775.34
,,,2.59,27366.72
,,,2.59,27079.88
,,,2.59,26717.45
,,,2.59,26269.23
,,,2.59,24841.97
,,,2.59,24653.33
,,,2.59,24652.91
,,,2.59,24703.55
,,,2.59,23892.86
,,,2.59,24086.23
,,,2.59,24151.48
,,,2.59,23745.03
,,,2.6,23428.83
,,,2.6,23249.94
,,,2.6,22594.03
,,,2.6,22780.42
,,,2.6,22893.66
,,,2.6,22366.19
,,,2.6,22135.98
,,,2.6,22241.81
,,,2.6,21698.09
,,,2.6,21666.33
,,,2.6,21640.06
,,,2.6,21382.83
,,,2.6,21291.61
,,,2.6,21130.52
,,,2.6,20622.19
,,,2.6,20386.41
,,,2.61,20110.38
,,,2.61,19536.23
,,,2.61,19711.69
,,,2.61,19023.11
,,,2.61,18841.69
,,,2.61,18448.25
,,,2.61,18395.84
,,,2.61,18474.47
,,,2.61,18111.33
,,,2.61,17970.17
,,,2.61,17801.75
,,,2.61,17926.08
,,,2.61,17711.08
,,,2.61,17304.73
,,,2.61,16968.31
,,,2.62,17318.11
,,,2.62,16597.61
,,,2.62,16418.83
,,,2.62,16029.94
,,,2.62,15983.69
,,,2.62,16328.52
,,,2.62,16471.02
,,,2.62,16310.41
,,,2.62,16377.55
,,,2.62,16468.42
,,,2.62,16678.75
,,,2.62,16367.47
,,,2.62,16012.58
,,,2.62,16229.48
,,,2.62,15775.42
,,,2.62,15557.52
,,,2.63,15585.23
,,,2.63,15135.88
,,,2.63,14903.55
,,,2.63,15076.28
,,,2.63,15178.23
,,,2.63,14439.83
,,,2.63,14461.11
,,,2.63,14460.22
,,,2.63,14617.14
,,,2.63,14518.08
,,,2.63,14443.36
,,,2.63,14066.8
,,,2.63,14254.41
,,,2.63,13935.56
,,,2.63,13475.2
,,,2.63,13393.47
,,,2.64,13423.59
,,,2.64,13418.89
,,,2.64,13094.84
,,,2.64,12734.7
,,,2.64,12499.5
,,,2.64,12346.39
,,,2.64,12322.42
,,,2.64,12442.91
,,,2.64,12504.11
,,,2.64,12444.95
,,,2.64,12599.53
,,,2.64,12943.47
,,,2.64,12701.25
,,,2.64,12154.55
,,,2.64,11893.56
,,,2.64,11792.69
,,,2.65,12023.16
,,,2.65,12149.92
,,,2.65,12262.86
,,,2.65,12153.61
,,,2.65,11553.09
,,,2.65,11578.56
,,,2.65,11741.69
,,,2.65,11436.08
,,,2.65,10686.02
,,,2.65,10898.3
,,,2.65,11078.7
,,,2.65,11112.8
,,,2.65,10964.28
,,,2.65,11545.5
,,,2.65,11497.39
,,,2.65,11277.92
,,,2.66,11424.33
,,,2.66,11248.69
,,,2.66,11318.11
,,,2.66,11881.97
,,,2.66,11613.38
,,,2.66,11626.17
,,,2.66,11586.7
,,,2.66,11049.97
,,,2.66,11104.55
,,,2.66,11538.66
,,,2.66,11416.36
,,,2.66,11006.64
,,,2.66,10973.7
,,,2.66,11358.05
,,,2.66,11461.38
,,,2.66,11387.25
,,,2.67,11169.69
,,,2.67,11127.98
,,,2.67,10982.55
,,,2.67,10792.53
,,,2.67,10998.05
,,,2.67,10978.25
,,,2.67,11122.64
,,,2.67,11251.66
,,,2.67,11827.2
,,,2.67,11655.72
,,,2.67,11942.58
,,,2.67,11717.2
,,,2.67,11496.83
,,,2.67,11705.69
,,,2.67,11335.75
,,,2.67,10883.77
,,,2.68,10807.77
,,,2.68,10929.19
,,,2.68,11552.69
,,,2.68,11524.31
,,,2.68,11531.19
,,,2.68,10863.77
,,,2.68,11011.56
,,,2.68,11663.8
,,,2.68,11393.81
,,,2.68,11209.19
,,,2.68,11288.97
,,,2.68,11258.13
,,,2.68,11539.44
,,,2.68,11890.59
,,,2.68,11836.77
,,,2.68,11969.84
,,,2.69,12130.55
,,,2.69,12115.38
,,,2.69,12167.41
,,,2.69,12139.52
,,,2.69,12412.55
,,,2.69,12282.8
,,,2.69,12447.94
,,,2.69,12896.73
,,,2.69,12978.23
,,,2.69,12448
,,,2.69,12544.19
,,,2.69,12386.58
,,,2.69,12805.25
,,,2.69,12993.88
,,,2.69,12728.7
,,,2.69,12661.92
,,,2.7,13061.55
,,,2.7,13031.5
,,,2.7,12845.09
,,,2.7,12709.73
,,,2.7,12632
,,,2.7,13149.28
,,,2.7,13067.8
,,,2.7,13430.98
,,,2.7,13680.83
,,,2.7,13456.69
,,,2.7,13542.34
,,,2.7,13517.03
,,,2.7,13535.27
,,,2.7,13438.92
,,,2.7,13401.58
,,,2.7,13805.03
,,,2.71,13974.89
,,,2.71,14381.05
,,,2.71,14361.03
,,,2.71,14567.88
,,,2.71,15260.95
,,,2.71,15653.13
,,,2.71,16883.64
,,,2.71,16973.8
,,,2.71,17299.98
,,,2.71,16839.22
,,,2.71,15688.08
,,,2.71,14647.94
,,,2.71,14466.42
,,,2.71,14574.19
,,,2.71,14562.23
,,,2.71,14422.8
,,,2.72,14125.16
,,,2.72,14470.44
,,,2.72,14599.03
,,,2.72,14547.83
,,,2.72,14723.31
,,,2.72,14764.06
,,,2.72,14983.28
,,,2.72,15037.16
,,,2.72,14915.48
,,,2.72,15122
,,,2.72,14790.03
,,,2.72,14647.78
,,,2.72,14775.38
,,,2.72,14866.75
,,,2.72,15354.02
,,,2.72,15697.69
,,,2.73,15760.81
,,,2.73,15347.53
,,,2.73,15986.45
,,,2.73,15849.8
,,,2.73,15829.91
,,,2.73,15804.34
,,,2.73,15710.44
,,,2.73,15835.66
,,,2.73,15856.13
,,,2.73,16228.08
,,,2.73,16512.45
,,,2.73,16427.2
,,,2.73,17010.28
,,,2.73,17171.59
,,,2.73,17587.44
,,,2.73,17506.75
,,,2.74,17573.38
,,,2.74,17555.89
,,,2.74,17612.53
,,,2.74,17345.67
,,,2.74,17534.28
,,,2.74,17691.63
,,,2.74,17456.81
,,,2.74,17226.14
,,,2.74,17286.03
,,,2.74,17316.59
,,,2.74,17120.88
,,,2.74,16736.58
,,,2.74,16429.44
,,,2.74,16933.08
,,,2.74,16854
,,,2.74,17073.13
,,,2.75,16993.16
,,,2.75,17022.67
,,,2.75,17388.45
,,,2.75,17351.66
,,,2.75,17159.3
,,,2.75,17550.45
,,,2.75,17024.75
,,,2.75,16894.91
,,,2.75,17127.66
,,,2.75,17540.66
,,,2.75,17678.41
,,,2.75,17163.72
,,,2.75,17137.39
,,,2.75,17089.94
,,,2.75,17250.3
,,,2.75,16993.2
,,,2.76,17143.61
,,,2.76,16884.91
,,,2.76,16829.92
,,,2.76,16739.91
,,,2.76,16688.47
,,,2.76,16403.5
,,,2.76,16087.27
,,,2.76,15711.67
,,,2.76,15989.77
,,,2.76,15793.45
,,,2.76,15861.22
,,,2.76,15646.8
,,,2.76,15322.95
,,,2.76,15583.22
,,,2.76,15527.3
,,,2.76,15353.8
,,,2.77,15069.48
