Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,400.3,0.21,,281.52,0.15,,331.23,0.21,,339.47,0.31,,207.93,0.31,,,,,251.33,0.33,,208.91,0.29,,169.31,0.38,,168.54,0.38,,159.89,0.3
,,403.64,0.21,,283.95,0.15,,334.04,0.21,,342.34,0.31,,209.73,0.31,,,,,253.5,0.32,,210.75,0.29,,170.81,0.39,,170.05,0.38,,161.31,0.31
,,406.98,0.21,,286.38,0.15,,336.85,0.21,,345.21,0.31,,211.53,0.31,,,,,255.66,0.32,,212.59,0.29,,172.31,0.39,,171.55,0.38,,162.72,0.31
,,410.31,0.21,,288.81,0.15,,339.66,0.21,,348.08,0.31,,213.33,0.31,,,,,257.83,0.32,,214.44,0.29,,173.82,0.39,,173.06,0.38,,164.13,0.31
,,413.65,0.21,,291.23,0.15,,342.46,0.21,,350.95,0.31,,215.13,0.31,,,,,260,0.32,,216.28,0.29,,175.32,0.39,,174.57,0.38,,165.54,0.31
,,416.99,0.21,,293.66,0.15,,345.27,0.21,,353.82,0.31,,216.93,0.31,,,,,262.16,0.32,,218.12,0.29,,176.82,0.39,,176.07,0.38,,166.96,0.31
,,420.34,0.21,,296.09,0.15,,348.08,0.21,,356.68,0.32,,218.73,0.31,,,,,264.33,0.32,,219.97,0.29,,178.32,0.39,,177.58,0.39,,168.37,0.31
,,423.68,0.21,,298.52,0.15,,350.89,0.21,,359.55,0.32,,220.53,0.31,,,,,266.5,0.32,,221.81,0.29,,179.82,0.39,,179.09,0.39,,169.78,0.31
,,427.02,0.21,,300.95,0.15,,353.7,0.21,,362.42,0.32,,222.33,0.31,,,,,268.66,0.32,,223.65,0.28,,181.33,0.39,,180.51,0.39,,171.2,0.31
,,430.36,0.21,,303.38,0.15,,356.51,0.21,,365.29,0.32,,224.13,0.31,,,,,270.83,0.32,,225.5,0.28,,182.83,0.39,,182.02,0.39,,172.61,0.31
,,433.7,0.21,,305.81,0.15,,359.32,0.21,,368.16,0.32,,225.93,0.31,,,,,272.99,0.32,,227.34,0.28,,184.33,0.39,,183.52,0.39,,174.02,0.31
,,437.04,0.21,,308.23,0.15,,362.12,0.21,,371.03,0.32,,227.73,0.31,,,,,275.16,0.32,,229.18,0.28,,185.83,0.39,,185.03,0.39,,175.43,0.31
,,440.38,0.21,,310.66,0.15,,364.93,0.21,,373.9,0.32,,229.53,0.31,,,,,277.33,0.32,,231.02,0.28,,187.33,0.39,,186.53,0.39,,176.85,0.31
,,443.72,0.21,,313.09,0.15,,367.74,0.21,,376.77,0.32,,231.33,0.31,,,,,279.49,0.32,,232.87,0.28,,188.83,0.39,,188.04,0.39,,178.26,0.31
,,447.06,0.21,,315.52,0.15,,370.55,0.21,,379.64,0.32,,233.13,0.31,,,,,281.66,0.32,,234.71,0.28,,190.34,0.39,,189.54,0.39,,179.67,0.31
,,450.4,0.21,,317.95,0.15,,373.36,0.21,,382.51,0.32,,234.93,0.31,,,,,283.83,0.32,,236.55,0.28,,191.84,0.39,,191.05,0.39,,181.08,0.31
,,453.74,0.21,,320.38,0.15,,376.17,0.21,,385.38,0.32,,236.73,0.31,,,,,285.99,0.32,,238.4,0.28,,193.34,0.39,,192.55,0.39,,182.5,0.31
,,457.07,0.21,,322.81,0.15,,378.97,0.21,,388.25,0.32,,238.53,0.31,,,,,288.16,0.32,,240.24,0.28,,194.84,0.39,,194.06,0.39,,183.91,0.31
,,460.4,0.21,,325.23,0.15,,381.78,0.21,,391.11,0.32,,240.33,0.31,,,,,290.33,0.32,,242.08,0.29,,196.34,0.39,,195.56,0.39,,185.32,0.31
,,463.73,0.21,,327.66,0.15,,384.59,0.21,,393.98,0.32,,242.13,0.32,,,,,292.49,0.32,,243.93,0.29,,197.85,0.4,,197.07,0.39,,186.73,0.31
,,467.06,0.21,,330.09,0.15,,387.4,0.21,,396.85,0.32,,243.93,0.32,,,,,294.66,0.32,,245.77,0.29,,199.35,0.4,,198.58,0.39,,188.15,0.31
,,470.4,0.21,,332.52,0.15,,390.21,0.21,,399.72,0.32,,245.73,0.32,,,,,296.83,0.32,,247.61,0.29,,200.85,0.4,,200.08,0.39,,189.56,0.31
,,473.74,0.21,,334.95,0.15,,393.02,0.21,,402.59,0.32,,247.53,0.32,,,,,298.99,0.32,,249.45,0.29,,202.35,0.4,,201.59,0.39,,190.97,0.31
,,477.08,0.21,,337.38,0.15,,395.83,0.21,,405.46,0.32,,249.33,0.32,,,,,301.16,0.32,,251.3,0.29,,203.85,0.4,,203.09,0.39,,192.38,0.31
,,480.42,0.21,,339.81,0.15,,398.63,0.21,,408.33,0.32,,251.13,0.32,,,,,303.33,0.32,,253.14,0.29,,205.35,0.4,,204.6,0.39,,193.8,0.31
,,483.76,0.21,,342.24,0.15,,401.44,0.21,,411.19,0.32,,252.93,0.32,,,,,305.49,0.32,,254.98,0.29,,206.86,0.39,,206.1,0.39,,195.21,0.31
,,487.09,0.21,,344.67,0.15,,404.25,0.21,,414.06,0.32,,254.73,0.32,,,,,307.66,0.32,,256.83,0.29,,208.36,0.39,,207.61,0.39,,196.62,0.31
,,490.43,0.21,,347.09,0.15,,407.06,0.21,,416.92,0.32,,256.53,0.32,,,,,309.82,0.32,,258.67,0.29,,209.86,0.39,,209.11,0.39,,198.04,0.31
,,493.77,0.21,,349.52,0.15,,409.87,0.21,,419.79,0.32,,258.33,0.32,,,,,311.99,0.32,,260.51,0.29,,211.36,0.4,,210.62,0.4,,199.45,0.31
,,497.11,0.21,,351.95,0.15,,412.68,0.21,,422.66,0.32,,260.13,0.32,,,,,314.16,0.32,,262.36,0.29,,212.86,0.4,,212.13,0.4,,200.86,0.31
,,500.45,0.21,,354.38,0.15,,415.48,0.21,,425.52,0.32,,261.93,0.32,,,,,316.32,0.32,,264.2,0.29,,214.36,0.4,,213.63,0.4,,202.27,0.31
,,503.79,0.21,,356.81,0.15,,418.29,0.21,,428.39,0.32,,263.73,0.32,,,,,318.49,0.32,,266.04,0.29,,215.86,0.4,,215.14,0.4,,203.69,0.31
,,507.13,0.21,,359.24,0.15,,421.1,0.21,,431.25,0.32,,265.53,0.32,,,,,320.66,0.32,,267.89,0.29,,217.37,0.4,,216.64,0.4,,205.1,0.32
,,510.46,0.21,,361.67,0.15,,423.91,0.21,,434.12,0.32,,267.33,0.32,,,,,322.82,0.32,,269.73,0.29,,218.87,0.4,,218.15,0.4,,206.51,0.32
,,513.8,0.21,,364.1,0.15,,426.72,0.21,,436.99,0.32,,269.13,0.32,,,,,324.99,0.32,,271.57,0.29,,220.37,0.4,,219.65,0.4,,207.92,0.32
,,517.14,0.21,,366.53,0.15,,429.53,0.21,,439.85,0.32,,270.93,0.32,,,,,327.16,0.32,,273.41,0.29,,221.87,0.4,,221.16,0.4,,209.34,0.32
,,520.48,0.21,,368.96,0.15,,432.34,0.21,,442.72,0.32,,272.73,0.32,,,,,329.32,0.32,,275.26,0.29,,223.37,0.4,,222.66,0.4,,210.75,0.32
,,523.82,0.21,,371.38,0.15,,435.14,0.21,,445.58,0.32,,274.53,0.32,,,,,331.49,0.32,,277.1,0.29,,224.87,0.4,,224.17,0.4,,212.16,0.32
,,527.16,0.21,,373.81,0.15,,437.95,0.21,,448.45,0.32,,276.33,0.32,,,,,333.66,0.32,,278.94,0.29,,226.37,0.4,,225.67,0.4,,213.57,0.32
,,530.49,0.21,,376.24,0.15,,440.76,0.21,,451.32,0.32,,278.13,0.32,,,,,335.82,0.32,,280.79,0.29,,227.87,0.4,,227.18,0.4,,214.99,0.32
,,533.83,0.21,,378.67,0.15,,443.57,0.21,,454.19,0.32,,279.93,0.32,,,,,337.99,0.32,,282.63,0.29,,229.37,0.4,,228.69,0.4,,216.4,0.32
,,537.17,0.21,,381.1,0.15,,446.38,0.21,,457.05,0.32,,281.73,0.32,,,,,340.16,0.32,,284.47,0.29,,230.87,0.4,,230.19,0.4,,217.81,0.32
,,540.51,0.21,,383.53,0.15,,449.19,0.21,,459.92,0.32,,283.53,0.32,,,,,342.32,0.32,,286.32,0.29,,232.37,0.4,,231.7,0.4,,219.22,0.32
,,543.85,0.21,,385.96,0.15,,451.99,0.21,,462.79,0.32,,285.33,0.32,,,,,344.49,0.32,,288.16,0.29,,233.88,0.4,,233.2,0.4,,220.64,0.32
,,547.19,0.21,,388.39,0.15,,454.8,0.21,,465.66,0.32,,287.13,0.32,,,,,346.65,0.32,,290,0.29,,235.38,0.4,,234.71,0.4,,222.05,0.32
,,550.52,0.21,,390.82,0.15,,457.61,0.21,,468.53,0.32,,288.93,0.32,,,,,348.82,0.32,,291.84,0.29,,236.88,0.4,,236.21,0.4,,223.46,0.32
,,553.86,0.21,,393.25,0.15,,460.42,0.21,,471.4,0.32,,290.73,0.32,,,,,350.99,0.32,,293.69,0.29,,238.38,0.4,,237.72,0.4,,224.88,0.32
,,557.2,0.21,,395.68,0.15,,463.23,0.21,,474.26,0.32,,292.53,0.32,,,,,353.15,0.32,,295.53,0.29,,239.88,0.4,,239.22,0.4,,226.29,0.32
,,560.54,0.21,,398.1,0.15,,466.04,0.21,,477.13,0.32,,294.33,0.32,,,,,355.32,0.32,,297.37,0.29,,241.38,0.4,,240.73,0.4,,227.7,0.32
,,563.87,0.21,,400.47,0.15,,468.85,0.21,,480,0.32,,296.13,0.32,,,,,357.49,0.32,,299.22,0.29,,242.88,0.4,,242.23,0.4,,229.12,0.32
,,567.21,0.21,,402.9,0.15,,471.66,0.21,,482.87,0.32,,297.93,0.32,,,,,359.65,0.32,,301.06,0.29,,244.38,0.4,,243.74,0.4,,230.53,0.32
,,570.54,0.21,,405.32,0.15,,474.47,0.21,,485.74,0.32,,299.73,0.32,,,,,361.82,0.32,,302.9,0.29,,245.88,0.4,,245.24,0.4,,231.95,0.32
,,573.87,0.21,,407.75,0.15,,477.28,0.21,,488.6,0.32,,301.53,0.32,,,,,363.99,0.31,,304.75,0.29,,247.38,0.4,,246.75,0.4,,233.36,0.32
,,577.21,0.21,,410.18,0.15,,480.09,0.21,,491.47,0.32,,303.33,0.32,,,,,366.15,0.31,,306.59,0.29,,248.88,0.4,,248.25,0.4,,234.77,0.32
,,580.54,0.21,,412.61,0.15,,482.89,0.21,,494.34,0.32,,305.13,0.32,,,,,368.32,0.31,,308.43,0.29,,250.38,0.4,,249.76,0.4,,236.19,0.32
,,583.87,0.21,,415.04,0.15,,485.7,0.21,,497.21,0.32,,306.93,0.32,,,,,370.49,0.31,,310.27,0.29,,251.89,0.4,,251.26,0.4,,237.6,0.32
,,587.21,0.21,,417.47,0.15,,488.51,0.21,,500.07,0.32,,308.73,0.32,,,,,372.65,0.31,,312.12,0.29,,253.39,0.4,,252.77,0.4,,239.02,0.32
,,590.54,0.21,,419.89,0.15,,491.32,0.21,,502.94,0.32,,310.53,0.32,,,,,374.82,0.31,,313.96,0.29,,254.89,0.4,,254.27,0.4,,240.43,0.32
,,593.87,0.21,,422.32,0.15,,494.13,0.21,,505.81,0.32,,312.33,0.32,,,,,376.98,0.31,,315.8,0.29,,256.39,0.4,,255.78,0.4,,241.85,0.32
,,597.21,0.21,,424.75,0.15,,496.94,0.21,,508.67,0.32,,314.13,0.32,,,,,379.15,0.31,,317.65,0.29,,257.89,0.4,,257.28,0.4,,243.26,0.32
,,600.54,0.21,,427.18,0.14,,499.75,0.21,,511.54,0.32,,315.93,0.32,,,,,381.32,0.31,,319.49,0.29,,259.39,0.4,,258.78,0.4,,244.68,0.32
,,603.88,0.21,,429.61,0.14,,502.56,0.21,,514.41,0.32,,317.73,0.32,,,,,383.48,0.31,,321.33,0.29,,260.89,0.4,,260.29,0.4,,246.09,0.32
,,607.21,0.21,,432.03,0.14,,505.37,0.21,,517.28,0.32,,319.53,0.32,,,,,385.65,0.31,,323.18,0.29,,262.39,0.41,,261.79,0.4,,247.5,0.32
,,610.55,0.21,,434.46,0.14,,508.18,0.21,,520.14,0.32,,321.33,0.32,,,,,387.82,0.31,,325.02,0.29,,263.9,0.41,,263.3,0.4,,248.92,0.32
,,613.89,0.21,,436.89,0.14,,510.99,0.21,,523.01,0.32,,323.13,0.32,,,,,389.98,0.31,,326.86,0.29,,265.4,0.41,,264.8,0.4,,250.33,0.32
,,617.23,0.21,,439.32,0.14,,513.8,0.21,,525.88,0.32,,324.94,0.32,,,,,392.15,0.31,,328.7,0.29,,266.9,0.41,,266.31,0.4,,251.75,0.32
,,620.57,0.21,,441.75,0.14,,516.61,0.21,,528.74,0.32,,326.74,0.32,,,,,394.32,0.31,,330.55,0.29,,268.4,0.41,,267.81,0.4,,253.16,0.32
,,623.91,0.21,,444.17,0.14,,519.42,0.21,,531.61,0.32,,328.54,0.32,,,,,396.48,0.31,,332.39,0.29,,269.9,0.41,,269.32,0.4,,254.58,0.32
,,627.25,0.21,,446.6,0.14,,522.23,0.21,,534.48,0.32,,330.34,0.32,,,,,398.65,0.31,,334.23,0.29,,271.4,0.41,,270.82,0.41,,255.99,0.32
,,630.58,0.21,,449.03,0.14,,525.04,0.2,,537.35,0.32,,332.14,0.32,,,,,400.82,0.31,,336.08,0.29,,272.9,0.41,,272.33,0.41,,257.4,0.32
,,633.92,0.21,,451.46,0.14,,527.85,0.2,,540.21,0.32,,333.94,0.32,,,,,402.98,0.31,,337.92,0.29,,274.4,0.41,,273.83,0.41,,258.81,0.32
,,637.26,0.21,,453.89,0.14,,530.66,0.2,,543.08,0.32,,335.74,0.32,,,,,405.15,0.31,,339.76,0.29,,275.91,0.41,,275.34,0.41,,260.22,0.32
,,640.6,0.21,,456.31,0.14,,533.46,0.2,,545.95,0.32,,337.54,0.32,,,,,407.32,0.31,,341.61,0.29,,277.41,0.41,,276.84,0.41,,261.62,0.32
,,643.94,0.21,,458.74,0.14,,536.27,0.2,,548.81,0.32,,339.34,0.32,,,,,409.48,0.31,,343.45,0.29,,278.91,0.41,,278.35,0.41,,263.03,0.32
,,647.28,0.21,,461.17,0.14,,539.08,0.2,,551.68,0.32,,341.14,0.32,,,,,411.62,0.31,,345.29,0.29,,280.41,0.41,,279.85,0.41,,264.44,0.32
,,650.61,0.21,,463.6,0.14,,541.89,0.2,,554.55,0.32,,342.94,0.32,,,,,413.77,0.31,,347.13,0.29,,281.91,0.41,,281.36,0.41,,265.85,0.32
,,653.97,0.21,,466.03,0.14,,544.7,0.2,,557.42,0.32,,344.74,0.32,,,,,415.92,0.31,,348.98,0.29,,283.41,0.41,,282.86,0.41,,267.26,0.32
,,657.32,0.21,,468.45,0.14,,547.51,0.2,,560.28,0.32,,346.54,0.32,,,,,418.07,0.31,,350.82,0.29,,284.91,0.41,,284.37,0.41,,268.67,0.32
,,660.67,0.21,,470.88,0.14,,550.32,0.2,,563.15,0.32,,348.34,0.32,,,,,420.24,0.31,,352.66,0.29,,286.42,0.41,,285.88,0.41,,270.07,0.32
,,664.01,0.21,,473.31,0.14,,553.13,0.2,,566.02,0.32,,350.14,0.32,,,,,422.4,0.31,,354.51,0.29,,287.92,0.41,,287.38,0.41,,271.48,0.32
,,667.35,0.21,,475.74,0.14,,555.94,0.2,,568.88,0.32,,351.94,0.32,,,,,424.56,0.31,,356.35,0.29,,289.42,0.41,,288.89,0.41,,272.89,0.32
,,670.69,0.21,,478.17,0.14,,558.75,0.2,,571.75,0.32,,353.74,0.32,,,,,426.73,0.31,,358.19,0.29,,290.92,0.41,,290.4,0.41,,274.3,0.32
,,674.03,0.21,,480.59,0.14,,561.56,0.2,,574.63,0.32,,355.54,0.32,,,,,428.89,0.31,,360.04,0.29,,292.42,0.41,,291.91,0.41,,275.71,0.32
,,677.37,0.21,,483.02,0.14,,564.38,0.2,,577.51,0.32,,357.34,0.32,,,,,431.06,0.31,,361.88,0.29,,293.92,0.41,,293.42,0.41,,277.13,0.32
,,680.71,0.21,,485.45,0.14,,567.24,0.2,,580.39,0.32,,359.14,0.32,,,,,433.22,0.31,,363.72,0.29,,295.42,0.41,,294.93,0.41,,278.54,0.32
,,684.05,0.21,,487.88,0.14,,570.04,0.2,,583.27,0.32,,360.94,0.32,,,,,435.38,0.31,,365.43,0.29,,296.93,0.41,,296.43,0.41,,279.95,0.32
,,687.39,0.21,,490.31,0.14,,572.85,0.2,,586.15,0.32,,362.74,0.32,,,,,437.55,0.31,,367.28,0.29,,298.43,0.41,,297.94,0.41,,281.36,0.32
,,690.73,0.21,,492.73,0.14,,575.66,0.2,,589.03,0.32,,364.54,0.32,,,,,439.71,0.31,,369.12,0.29,,299.93,0.41,,299.45,0.41,,282.78,0.32
,,694.07,0.21,,495.16,0.14,,578.47,0.2,,591.9,0.32,,366.34,0.32,,,,,441.87,0.31,,370.97,0.29,,301.43,0.41,,300.96,0.41,,284.19,0.32
,,697.41,0.21,,497.59,0.14,,581.28,0.2,,594.77,0.32,,368.15,0.32,,,,,444.04,0.31,,372.81,0.29,,302.93,0.41,,302.47,0.41,,285.6,0.32
,,700.75,0.21,,500.02,0.14,,584.09,0.2,,597.64,0.32,,369.95,0.32,,,,,446.2,0.31,,374.66,0.29,,304.43,0.41,,303.98,0.41,,287.01,0.32
,,704.09,0.21,,502.45,0.14,,586.89,0.2,,600.51,0.32,,371.75,0.32,,,,,448.37,0.31,,376.5,0.29,,305.94,0.41,,305.49,0.41,,288.43,0.32
,,707.43,0.21,,504.88,0.14,,589.7,0.2,,603.38,0.32,,373.55,0.32,,,,,450.53,0.31,,378.34,0.29,,307.44,0.41,,307,0.41,,289.84,0.32
,,710.77,0.21,,507.3,0.14,,592.51,0.2,,606.25,0.32,,375.35,0.32,,,,,452.69,0.31,,380.19,0.29,,308.94,0.41,,308.51,0.41,,291.25,0.32
,,714.11,0.21,,509.73,0.14,,595.32,0.2,,609.11,0.32,,377.15,0.32,,,,,454.86,0.31,,382.03,0.29,,310.44,0.41,,310.02,0.41,,292.66,0.32
,,717.45,0.21,,512.16,0.14,,598.13,0.2,,611.98,0.32,,378.95,0.32,,,,,457.02,0.31,,383.88,0.29,,311.94,0.41,,311.52,0.41,,294.08,0.32
,,720.79,0.21,,514.59,0.14,,600.94,0.21,,614.85,0.32,,380.75,0.32,,,,,459.18,0.31,,385.72,0.29,,313.44,0.41,,313.03,0.41,,295.49,0.33
,,724.13,0.21,,517.02,0.14,,603.74,0.2,,617.72,0.32,,382.55,0.32,,,,,461.35,0.31,,387.57,0.29,,314.95,0.41,,314.54,0.41,,296.9,0.33
,,727.47,0.21,,519.44,0.14,,606.55,0.2,,620.59,0.32,,384.35,0.32,,,,,463.51,0.31,,389.41,0.29,,316.45,0.41,,316.05,0.41,,298.31,0.33
,,730.81,0.21,,521.87,0.14,,609.35,0.2,,623.46,0.32,,386.15,0.32,,,,,465.68,0.31,,391.26,0.29,,317.95,0.42,,317.56,0.41,,299.72,0.33
,,734.15,0.21,,524.3,0.14,,612.16,0.2,,626.33,0.32,,387.95,0.32,,,,,467.84,0.31,,393.1,0.29,,319.45,0.42,,319.07,0.41,,301.14,0.33
,,737.49,0.21,,526.73,0.14,,614.96,0.2,,629.2,0.32,,389.75,0.32,,,,,470.01,0.31,,394.95,0.29,,320.95,0.42,,320.58,0.41,,302.55,0.33
,,740.83,0.21,,529.16,0.14,,617.77,0.2,,632.07,0.32,,391.55,0.32,,,,,472.17,0.31,,396.79,0.29,,322.45,0.42,,322.09,0.41,,303.96,0.33
,,744.17,0.21,,531.59,0.14,,620.58,0.2,,634.94,0.33,,393.35,0.32,,,,,474.34,0.31,,398.64,0.29,,323.95,0.42,,323.6,0.41,,305.38,0.33
,,747.51,0.21,,534.02,0.14,,623.39,0.2,,637.81,0.33,,395.15,0.32,,,,,476.5,0.31,,400.48,0.29,,325.46,0.42,,325.11,0.41,,306.79,0.33
,,750.85,0.21,,536.45,0.14,,626.19,0.2,,640.68,0.33,,396.95,0.32,,,,,478.67,0.31,,402.33,0.29,,326.96,0.42,,326.61,0.41,,308.2,0.33
,,754.19,0.21,,538.88,0.14,,629,0.2,,643.55,0.33,,398.75,0.32,,,,,480.84,0.31,,404.17,0.29,,328.46,0.42,,328.12,0.41,,309.62,0.33
,,757.53,0.21,,541.31,0.14,,631.81,0.2,,646.42,0.33,,400.55,0.32,,,,,483,0.31,,406.02,0.29,,329.96,0.42,,329.63,0.41,,311.03,0.33
,,760.87,0.21,,543.75,0.14,,634.62,0.2,,649.29,0.33,,402.35,0.32,,,,,485.17,0.31,,407.86,0.29,,331.46,0.42,,331.14,0.41,,312.44,0.33
,,764.21,0.21,,546.18,0.14,,637.43,0.2,,652.16,0.33,,404.15,0.32,,,,,487.33,0.31,,409.7,0.29,,332.96,0.42,,332.65,0.41,,313.85,0.33
,,767.55,0.21,,548.61,0.14,,640.24,0.2,,655.03,0.33,,405.95,0.32,,,,,489.5,0.31,,411.55,0.29,,334.47,0.42,,334.16,0.41,,315.27,0.33
,,770.89,0.21,,551.04,0.14,,643.04,0.2,,657.9,0.33,,407.75,0.32,,,,,491.66,0.31,,413.39,0.29,,335.97,0.42,,335.67,0.41,,316.68,0.33
,,774.23,0.22,,553.47,0.14,,645.85,0.2,,660.77,0.33,,409.55,0.32,,,,,493.83,0.31,,415.24,0.29,,337.47,0.42,,337.18,0.41,,318.09,0.33
,,777.57,0.22,,555.9,0.14,,648.66,0.2,,663.64,0.33,,411.35,0.32,,,,,495.99,0.31,,417.08,0.29,,338.97,0.42,,338.68,0.41,,319.51,0.33
,,780.91,0.22,,558.33,0.14,,651.47,0.2,,666.51,0.33,,413.15,0.32,,,,,498.16,0.31,,418.93,0.29,,340.47,0.42,,340.19,0.42,,320.92,0.33
,,784.25,0.22,,560.76,0.14,,654.28,0.2,,669.38,0.33,,414.95,0.32,,,,,500.33,0.31,,420.77,0.29,,341.97,0.42,,341.7,0.42,,322.33,0.33
,,787.59,0.22,,563.19,0.14,,657.09,0.2,,672.24,0.33,,416.74,0.32,,,,,502.49,0.31,,422.62,0.29,,343.48,0.42,,343.21,0.42,,323.75,0.33
,,790.93,0.22,,565.61,0.14,,659.9,0.2,,675.11,0.33,,418.54,0.33,,,,,504.66,0.31,,424.46,0.29,,344.98,0.42,,344.71,0.42,,325.16,0.33
,,794.27,0.22,,568.03,0.14,,662.71,0.2,,677.97,0.33,,420.34,0.33,,,,,506.82,0.31,,426.3,0.29,,346.48,0.42,,346.22,0.42,,326.57,0.33
,,797.61,0.22,,570.46,0.14,,665.51,0.2,,680.84,0.33,,422.14,0.33,,,,,508.99,0.31,,428.15,0.29,,347.98,0.42,,347.73,0.42,,327.98,0.33
,,800.95,0.22,,572.88,0.14,,668.32,0.2,,683.7,0.33,,423.94,0.33,,,,,511.15,0.31,,429.99,0.29,,349.48,0.42,,349.24,0.42,,329.4,0.33
,,804.29,0.22,,575.3,0.14,,671.13,0.2,,686.57,0.33,,425.74,0.33,,,,,513.32,0.31,,431.83,0.29,,350.98,0.42,,350.74,0.42,,330.81,0.33
,,807.64,0.22,,577.72,0.14,,673.94,0.2,,689.43,0.33,,427.53,0.33,,,,,515.48,0.31,,433.68,0.29,,352.49,0.42,,352.25,0.42,,332.22,0.33
,,810.98,0.22,,580.14,0.14,,676.75,0.2,,692.3,0.33,,429.33,0.33,,,,,517.65,0.31,,435.52,0.29,,353.99,0.42,,353.76,0.42,,333.64,0.33
,,814.32,0.22,,582.56,0.14,,679.56,0.2,,695.16,0.33,,431.13,0.33,,,,,519.82,0.31,,437.36,0.29,,355.49,0.42,,355.27,0.42,,335.05,0.33
,,817.66,0.22,,584.99,0.14,,682.37,0.2,,698.03,0.33,,432.93,0.33,,,,,521.98,0.31,,439.21,0.29,,356.99,0.42,,356.77,0.42,,336.46,0.33
,,821,0.22,,587.41,0.14,,685.18,0.2,,700.89,0.33,,434.73,0.33,,,,,524.15,0.31,,441.05,0.29,,358.49,0.42,,358.28,0.42,,337.88,0.33
,,824.34,0.22,,589.84,0.14,,687.99,0.2,,703.76,0.33,,436.53,0.33,,,,,526.31,0.31,,442.89,0.29,,359.99,0.42,,359.79,0.42,,339.29,0.33
,,827.69,0.22,,592.27,0.14,,690.79,0.2,,706.62,0.33,,438.32,0.33,,,,,528.48,0.3,,444.74,0.29,,361.49,0.42,,361.3,0.42,,340.7,0.33
,,831.03,0.22,,594.69,0.14,,693.6,0.2,,709.49,0.33,,440.12,0.33,,,,,530.64,0.3,,446.58,0.29,,363,0.42,,362.8,0.42,,342.11,0.33
,,834.37,0.22,,597.12,0.14,,696.41,0.2,,712.36,0.33,,441.92,0.33,,,,,532.81,0.3,,448.42,0.29,,364.5,0.42,,364.31,0.42,,343.53,0.33
,,837.71,0.22,,599.55,0.14,,699.22,0.2,,715.23,0.33,,443.72,0.33,,,,,534.97,0.3,,450.27,0.29,,366,0.42,,365.82,0.42,,344.94,0.33
,,841.05,0.22,,601.98,0.14,,702.03,0.2,,718.1,0.33,,445.52,0.33,,,,,537.14,0.3,,452.11,0.29,,367.5,0.42,,367.33,0.42,,346.35,0.33
,,844.39,0.22,,604.41,0.14,,704.84,0.2,,720.98,0.33,,447.32,0.33,,,,,539.31,0.3,,453.95,0.29,,369,0.42,,368.83,0.42,,347.77,0.33
,,847.73,0.22,,606.84,0.14,,707.65,0.2,,723.85,0.33,,449.11,0.33,,,,,541.47,0.3,,455.8,0.29,,370.5,0.42,,370.34,0.42,,349.18,0.33
,,851.07,0.22,,609.27,0.14,,710.46,0.2,,726.72,0.33,,450.91,0.33,,,,,543.64,0.3,,457.64,0.29,,372.01,0.42,,371.85,0.42,,350.59,0.33
,,854.41,0.22,,611.69,0.14,,713.27,0.2,,729.59,0.33,,452.71,0.33,,,,,545.8,0.3,,459.48,0.29,,373.5,0.42,,373.36,0.42,,352.01,0.33
,,857.75,0.22,,614.12,0.14,,716.07,0.2,,732.46,0.33,,454.51,0.33,,,,,547.97,0.3,,461.33,0.29,,374.98,0.42,,374.86,0.42,,353.42,0.33
,,861.09,0.22,,616.55,0.14,,718.88,0.21,,735.33,0.34,,456.31,0.33,,,,,550.13,0.3,,463.17,0.29,,376.46,0.42,,376.37,0.42,,354.83,0.33
,,864.44,0.22,,618.98,0.14,,721.69,0.21,,738.2,0.34,,458.11,0.33,,,,,552.3,0.3,,465.01,0.29,,377.95,0.43,,377.88,0.42,,356.24,0.33
,,867.78,0.22,,621.41,0.14,,724.5,0.21,,741.07,0.34,,459.91,0.33,,,,,554.46,0.3,,466.86,0.29,,379.45,0.43,,379.39,0.42,,357.66,0.33
,,871.12,0.22,,623.84,0.14,,727.31,0.21,,743.94,0.34,,461.71,0.33,,,,,556.63,0.3,,468.7,0.29,,380.95,0.43,,380.89,0.42,,359.07,0.33
,,874.46,0.22,,626.27,0.14,,730.12,0.21,,746.81,0.34,,463.51,0.33,,,,,558.79,0.3,,470.54,0.29,,382.45,0.43,,382.4,0.42,,360.48,0.33
,,877.8,0.22,,628.69,0.14,,732.93,0.21,,749.68,0.34,,465.31,0.33,,,,,561,0.3,,472.39,0.29,,383.95,0.43,,383.91,0.42,,361.9,0.33
,,881.14,0.22,,631.12,0.14,,735.74,0.21,,752.55,0.34,,467.11,0.33,,,,,563.22,0.3,,474.23,0.29,,385.45,0.43,,385.41,0.42,,363.31,0.33
