Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,86.36,0.16,,53.38,0.09,,67.25,0.17,,69.7,0.23,,38.68,0.2,,511.39,0.35,,47.71,0.23,,35.62,0.19,,28.27,0.22,,26.95,0.21,,27.12,0.18
,,89.7,0.17,,55.81,0.1,,70.05,0.17,,72.57,0.23,,40.48,0.2,,529.14,0.35,,49.87,0.24,,37.46,0.19,,29.78,0.23,,28.39,0.21,,28.51,0.18
,,93.04,0.17,,58.24,0.1,,72.86,0.17,,75.44,0.24,,42.28,0.21,,546.89,0.35,,52.04,0.24,,39.3,0.2,,31.26,0.23,,29.94,0.22,,29.94,0.19
,,96.37,0.17,,60.66,0.1,,75.67,0.18,,78.31,0.24,,44.08,0.21,,564.59,0.35,,54.2,0.24,,41.15,0.2,,32.82,0.24,,31.45,0.22,,31.32,0.19
,,99.71,0.17,,63.09,0.1,,78.48,0.18,,81.18,0.24,,45.88,0.21,,582.27,0.36,,56.37,0.25,,42.99,0.2,,34.28,0.24,,32.95,0.23,,32.75,0.19
,,103.05,0.17,,65.52,0.1,,81.29,0.18,,84.04,0.25,,47.68,0.22,,600.02,0.36,,58.54,0.25,,44.83,0.21,,35.78,0.24,,34.46,0.23,,34.13,0.2
,,106.39,0.17,,67.94,0.1,,84.09,0.18,,86.91,0.25,,49.49,0.22,,617.76,0.36,,60.7,0.26,,46.68,0.21,,37.28,0.25,,35.96,0.23,,35.55,0.2
,,109.73,0.17,,70.37,0.11,,86.9,0.18,,89.78,0.25,,51.29,0.23,,635.51,0.36,,62.87,0.26,,48.52,0.21,,38.78,0.25,,37.47,0.24,,36.98,0.21
,,113.07,0.18,,72.8,0.11,,89.71,0.19,,92.65,0.26,,53.09,0.23,,653.25,0.36,,65.03,0.27,,50.37,0.22,,40.28,0.25,,38.98,0.24,,38.4,0.21
,,116.41,0.18,,75.22,0.11,,92.52,0.19,,95.52,0.26,,54.89,0.23,,670.97,0.36,,67.2,0.27,,52.21,0.22,,41.78,0.25,,40.48,0.25,,39.82,0.22
,,119.75,0.18,,77.65,0.11,,95.32,0.19,,98.39,0.26,,56.69,0.23,,688.79,0.36,,69.36,0.27,,54.05,0.23,,43.28,0.26,,41.99,0.25,,41.24,0.22
,,123.09,0.18,,80.08,0.11,,98.13,0.19,,101.25,0.26,,58.5,0.23,,706.53,0.36,,71.53,0.27,,55.9,0.23,,44.78,0.26,,43.5,0.26,,42.65,0.22
