Machine Name,Bruker Avance III HD 600 MHz,,P40 - C NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 4096 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,0.46,-352.01
,,,0.46,-132.72
,,,0.46,155.12
,,,0.47,393.62
,,,0.47,802
,,,0.47,1504.58
,,,0.47,2141.67
,,,0.47,2478.62
,,,0.48,2624.01
,,,0.48,2635.59
,,,0.48,2559.75
,,,0.48,2511.3
,,,0.48,2571.89
,,,0.48,2798.98
,,,0.49,2935.2
,,,0.49,2413.19
,,,0.49,1180.9
,,,0.49,-83.05
,,,0.49,-783.05
,,,0.5,-940.92
,,,0.5,-959.84
,,,0.5,-1116.23
,,,0.5,-1390.06
,,,0.5,-1550.95
,,,0.5,-1321.13
,,,0.51,-896.29
,,,0.51,-801.74
,,,0.51,-958.26
,,,0.51,-1010.43
,,,0.51,-938.15
,,,0.52,-420.07
,,,0.52,804.75
,,,0.52,1972.3
,,,0.52,2178.13
,,,0.52,1395.49
,,,0.52,219.56
,,,0.53,-613.59
,,,0.53,-783.52
,,,0.53,-576.4
,,,0.53,-406.27
,,,0.53,-461.33
,,,0.54,-622.99
,,,0.54,-710.67
,,,0.54,-802.3
,,,0.54,-975.82
,,,0.54,-1079.52
,,,0.54,-920.11
,,,0.55,-483.45
,,,0.55,-72.9
,,,0.55,112.12
,,,0.55,334.56
,,,0.55,675.62
,,,0.56,826.6
,,,0.56,742.61
,,,0.56,570.38
,,,0.56,277.68
,,,0.56,-86.99
,,,0.56,-476.12
,,,0.57,-1307.06
,,,0.57,-2861.02
,,,0.57,-4451.8
,,,0.57,-5412.32
,,,0.57,-6017.03
,,,0.58,-6363.4
,,,0.58,-6027.87
,,,0.58,-5053.67
,,,0.58,-3561.59
,,,0.58,-1381.85
,,,0.59,990.88
,,,0.59,2538.61
,,,0.59,2866.76
,,,0.59,2355.5
,,,0.59,1571.96
,,,0.59,924
,,,0.6,633.26
,,,0.6,609.88
,,,0.6,590.53
,,,0.6,729.98
,,,0.6,1320.56
,,,0.61,2088.95
,,,0.61,2661.07
,,,0.61,3033.47
,,,0.61,3287.68
,,,0.61,3460.09
,,,0.61,3388.64
,,,0.62,2811.36
,,,0.62,1947.92
,,,0.62,1264.02
,,,0.62,673.35
,,,0.62,-340.78
,,,0.63,-1882.06
,,,0.63,-3270.45
,,,0.63,-3775.8
,,,0.63,-3511.8
,,,0.63,-3100.12
,,,0.63,-2819.51
,,,0.64,-2621.41
,,,0.64,-2530.94
,,,0.64,-2563.62
,,,0.64,-2585.26
,,,0.64,-2515.44
,,,0.65,-2419.99
,,,0.65,-2403.82
,,,0.65,-2489.35
,,,0.65,-2531.15
,,,0.65,-2553.95
,,,0.65,-2891.84
,,,0.66,-3438.4
,,,0.66,-3602.92
,,,0.66,-3274.43
,,,0.66,-2787.38
,,,0.66,-2271.92
,,,0.67,-1727.94
,,,0.67,-1233.19
,,,0.67,-975.58
,,,0.67,-1222.09
,,,0.67,-1954.66
,,,0.67,-2638.62
,,,0.68,-2708.08
,,,0.68,-2162
,,,0.68,-1311.81
,,,0.68,-309.7
,,,0.68,601.39
,,,0.69,1156.38
,,,0.69,1589.01
,,,0.69,2171.07
,,,0.69,2591.74
,,,0.69,2345.46
,,,0.69,1353.48
,,,0.7,225.28
,,,0.7,-256.2
,,,0.7,34.19
,,,0.7,794.36
,,,0.7,1807.51
,,,0.71,2709.52
,,,0.71,2938.21
,,,0.71,2061.34
,,,0.71,104.93
,,,0.71,-2138.1
,,,0.71,-3425.77
,,,0.72,-3144.18
,,,0.72,-2033.34
,,,0.72,-1363.51
,,,0.72,-1448.07
,,,0.72,-1815.84
,,,0.73,-2265.7
,,,0.73,-2757.72
,,,0.73,-3239.12
,,,0.73,-3812.52
,,,0.73,-4229.11
,,,0.73,-3998.06
,,,0.74,-3328.43
,,,0.74,-2888.67
,,,0.74,-2859.62
,,,0.74,-2992.14
,,,0.74,-3051.59
,,,0.75,-2708.51
,,,0.75,-1678.2
,,,0.75,-322.34
,,,0.75,607.96
,,,0.75,876.33
,,,0.75,892.35
,,,0.76,1221.68
,,,0.76,1990.69
,,,0.76,2591.17
,,,0.76,2438.86
,,,0.76,1789.63
,,,0.77,1331.75
,,,0.77,1463.71
,,,0.77,1977.9
,,,0.77,2129.58
,,,0.77,1474.71
,,,0.77,436.92
,,,0.78,-591.88
,,,0.78,-1776.58
,,,0.78,-2857.5
,,,0.78,-3160.06
,,,0.78,-2762.86
,,,0.79,-2063.13
,,,0.79,-920.08
,,,0.79,571.1
,,,0.79,1734.46
,,,0.79,2180.25
,,,0.79,2144.33
,,,0.8,2127.36
,,,0.8,2444.62
,,,0.8,3155.59
,,,0.8,4200.83
,,,0.8,5128.11
,,,0.81,5342.84
,,,0.81,4767.24
,,,0.81,3591.53
,,,0.81,2253.87
,,,0.81,1626.79
,,,0.81,2031.65
