Machine Name,Bruker Avance III HD 600 MHz,,P40 - C NMR,
,5 mm PABBO BB Probe used with CDCL3 as solvent. 4096 scans carried out. ,,Chemical Shift / ppm,Intensity 
,,,40.79,5681.63
,,,40.79,4848.22
,,,40.79,3778.69
,,,40.79,3186.78
,,,40.79,3109.74
,,,40.8,3279.64
,,,40.8,3242.41
,,,40.8,2805.78
,,,40.8,2315.76
,,,40.8,2008.85
,,,40.8,1888.55
,,,40.81,1959.88
,,,40.81,1985.4
,,,40.81,1712.39
,,,40.81,1329.94
,,,40.81,1318.91
,,,40.82,2016.31
,,,40.82,3122.91
,,,40.82,3811.88
,,,40.82,3651.53
,,,40.82,2999.67
,,,40.82,2527.42
,,,40.83,2651.83
,,,40.83,3196.72
,,,40.83,3610.74
,,,40.83,3517.66
,,,40.83,2927.85
,,,40.84,2107.36
,,,40.84,1195.55
,,,40.84,64.52
,,,40.84,-1084.07
,,,40.84,-1585.39
,,,40.84,-1225.91
,,,40.85,-577.87
,,,40.85,-245.53
,,,40.85,-262.84
,,,40.85,-205.06
,,,40.85,247.86
,,,40.86,947.28
,,,40.86,1655.87
,,,40.86,2485.6
,,,40.86,3484.05
,,,40.86,4130.35
,,,40.86,3939.96
,,,40.87,3248.33
,,,40.87,2683.6
,,,40.87,2447.34
,,,40.87,2597.19
,,,40.87,3065.13
,,,40.88,3327.38
,,,40.88,2991.34
,,,40.88,2358.13
,,,40.88,2014.6
,,,40.88,2295.01
,,,40.88,3030.71
,,,40.89,3693.39
,,,40.89,3818.51
,,,40.89,3250.06
,,,40.89,2443.26
,,,40.89,2249.85
,,,40.9,2783.69
,,,40.9,3391.52
,,,40.9,3881.61
,,,40.9,4616.05
,,,40.9,5653.75
,,,40.9,6456.01
,,,40.91,6367.5
,,,40.91,5406.31
,,,40.91,4156.49
,,,40.91,2989.39
,,,40.91,2131.02
,,,40.92,1788.53
,,,40.92,1695.47
,,,40.92,1344.06
,,,40.92,533.46
,,,40.92,-646.41
,,,40.92,-1867.19
,,,40.93,-2718.83
,,,40.93,-3051.56
,,,40.93,-2912.17
,,,40.93,-2384.64
,,,40.93,-1735.12
,,,40.94,-1371.54
,,,40.94,-1513.56
,,,40.94,-2025.88
,,,40.94,-2446.98
,,,40.94,-2203.96
,,,40.94,-1137.98
,,,40.95,301.13
,,,40.95,1501.76
,,,40.95,2019.66
,,,40.95,1815.46
,,,40.95,1343.78
,,,40.96,799.37
,,,40.96,-123.27
,,,40.96,-1192.08
,,,40.96,-1549.53
,,,40.96,-778.51
,,,40.96,715.82
,,,40.97,1971.03
,,,40.97,2163.97
,,,40.97,1387.98
,,,40.97,210.86
,,,40.97,-1163.67
,,,40.98,-2613.52
,,,40.98,-3662.46
,,,40.98,-3853.56
,,,40.98,-3332.07
,,,40.98,-2944.97
,,,40.98,-3480.85
,,,40.99,-4594.07
,,,40.99,-5008.41
,,,40.99,-4165.29
,,,40.99,-2937.68
,,,40.99,-2254.36
,,,41,-2031.21
,,,41,-1938.3
,,,41,-2141.92
,,,41,-2886.53
,,,41,-3974.95
,,,41,-4830.54
,,,41.01,-5121.96
,,,41.01,-5315.21
,,,41.01,-6005.72
,,,41.01,-6840.88
,,,41.01,-7055.31
,,,41.02,-6686.85
,,,41.02,-6219.27
,,,41.02,-5559.64
,,,41.02,-4324.98
,,,41.02,-2726.87
,,,41.02,-1328.36
,,,41.03,-131.59
,,,41.03,1190.53
,,,41.03,2427.32
,,,41.03,3168.48
,,,41.03,3362.04
,,,41.04,2994.04
,,,41.04,2214.24
,,,41.04,1546.68
,,,41.04,1296.81
,,,41.04,1406.88
,,,41.05,1651.14
,,,41.05,1692.66
,,,41.05,1581.98
,,,41.05,1491.96
,,,41.05,1010.95
,,,41.05,2.59
,,,41.06,-901.56
,,,41.06,-1373.51
,,,41.06,-1449.21
,,,41.06,-976.63
,,,41.06,-101.09
,,,41.07,726.77
,,,41.07,1387.1
,,,41.07,1775.75
,,,41.07,1538.95
,,,41.07,917.75
,,,41.07,797.51
,,,41.08,1451.46
,,,41.08,2360.06
,,,41.08,3011.42
,,,41.08,2882.77
,,,41.08,1604.4
,,,41.09,-259.53
,,,41.09,-1572.8
,,,41.09,-1837.39
,,,41.09,-1560.62
,,,41.09,-1421.68
,,,41.09,-1325.08
,,,41.1,-746.23
,,,41.1,432.54
,,,41.1,2037.05
,,,41.1,3810.42
,,,41.1,5375.65
,,,41.11,6577.51
,,,41.11,7466.9
,,,41.11,7828.04
,,,41.11,7213.87
,,,41.11,5484.07
,,,41.11,3098.83
,,,41.12,688.17
,,,41.12,-1350.55
,,,41.12,-2613.83
,,,41.12,-2837.19
,,,41.12,-2350.98
,,,41.13,-1814.12
,,,41.13,-1785.13
,,,41.13,-2454.37
,,,41.13,-3441.85
,,,41.13,-4212.38
,,,41.13,-4500.83
,,,41.14,-4275.34
,,,41.14,-3959.16
,,,41.14,-4265.24
,,,41.14,-5182.84
,,,41.14,-5855.78
,,,41.15,-5767.39
,,,41.15,-5154.79
,,,41.15,-4154
,,,41.15,-2624.18
,,,41.15,-853.5
,,,41.15,638.8
,,,41.16,1740.41
,,,41.16,2449.54
,,,41.16,2647.97
,,,41.16,2443.43
,,,41.16,1958.93
,,,41.17,954.32
,,,41.17,-750.62
,,,41.17,-2739.81
,,,41.17,-4259.44
,,,41.17,-5010.84
,,,41.17,-5441.93
,,,41.18,-5982.29
,,,41.18,-6338.25
,,,41.18,-5987.89
,,,41.18,-4902.19
,,,41.18,-3474.52
,,,41.19,-2221.65
,,,41.19,-1457.23
,,,41.19,-960.45
,,,41.19,-297.82
,,,41.19,602
,,,41.19,1344.1
,,,41.2,1391.03
,,,41.2,883.13
,,,41.2,815.2
,,,41.2,1681.33
,,,41.2,2902.93
,,,41.21,3991.91
,,,41.21,5028.62
,,,41.21,5991.57
,,,41.21,6435.51
,,,41.21,5940.65
,,,41.21,4852.78
,,,41.22,4134.46
,,,41.22,4226.34
,,,41.22,4630.14
,,,41.22,4643.19
,,,41.22,4112.73
,,,41.23,3482.7
,,,41.23,3146.15
,,,41.23,2953.37
,,,41.23,2539.49
,,,41.23,1971.19
,,,41.23,1762.6
,,,41.24,2039.24
,,,41.24,2238.39
,,,41.24,2010.4
,,,41.24,1642.92
,,,41.24,1632.75
,,,41.25,2318.26
,,,41.25,3375.19
,,,41.25,3977.09
,,,41.25,3787.25
,,,41.25,2898.68
,,,41.25,1443.37
,,,41.26,49.25
,,,41.26,-516.26
,,,41.26,-212.29
,,,41.26,427.23
,,,41.26,741.96
,,,41.27,370.16
,,,41.27,-458.26
,,,41.27,-1283.56
,,,41.27,-1650.58
,,,41.27,-1237.05
,,,41.27,-262.47
,,,41.28,849.43
,,,41.28,2017.86
,,,41.28,3258.08
,,,41.28,4475.79
,,,41.28,5366.71
,,,41.29,5408.36
,,,41.29,4500.18
,,,41.29,3163.88
,,,41.29,1889.3
,,,41.29,724.39
,,,41.29,-666.96
,,,41.3,-2388.81
,,,41.3,-3796.83
,,,41.3,-4244.27
,,,41.3,-3772.16
,,,41.3,-2715.68
,,,41.31,-1477.17
,,,41.31,-480.54
,,,41.31,147.99
,,,41.31,543.41
,,,41.31,856.57
,,,41.31,1205.61
,,,41.32,1702.26
,,,41.32,2378.37
,,,41.32,2982.66
,,,41.32,3250.58
,,,41.32,3343.36
,,,41.33,3441.04
,,,41.33,3445.22
,,,41.33,3343.31
,,,41.33,3146.18
,,,41.33,2841.08
,,,41.34,2725.11
,,,41.34,3142.1
,,,41.34,3961.95
,,,41.34,4664.21
,,,41.34,4936.46
,,,41.34,4905.06
,,,41.35,4455.59
,,,41.35,3278.53
,,,41.35,1816.62
,,,41.35,654.71
,,,41.35,-393.47
,,,41.36,-1486.59
,,,41.36,-2473.4
,,,41.36,-3360.17
,,,41.36,-4009.47
,,,41.36,-4207.37
,,,41.36,-3822.65
,,,41.37,-2569.98
,,,41.37,-808.49
,,,41.37,274.65
,,,41.37,263.65
,,,41.37,-115.36
,,,41.38,-157.48
,,,41.38,238.07
,,,41.38,505.15
,,,41.38,4.62
,,,41.38,-957.58
,,,41.38,-1451.84
,,,41.39,-1126.73
,,,41.39,-418.42
,,,41.39,99.91
,,,41.39,178.11
,,,41.39,-72.85
,,,41.4,-229.22
,,,41.4,182.84
,,,41.4,1014.59
,,,41.4,1446.46
,,,41.4,974.45
,,,41.4,-49.26
,,,41.41,-881.88
,,,41.41,-1024.91
,,,41.41,-634.12
,,,41.41,-279.99
,,,41.41,-81.53
,,,41.42,310.37
,,,41.42,698.5
,,,41.42,396.38
,,,41.42,-605.9
,,,41.42,-1695.87
,,,41.42,-2529.02
,,,41.43,-2875.44
,,,41.43,-2408.64
,,,41.43,-1325
,,,41.43,-390.82
,,,41.43,-170.64
,,,41.44,-532.19
,,,41.44,-983.88
,,,41.44,-1541.93
,,,41.44,-2632.55
,,,41.44,-3929.2
,,,41.44,-4462.21
,,,41.45,-4032.56
,,,41.45,-3475.93
,,,41.45,-3549.84
,,,41.45,-4139.59
,,,41.45,-4605.68
,,,41.46,-4662.1
,,,41.46,-4600.16
,,,41.46,-4626.35
,,,41.46,-4340.58
,,,41.46,-3322.73
,,,41.46,-2071.59
,,,41.47,-1449.82
,,,41.47,-1380.51
,,,41.47,-1149.35
,,,41.47,-458.59
,,,41.47,521.94
,,,41.48,1324.07
,,,41.48,1349.18
,,,41.48,619.76
,,,41.48,-89.27
,,,41.48,-238.89
,,,41.48,58.67
,,,41.49,507.07
,,,41.49,668.08
,,,41.49,65.21
,,,41.49,-1077.95
,,,41.49,-2105.09
,,,41.5,-2911.21
,,,41.5,-3576.66
,,,41.5,-3810.9
,,,41.5,-3445.64
,,,41.5,-2598.91
,,,41.5,-1527.09
,,,41.51,-532.11
,,,41.51,499.97
,,,41.51,1757.23
,,,41.51,2762.78
,,,41.51,3078.42
,,,41.52,2965.96
,,,41.52,2774.99
,,,41.52,2548.62
,,,41.52,2114.62
,,,41.52,1307.59
,,,41.52,307.03
,,,41.53,-612.96
,,,41.53,-1354.06
,,,41.53,-1616.52
,,,41.53,-1158.51
,,,41.53,-520.19
,,,41.54,-530.36
,,,41.54,-1291.25
,,,41.54,-2202.46
,,,41.54,-2636.02
,,,41.54,-2435.1
,,,41.54,-1995.55
,,,41.55,-1710.83
,,,41.55,-1481.13
,,,41.55,-1169.01
,,,41.55,-960.43
,,,41.55,-948.19
,,,41.56,-1091.86
,,,41.56,-1376.86
,,,41.56,-1512.3
,,,41.56,-1140.4
,,,41.56,-394.52
,,,41.56,199.3
,,,41.57,205.17
,,,41.57,-206.54
,,,41.57,-508.46
,,,41.57,-803.29
,,,41.57,-1383.63
,,,41.58,-1653.61
,,,41.58,-967.41
,,,41.58,400.81
,,,41.58,1741.67
,,,41.58,2415.27
,,,41.58,2330.45
,,,41.59,2098.51
,,,41.59,2102.24
,,,41.59,2232.51
,,,41.59,2570.55
,,,41.59,3219.67
,,,41.6,3819.33
,,,41.6,3787.47
,,,41.6,2931.48
,,,41.6,1744.28
,,,41.6,677.6
,,,41.6,-546.1
,,,41.61,-2157.77
,,,41.61,-3684.06
,,,41.61,-4601.95
,,,41.61,-4848.25
,,,41.61,-4638.92
,,,41.62,-4211.38
,,,41.62,-3656.96
,,,41.62,-3043.24
,,,41.62,-2512.13
,,,41.62,-2026.29
,,,41.62,-1540.34
,,,41.63,-1329.74
,,,41.63,-1379.2
,,,41.63,-1114.25
,,,41.63,-428.04
,,,41.63,137.7
,,,41.64,394.19
,,,41.64,532.68
,,,41.64,515.07
,,,41.64,109.45
,,,41.64,-779.63
,,,41.65,-1720.38
,,,41.65,-1826.88
,,,41.65,-747.66
,,,41.65,785.53
,,,41.65,1823.78
,,,41.65,2288.41
,,,41.66,2627.96
,,,41.66,2749.01
,,,41.66,2383.81
,,,41.66,1716.27
,,,41.66,744.68
,,,41.67,-301.74
,,,41.67,-319.05
,,,41.67,944.48
,,,41.67,2253.61
,,,41.67,2783.44
,,,41.67,2649.96
,,,41.68,2171.23
,,,41.68,1656.37
,,,41.68,1125.07
,,,41.68,347.45
,,,41.68,-754.64
,,,41.69,-1946.62
,,,41.69,-2641.69
,,,41.69,-2534.86
,,,41.69,-2005.77
,,,41.69,-1221.43
,,,41.69,-19.61
,,,41.7,1219.79
,,,41.7,1926.49
,,,41.7,2096.83
,,,41.7,1998.75
,,,41.7,1685.9
,,,41.71,1061.85
,,,41.71,140.5
,,,41.71,-864.58
,,,41.71,-1464.35
,,,41.71,-1099.97
,,,41.71,32.79
,,,41.72,929.28
,,,41.72,1010.12
,,,41.72,598.3
,,,41.72,200.68
,,,41.72,59.42
,,,41.73,31.33
,,,41.73,-364.54
,,,41.73,-1217.14
,,,41.73,-1781.2
,,,41.73,-1410.46
,,,41.73,-307.94
,,,41.74,1106.33
,,,41.74,2581.49
,,,41.74,3685.02
,,,41.74,4009.55
,,,41.74,3572.7
,,,41.75,2769.34
,,,41.75,2144.18
,,,41.75,1888.27
,,,41.75,1711.73
,,,41.75,1524.84
,,,41.75,1610.71
,,,41.76,1994.93
,,,41.76,2331.46
,,,41.76,2488.37
,,,41.76,2630.51
,,,41.76,2685.63
,,,41.77,2639.97
,,,41.77,3113.32
,,,41.77,4385.79
,,,41.77,5598.42
,,,41.77,5958.52
,,,41.77,5673.13
,,,41.78,5277.77
,,,41.78,5042.33
,,,41.78,5106.6
,,,41.78,5424.19
,,,41.78,5488.91
,,,41.79,4842.8
,,,41.79,3808.6
,,,41.79,3085.53
,,,41.79,3157.38
,,,41.79,4180.98
,,,41.79,5533.38
,,,41.8,6205.89
,,,41.8,6272.86
,,,41.8,6639.37
,,,41.8,7441.27
,,,41.8,8112.61
,,,41.81,8395.34
,,,41.81,8240.08
,,,41.81,7655.31
,,,41.81,7172.8
,,,41.81,7344.2
,,,41.81,7815.53
,,,41.82,7873.65
,,,41.82,7385.09
,,,41.82,6706.56
,,,41.82,6232.36
,,,41.82,6061.64
,,,41.83,6002.42
,,,41.83,5944.25
,,,41.83,5953.46
,,,41.83,6086.1
,,,41.83,6322.23
,,,41.83,6726.95
,,,41.84,7516.77
,,,41.84,8587.35
,,,41.84,9402.76
,,,41.84,9549.95
,,,41.84,8817.21
,,,41.85,7342.7
,,,41.85,5858.08
,,,41.85,4982.11
,,,41.85,4908.61
,,,41.85,5615.16
,,,41.85,6601.65
,,,41.86,7405.34
,,,41.86,7969.75
,,,41.86,7948.92
,,,41.86,7073.09
,,,41.86,5652.37
,,,41.87,4151.43
,,,41.87,3263.98
,,,41.87,3339.06
,,,41.87,3757.34
,,,41.87,4079.12
,,,41.87,4307.69
,,,41.88,4329.25
,,,41.88,4535.91
,,,41.88,5288.44
,,,41.88,5946.91
,,,41.88,5948.95
,,,41.89,5428.85
,,,41.89,4688.04
,,,41.89,4161.92
,,,41.89,4002.93
,,,41.89,3737.35
,,,41.89,3050.26
,,,41.9,2208.92
,,,41.9,1630.23
,,,41.9,1538.85
,,,41.9,1854.71
,,,41.9,2316.67
,,,41.91,2721.75
,,,41.91,2845.63
,,,41.91,2370.22
,,,41.91,1286.25
,,,41.91,13.25
,,,41.91,-1104.72
,,,41.92,-1833.95
,,,41.92,-1838.24
,,,41.92,-1092.81
,,,41.92,60.7
,,,41.92,1294.85
,,,41.93,2188.6
,,,41.93,2468.35
,,,41.93,2442.41
,,,41.93,2463.6
,,,41.93,2550.84
,,,41.94,2778.02
,,,41.94,3249.05
,,,41.94,3843.66
,,,41.94,4314.75
,,,41.94,4373.03
,,,41.94,3913.35
,,,41.95,3337.84
,,,41.95,3148.03
,,,41.95,3283.06
,,,41.95,3425.01
,,,41.95,3549.43
,,,41.96,3706.82
,,,41.96,3831
,,,41.96,3896.35
,,,41.96,3926
,,,41.96,3948.18
,,,41.96,3774.81
,,,41.97,3042.91
,,,41.97,1930.76
,,,41.97,1034.23
,,,41.97,558.31
,,,41.97,557.97
,,,41.98,1103.05
,,,41.98,1910.82
,,,41.98,2856.64
,,,41.98,4096.85
,,,41.98,5295.2
,,,41.98,5966.64
,,,41.99,6179.51
,,,41.99,6061.1
,,,41.99,5460.47
,,,41.99,4577.4
,,,41.99,4156.6
,,,42,4477.25
,,,42,4703.33
,,,42,4054.25
,,,42,3033.27
,,,42,2659.05
,,,42,3086.33
,,,42.01,3596.34
,,,42.01,3560.89
,,,42.01,2974.39
,,,42.01,2135.54
,,,42.01,1291.57
,,,42.02,627.41
,,,42.02,181.49
,,,42.02,-20.79
,,,42.02,384.31
,,,42.02,1650.5
,,,42.02,3264.87
,,,42.03,4526.8
,,,42.03,5313.4
,,,42.03,5755.59
,,,42.03,5883.96
,,,42.03,5746.74
,,,42.04,5405.38
,,,42.04,5064.47
,,,42.04,5118.19
,,,42.04,5714.53
,,,42.04,6636.1
,,,42.04,7477.12
,,,42.05,7768.54
,,,42.05,7528.5
,,,42.05,7214.21
,,,42.05,6672.02
,,,42.05,5379.66
,,,42.06,3705.31
,,,42.06,2482.49
,,,42.06,1936.26
,,,42.06,2132.73
,,,42.06,3260.29
,,,42.06,4681.96
,,,42.07,5335.71
,,,42.07,5311.37
,,,42.07,5254.37
,,,42.07,4939.1
,,,42.07,4118
,,,42.08,3380.5
,,,42.08,3133.55
,,,42.08,3005.24
,,,42.08,2503.88
,,,42.08,1740.11
,,,42.08,1472.68
,,,42.09,2243.8
,,,42.09,3712.95
,,,42.09,5149.1
,,,42.09,6175.34
,,,42.09,6851.91
,,,42.1,7200.1
,,,42.1,6999.22
,,,42.1,6271.81
,,,42.1,5452.45
,,,42.1,4921.22
,,,42.1,4693.62
,,,42.11,4381.71
,,,42.11,3560.82
,,,42.11,2374.15
,,,42.11,1355.37
,,,42.11,744.81
,,,42.12,499.59
,,,42.12,765.14
,,,42.12,1672.84
,,,42.12,2680.94
,,,42.12,2914.86
,,,42.12,2190.21
,,,42.13,1024.32
,,,42.13,-75.08
,,,42.13,-880.96
,,,42.13,-1328.38
,,,42.13,-1498.97
,,,42.14,-1758.49
,,,42.14,-2381.05
,,,42.14,-3074.28
,,,42.14,-3509.72
,,,42.14,-3612.21
,,,42.14,-3263.62
,,,42.15,-2853.92
,,,42.15,-3049.57
,,,42.15,-3488.38
,,,42.15,-3482.58
,,,42.15,-3357.23
,,,42.16,-3664.46
,,,42.16,-4284.71
,,,42.16,-4818.55
,,,42.16,-4994.79
,,,42.16,-4677.31
,,,42.16,-3893.17
,,,42.17,-2974.72
,,,42.17,-2325.43
,,,42.17,-1951.3
,,,42.17,-1693.7
,,,42.17,-1643
,,,42.18,-1785.89
,,,42.18,-1634.83
,,,42.18,-784.22
,,,42.18,347.4
,,,42.18,1048.86
,,,42.18,1157.59
,,,42.19,597.8
,,,42.19,-685.99
,,,42.19,-2038.81
,,,42.19,-2862.39
,,,42.19,-3325.32
,,,42.2,-3496.56
,,,42.2,-3183.63
,,,42.2,-2489.63
,,,42.2,-1578.79
,,,42.2,-517.93
,,,42.2,470.62
,,,42.21,1137.89
,,,42.21,1556.65
,,,42.21,1977.24
,,,42.21,2299.77
,,,42.21,2128.66
,,,42.22,1345.7
,,,42.22,396.73
,,,42.22,-36.3
,,,42.22,-85.43
,,,42.22,-727.4
,,,42.23,-1976.49
,,,42.23,-2751.95
,,,42.23,-2767.62
,,,42.23,-2522.68
,,,42.23,-2196.5
,,,42.23,-1782.37
,,,42.24,-1190.11
,,,42.24,-213.75
,,,42.24,992
,,,42.24,1976.53
,,,42.24,2435.74
,,,42.25,2251.52
,,,42.25,1530.62
,,,42.25,692.9
,,,42.25,320.28
,,,42.25,805.42
,,,42.25,1784.79
,,,42.26,2096.59
,,,42.26,1095.61
,,,42.26,-345.34
,,,42.26,-962.62
,,,42.26,-454.95
,,,42.27,694.65
,,,42.27,1695.88
,,,42.27,1909.45
,,,42.27,1503.24
,,,42.27,1198.46
,,,42.27,1437.62
,,,42.28,2125.14
,,,42.28,2873.94
,,,42.28,3452.13
,,,42.28,3859.43
,,,42.28,4022.43
,,,42.29,3908.15
,,,42.29,3655.49
,,,42.29,3383.59
,,,42.29,3266.53
,,,42.29,3580.94
,,,42.29,4404.43
,,,42.3,5390.2
,,,42.3,5966.81
,,,42.3,5897.23
,,,42.3,5438.51
,,,42.3,5033.45
,,,42.31,5111.38
,,,42.31,5631.69
,,,42.31,5990.23
,,,42.31,5991.01
,,,42.31,5942.34
,,,42.31,5649.25
,,,42.32,4716.25
,,,42.32,3491.89
,,,42.32,2537.37
,,,42.32,1708.27
,,,42.32,566.29
,,,42.33,-789.76
,,,42.33,-1952.18
,,,42.33,-2763.92
,,,42.33,-3093.54
,,,42.33,-2743.01
,,,42.33,-1924.06
,,,42.34,-1012
,,,42.34,42.42
,,,42.34,1177.97
,,,42.34,1729.96
,,,42.34,1323.83
,,,42.35,435.3
,,,42.35,-405.9
,,,42.35,-1117.77
,,,42.35,-1677.7
,,,42.35,-1862.63
,,,42.35,-1522.99
,,,42.36,-856.18
,,,42.36,-65.28
,,,42.36,830.35
,,,42.36,1460.35
,,,42.36,1355.29
,,,42.37,853.12
,,,42.37,793.04
,,,42.37,1599.04
,,,42.37,2942.73
,,,42.37,4071.47
,,,42.37,4648.57
,,,42.38,4877.15
,,,42.38,4902.61
,,,42.38,4788.11
,,,42.38,4513.96
,,,42.38,3970.6
,,,42.39,3368.82
,,,42.39,2992.14
,,,42.39,2879.68
,,,42.39,2997.9
,,,42.39,2942.92
,,,42.39,2301.46
,,,42.4,1460.38
,,,42.4,836.71
,,,42.4,275.98
,,,42.4,-231.28
,,,42.4,-555.15
,,,42.41,-833.93
,,,42.41,-1226.2
,,,42.41,-1807.47
,,,42.41,-2612.87
,,,42.41,-3435.47
,,,42.41,-3808.57
,,,42.42,-3400.83
,,,42.42,-2344.78
,,,42.42,-1064.8
,,,42.42,-45.84
,,,42.42,345.13
,,,42.43,171.29
,,,42.43,-309.67
,,,42.43,-969.12
,,,42.43,-1453.48
,,,42.43,-1368.35
,,,42.43,-842.65
,,,42.44,-77.73
,,,42.44,1075.36
,,,42.44,2644.9
,,,42.44,4268.11
,,,42.44,5523.78
,,,42.45,6283.05
,,,42.45,6648.08
,,,42.45,6700.11
,,,42.45,6510.39
,,,42.45,6146.98
,,,42.45,5500.12
,,,42.46,4369.18
,,,42.46,2902.66
,,,42.46,1782.97
,,,42.46,1523.03
,,,42.46,1745.6
,,,42.47,1812.48
,,,42.47,1757.06
,,,42.47,1998.52
,,,42.47,2574.99
,,,42.47,3040.8
,,,42.47,3086.1
,,,42.48,2956.68
,,,42.48,2901.08
,,,42.48,2683.98
,,,42.48,2096.75
,,,42.48,1418.44
,,,42.49,1055.74
,,,42.49,1086.63
,,,42.49,1393.31
,,,42.49,1842.08
,,,42.49,2059.93
,,,42.49,1750.85
,,,42.5,1272.97
,,,42.5,1041.44
,,,42.5,921.05
,,,42.5,718.13
,,,42.5,354.07
,,,42.51,-234.89
,,,42.51,-724.03
,,,42.51,-678.79
,,,42.51,-276.94
,,,42.51,-52.94
,,,42.52,-278.54
,,,42.52,-912.94
,,,42.52,-1731.81
,,,42.52,-2554.83
,,,42.52,-3515.09
,,,42.52,-4673.13
,,,42.53,-5628.67
,,,42.53,-6181.06
,,,42.53,-6649.61
,,,42.53,-7098.49
,,,42.53,-7168.88
,,,42.54,-6583.62
,,,42.54,-5376.18
,,,42.54,-4108.6
,,,42.54,-3532.37
,,,42.54,-3719.85
,,,42.54,-4094.58
,,,42.55,-4093.79
,,,42.55,-3549.89
,,,42.55,-2709.79
,,,42.55,-1892.38
,,,42.55,-1346.38
,,,42.56,-1289.16
,,,42.56,-1659.32
,,,42.56,-2075.95
,,,42.56,-1996.95
,,,42.56,-1080.3
,,,42.56,355.37
,,,42.57,1928.76
,,,42.57,3683.58
,,,42.57,5381.49
,,,42.57,6687.58
,,,42.57,7606.15
,,,42.58,7794.77
,,,42.58,6925.04
,,,42.58,5553.79
,,,42.58,4532.56
,,,42.58,4270.12
,,,42.58,4582.31
,,,42.59,5015.52
,,,42.59,5405.6
,,,42.59,5585.39
,,,42.59,5184.17
,,,42.59,4213.37
,,,42.6,3062.61
,,,42.6,2067.21
,,,42.6,1279.09
,,,42.6,685.63
,,,42.6,665.04
,,,42.6,1263.62
,,,42.61,1814.16
,,,42.61,2177.9
,,,42.61,2615.27
,,,42.61,2998.34
,,,42.61,3430.13
,,,42.62,3835.63
,,,42.62,3477.59
,,,42.62,2288.66
,,,42.62,1077.6
,,,42.62,532.31
,,,42.62,972.4
,,,42.63,2188.41
,,,42.63,3620.22
,,,42.63,4743.21
,,,42.63,4976.23
,,,42.63,4164.86
,,,42.64,2896.46
,,,42.64,1625.98
,,,42.64,386.1
,,,42.64,-609.39
,,,42.64,-1082.93
,,,42.64,-1327.46
,,,42.65,-1924.12
,,,42.65,-2837.58
,,,42.65,-3509.75
,,,42.65,-3583.73
,,,42.65,-3095.25
,,,42.66,-2506.8
,,,42.66,-2339.69
,,,42.66,-2508.21
,,,42.66,-2613.31
,,,42.66,-2423.38
,,,42.66,-1797.58
,,,42.67,-865.87
,,,42.67,-21.35
,,,42.67,418.94
,,,42.67,266.24
,,,42.67,-266.21
,,,42.68,-454.15
,,,42.68,133.76
,,,42.68,1106.82
,,,42.68,1876.37
,,,42.68,2435.14
,,,42.68,3123.74
,,,42.69,3821.59
,,,42.69,4027.86
,,,42.69,3665.39
,,,42.69,3020.23
,,,42.69,1989.95
,,,42.7,309.96
,,,42.7,-1644.62
,,,42.7,-3222.53
,,,42.7,-4212.86
,,,42.7,-4704.91
,,,42.7,-5016.62
,,,42.71,-5474.42
,,,42.71,-5787.33
,,,42.71,-5473.25
,,,42.71,-4574.33
,,,42.71,-3386.18
,,,42.72,-2146.12
,,,42.72,-891.86
,,,42.72,382.62
,,,42.72,1251.07
,,,42.72,1398.53
,,,42.72,1218.49
,,,42.73,1025.16
,,,42.73,713.41
,,,42.73,490.96
,,,42.73,849.08
,,,42.73,1721.01
,,,42.74,2577.29
,,,42.74,3337.36
,,,42.74,4052.81
,,,42.74,4251.08
,,,42.74,3836.38
,,,42.74,3412.34
,,,42.75,3280.11
,,,42.75,3264.34
,,,42.75,3042.79
,,,42.75,2533.55
,,,42.75,2170.9
,,,42.76,2075.94
,,,42.76,1789.58
,,,42.76,1116.73
,,,42.76,233.67
,,,42.76,-401.98
,,,42.76,-424.75
,,,42.77,-305.68
,,,42.77,-544.3
,,,42.77,-902.21
,,,42.77,-1128.67
,,,42.77,-1092.86
,,,42.78,-725.82
,,,42.78,-295.22
,,,42.78,-31.48
,,,42.78,-178.28
,,,42.78,-1124.26
,,,42.78,-2742.81
,,,42.79,-4457.33
,,,42.79,-5790.24
,,,42.79,-6427.49
,,,42.79,-6310.34
,,,42.79,-5599.48
,,,42.8,-4586.24
,,,42.8,-3670.69
,,,42.8,-3096.31
,,,42.8,-2916.1
,,,42.8,-2993.71
,,,42.81,-3000.29
,,,42.81,-2914.82
,,,42.81,-2945.28
,,,42.81,-3000.96
,,,42.81,-2964.52
,,,42.81,-2847
,,,42.82,-2654.5
,,,42.82,-2530.07
,,,42.82,-2382.44
,,,42.82,-1728.92
,,,42.82,-458.17
,,,42.83,933.71
,,,42.83,1789.29
,,,42.83,1712.98
,,,42.83,1047.76
,,,42.83,616.98
,,,42.83,690.48
,,,42.84,972.25
,,,42.84,1479.81
,,,42.84,2284.76
,,,42.84,2772.58
,,,42.84,2341.67
,,,42.85,1234.81
,,,42.85,42.42
,,,42.85,-799.97
,,,42.85,-1086.67
,,,42.85,-1057.03
,,,42.85,-1140.47
,,,42.86,-1418.18
,,,42.86,-1655.21
,,,42.86,-1608.25
,,,42.86,-1190.08
,,,42.86,-529.85
,,,42.87,-1.28
,,,42.87,-55
,,,42.87,-798.88
,,,42.87,-2000.2
,,,42.87,-3352.04
,,,42.87,-4241.29
