Machine Name,Lloyd LRX ,P35 Undamaged,1,,,2,,,3,,,4,,,P35 1 hr healing,1,,,2,,,3,,,P35 3 hr healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.91,0,,-8.51,0
,,,76.34,0.16,,46.1,0.09,,58.82,0.16,,61.1,0.22,,,13.48,0.08,,10.24,0.06,,15.7,0.13,,,17.3,0.1,,28.27,0.12,,18.08,0.08
,,,79.68,0.16,,48.53,0.09,,61.63,0.16,,63.97,0.22,,,14.56,0.09,,11.2,0.07,,16.64,0.14,,,18.48,0.1,,29.67,0.13,,19.53,0.08
,,,83.02,0.16,,50.96,0.09,,64.44,0.16,,66.84,0.23,,,15.67,0.09,,12.16,0.07,,17.53,0.14,,,19.66,0.1,,31.07,0.13,,20.97,0.08
,,,86.36,0.16,,53.38,0.09,,67.25,0.17,,69.7,0.23,,,16.69,0.09,,13.07,0.07,,18.49,0.14,,,20.83,0.1,,32.47,0.13,,22.48,0.08
,,,89.7,0.17,,55.81,0.1,,70.05,0.17,,72.57,0.23,,,17.83,0.1,,14.06,0.07,,19.39,0.14,,,22.02,0.1,,33.86,0.13,,23.9,0.09
,,,93.04,0.17,,58.24,0.1,,72.86,0.17,,75.44,0.24,,,18.85,0.1,,14.98,0.08,,20.34,0.15,,,23.18,0.11,,35.26,0.13,,25.39,0.09
,,,96.37,0.17,,60.66,0.1,,75.67,0.18,,78.31,0.24,,,20,0.1,,15.94,0.08,,21.27,0.15,,,24.39,0.11,,36.66,0.14,,26.82,0.09
,,,99.71,0.17,,63.09,0.1,,78.48,0.18,,81.18,0.24,,,21.02,0.1,,16.89,0.08,,22.2,0.15,,,25.56,0.11,,38.06,0.14,,28.28,0.1
,,,103.05,0.17,,65.52,0.1,,81.29,0.18,,84.04,0.25,,,22.1,0.11,,17.78,0.08,,23.13,0.16,,,26.74,0.11,,39.46,0.14,,29.75,0.1
,,,106.39,0.17,,67.94,0.1,,84.09,0.18,,86.91,0.25,,,23.18,0.11,,18.79,0.09,,24.06,0.16,,,27.9,0.12,,40.85,0.14,,31.18,0.1
,,,109.73,0.17,,70.37,0.11,,86.9,0.18,,89.78,0.25,,,24.24,0.11,,19.71,0.09,,24.99,0.16,,,29.14,0.12,,42.25,0.14,,32.66,0.1
,,,113.07,0.18,,72.8,0.11,,89.71,0.19,,92.65,0.26,,,25.36,0.11,,20.64,0.09,,25.92,0.17,,,30.3,0.12,,43.65,0.14,,34.14,0.1
,,,116.41,0.18,,75.22,0.11,,92.52,0.19,,95.52,0.26,,,26.39,0.12,,21.62,0.09,,26.85,0.17,,,31.46,0.12,,45.05,0.14,,35.61,0.1
,,,119.75,0.18,,77.65,0.11,,95.32,0.19,,98.39,0.26,,,27.53,0.12,,22.54,0.09,,27.78,0.17,,,32.63,0.13,,46.45,0.14,,37.08,0.1
,,,123.09,0.18,,80.08,0.11,,98.13,0.19,,101.25,0.26,,,28.61,0.12,,23.54,0.09,,28.71,0.18,,,33.8,0.13,,47.84,0.15,,38.55,0.1
,,,126.43,0.18,,82.51,0.11,,100.94,0.19,,104.12,0.26,,,29.65,0.12,,24.47,0.1,,29.64,0.18,,,34.98,0.13,,49.24,0.15,,40.02,0.11
,,,129.77,0.18,,84.93,0.11,,103.75,0.19,,106.99,0.26,,,30.74,0.12,,25.39,0.1,,30.57,0.18,,,36.2,0.13,,50.64,0.15,,41.49,0.11
,,,133.11,0.18,,87.36,0.12,,106.56,0.19,,109.86,0.26,,,31.82,0.13,,26.34,0.1,,31.5,0.18,,,37.39,0.13,,52.04,0.15,,42.95,0.11
,,,136.45,0.19,,89.79,0.12,,109.36,0.19,,112.73,0.27,,,32.91,0.13,,27.3,0.1,,32.43,0.18,,,38.58,0.14,,53.44,0.15,,44.42,0.11
,,,139.79,0.19,,92.21,0.12,,112.17,0.2,,115.59,0.27,,,34,0.13,,28.25,0.1,,33.36,0.19,,,39.76,0.14,,54.83,0.15,,45.89,0.11
,,,143.13,0.19,,94.64,0.12,,114.98,0.2,,118.46,0.27,,,35.08,0.13,,29.19,0.1,,34.29,0.19,,,40.95,0.14,,56.23,0.15,,47.36,0.11
,,,146.46,0.19,,97.07,0.12,,117.79,0.2,,121.33,0.27,,,36.17,0.13,,30.14,0.11,,35.22,0.19,,,42.13,0.14,,57.63,0.15,,48.83,0.11
,,,149.8,0.19,,99.49,0.12,,120.59,0.2,,124.2,0.27,,,37.26,0.13,,31.09,0.11,,36.15,0.19,,,43.32,0.14,,59.03,0.15,,50.29,0.12
,,,153.14,0.19,,101.92,0.12,,123.4,0.2,,127.07,0.27,,,38.35,0.14,,32.04,0.11,,37.08,0.19,,,44.5,0.14,,60.43,0.15,,51.75,0.12
,,,156.48,0.19,,104.35,0.12,,126.21,0.2,,129.93,0.28,,,39.43,0.14,,32.99,0.11,,38.01,0.19,,,45.68,0.15,,61.83,0.15,,53.21,0.12
,,,159.82,0.19,,106.78,0.12,,129.01,0.2,,132.8,0.28,,,40.52,0.14,,33.93,0.11,,38.94,0.2,,,46.87,0.15,,63.22,0.15,,54.67,0.12
,,,163.16,0.19,,109.2,0.12,,131.82,0.2,,135.67,0.28,,,41.6,0.14,,34.88,0.12,,39.87,0.2,,,48.05,0.15,,64.62,0.15,,56.13,0.12
,,,166.5,0.19,,111.63,0.12,,134.63,0.2,,138.54,0.28,,,42.68,0.14,,35.83,0.12,,40.8,0.2,,,49.24,0.15,,66.02,0.15,,57.59,0.12
,,,169.84,0.2,,114.06,0.13,,137.43,0.2,,141.41,0.28,,,43.76,0.14,,36.78,0.12,,41.73,0.2,,,50.42,0.15,,67.42,0.15,,59.05,0.12
,,,173.18,0.2,,116.48,0.13,,140.24,0.21,,144.28,0.28,,,44.84,0.14,,37.73,0.12,,42.66,0.2,,,51.61,0.15,,68.82,0.15,,60.51,0.12
,,,176.52,0.2,,118.91,0.13,,143.05,0.21,,147.14,0.28,,,45.92,0.15,,38.67,0.12,,43.59,0.2,,,52.79,0.15,,70.22,0.15,,61.97,0.12
