Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,4.39,1.06,,3.91,0.36,,4.61,0.92
,,4.38,1.05,,3.91,0.36,,4.61,0.93
,,4.38,1.05,,3.91,0.35,,4.6,0.93
,,4.37,1.05,,3.9,0.35,,4.6,0.94
,,4.37,1.05,,3.9,0.34,,4.6,0.95
,,4.37,1.04,,3.89,0.34,,4.59,0.95
,,4.36,1.04,,3.89,0.34,,4.59,0.96
,,4.36,1.04,,3.89,0.33,,4.58,0.96
,,4.35,1.04,,3.88,0.33,,4.58,0.97
,,4.35,1.03,,3.88,0.33,,4.58,0.97
,,4.35,1.03,,3.87,0.32,,4.57,0.97
,,4.34,1.02,,3.87,0.32,,4.57,0.98
,,4.34,1.02,,3.87,0.32,,4.56,0.98
,,4.33,1.02,,3.86,0.31,,4.56,0.99
,,4.33,1.01,,3.86,0.31,,4.56,0.99
,,4.33,1.01,,3.85,0.31,,4.55,0.99
,,4.32,1,,3.85,0.3,,4.55,1
,,4.32,1,,3.85,0.3,,4.54,1
,,4.31,0.99,,3.84,0.3,,4.54,1
,,4.31,0.98,,3.84,0.29,,4.54,1.01
,,4.31,0.98,,3.83,0.29,,4.53,1.01
,,4.3,0.97,,3.83,0.29,,4.53,1.01
,,4.3,0.97,,3.83,0.28,,4.52,1.02
,,4.29,0.96,,3.82,0.28,,4.52,1.02
,,4.29,0.95,,3.82,0.28,,4.52,1.02
,,4.29,0.95,,3.82,0.27,,4.51,1.03
,,4.28,0.94,,3.81,0.27,,4.51,1.03
,,4.28,0.93,,3.81,0.27,,4.5,1.03
,,4.27,0.93,,3.8,0.27,,4.5,1.03
,,4.27,0.92,,3.8,0.26,,4.5,1.03
,,4.27,0.91,,3.8,0.26,,4.49,1.04
,,4.26,0.91,,3.79,0.26,,4.49,1.04
,,4.26,0.9,,3.79,0.26,,4.48,1.04
,,4.26,0.89,,3.78,0.25,,4.48,1.04
,,4.25,0.88,,3.78,0.25,,4.48,1.05
,,4.25,0.88,,3.78,0.25,,4.47,1.05
,,4.24,0.87,,3.77,0.25,,4.47,1.05
,,4.24,0.86,,3.77,0.24,,4.47,1.05
,,4.24,0.86,,3.76,0.24,,4.46,1.05
,,4.23,0.85,,3.76,0.24,,4.46,1.06
,,4.23,0.84,,3.76,0.24,,4.45,1.06
,,4.22,0.83,,3.75,0.23,,4.45,1.06
,,4.22,0.83,,3.75,0.23,,4.45,1.06
,,4.22,0.82,,3.74,0.23,,4.44,1.06
,,4.21,0.81,,3.74,0.23,,4.44,1.06
,,4.21,0.81,,3.74,0.22,,4.43,1.06
,,4.2,0.8,,3.73,0.22,,4.43,1.06
,,4.2,0.79,,3.73,0.22,,4.43,1.07
,,4.2,0.78,,3.72,0.22,,4.42,1.07
,,4.19,0.78,,3.72,0.22,,4.42,1.07
,,4.19,0.77,,3.72,0.21,,4.41,1.07
,,4.18,0.76,,3.71,0.21,,4.41,1.07
,,4.18,0.76,,3.71,0.21,,4.41,1.07
,,4.18,0.75,,3.7,0.21,,4.4,1.07
,,4.17,0.75,,3.7,0.21,,4.4,1.07
,,4.17,0.74,,3.7,0.2,,4.39,1.07
,,4.16,0.73,,3.69,0.2,,4.39,1.07
,,4.16,0.73,,3.69,0.2,,4.39,1.06
,,4.16,0.72,,3.68,0.2,,4.38,1.06
,,4.15,0.71,,3.68,0.2,,4.38,1.06
,,4.15,0.71,,3.68,0.19,,4.37,1.06
,,4.14,0.7,,3.67,0.19,,4.37,1.06
,,4.14,0.7,,3.67,0.19,,4.37,1.06
,,4.14,0.69,,3.66,0.19,,4.36,1.05
,,4.13,0.69,,3.66,0.19,,4.36,1.05
,,4.13,0.68,,3.66,0.18,,4.35,1.05
,,4.12,0.67,,3.65,0.18,,4.35,1.05
,,4.12,0.67,,3.65,0.18,,4.35,1.04
,,4.12,0.66,,3.64,0.18,,4.34,1.04
,,4.11,0.66,,3.64,0.18,,4.34,1.04
,,4.11,0.65,,3.64,0.18,,4.33,1.03
,,4.1,0.65,,3.63,0.17,,4.33,1.03
,,4.1,0.64,,3.63,0.17,,4.33,1.02
,,4.1,0.64,,3.62,0.17,,4.32,1.02
,,4.09,0.63,,3.62,0.17,,4.32,1.01
,,4.09,0.63,,3.62,0.17,,4.31,1.01
,,4.08,0.62,,3.61,0.17,,4.31,1
,,4.08,0.62,,3.61,0.17,,4.31,1
,,4.08,0.61,,3.6,0.16,,4.3,0.99
,,4.07,0.6,,3.6,0.16,,4.3,0.99
,,4.07,0.6,,3.6,0.16,,4.29,0.98
,,4.06,0.59,,3.59,0.16,,4.29,0.97
,,4.06,0.59,,3.59,0.16,,4.29,0.97
,,4.06,0.58,,3.59,0.16,,4.28,0.96
,,4.05,0.58,,3.58,0.16,,4.28,0.96
,,4.05,0.57,,3.58,0.15,,4.27,0.95
,,4.04,0.57,,3.57,0.15,,4.27,0.94
,,4.04,0.56,,3.57,0.15,,4.27,0.94
,,4.04,0.56,,3.57,0.15,,4.26,0.93
,,4.03,0.55,,3.56,0.15,,4.26,0.92
,,4.03,0.55,,3.56,0.15,,4.26,0.92
,,4.03,0.54,,3.55,0.15,,4.25,0.91
,,4.02,0.54,,3.55,0.15,,4.25,0.9
,,4.02,0.53,,3.55,0.15,,4.24,0.89
,,4.01,0.53,,3.54,0.14,,4.24,0.89
,,4.01,0.52,,3.54,0.14,,4.24,0.88
,,4.01,0.52,,3.53,0.14,,4.23,0.87
,,4,0.51,,3.53,0.14,,4.23,0.87
,,4,0.51,,3.53,0.14,,4.22,0.86
,,3.99,0.5,,3.52,0.14,,4.22,0.85
,,3.99,0.49,,3.52,0.14,,4.22,0.84
,,3.99,0.49,,3.51,0.14,,4.21,0.84
,,3.98,0.48,,3.51,0.13,,4.21,0.83
,,3.98,0.48,,3.51,0.13,,4.2,0.82
,,3.97,0.47,,3.5,0.13,,4.2,0.82
,,3.97,0.47,,3.5,0.13,,4.2,0.81
,,3.97,0.46,,3.49,0.13,,4.19,0.8
,,3.96,0.46,,3.49,0.13,,4.19,0.8
,,3.96,0.45,,3.49,0.13,,4.18,0.79
,,3.95,0.45,,3.48,0.13,,4.18,0.78
,,3.95,0.44,,3.48,0.12,,4.18,0.78
,,3.95,0.44,,3.47,0.12,,4.17,0.77
,,3.94,0.43,,3.47,0.12,,4.17,0.76
,,3.94,0.43,,3.47,0.12,,4.16,0.76
,,3.93,0.43,,3.46,0.12,,4.16,0.75
,,3.93,0.42,,3.46,0.12,,4.16,0.74
,,3.93,0.42,,3.45,0.12,,4.15,0.74
,,3.92,0.41,,3.45,0.12,,4.15,0.73
,,3.92,0.41,,3.45,0.12,,4.14,0.73
,,3.91,0.4,,3.44,0.12,,4.14,0.72
,,3.91,0.4,,3.44,0.11,,4.14,0.72
,,3.91,0.39,,3.43,0.11,,4.13,0.71
,,3.9,0.39,,3.43,0.11,,4.13,0.7
,,3.9,0.38,,3.43,0.11,,4.12,0.7
,,3.89,0.38,,3.42,0.11,,4.12,0.69
,,3.89,0.38,,3.42,0.11,,4.12,0.69
,,3.89,0.37,,3.41,0.11,,4.11,0.68
,,3.88,0.37,,3.41,0.11,,4.11,0.68
,,3.88,0.36,,3.41,0.11,,4.1,0.67
,,3.87,0.36,,3.4,0.11,,4.1,0.67
,,3.87,0.35,,3.4,0.11,,4.1,0.66
,,3.87,0.35,,3.39,0.11,,4.09,0.65
,,3.86,0.35,,3.39,0.11,,4.09,0.65
,,3.86,0.34,,3.39,0.11,,4.08,0.64
,,3.85,0.34,,3.38,0.12,,4.08,0.64
,,3.85,0.34,,3.38,0.12,,4.08,0.63
,,3.85,0.33,,3.38,0.12,,4.07,0.63
,,3.84,0.33,,3.37,0.12,,4.07,0.62
,,3.84,0.32,,3.37,0.12,,4.06,0.62
,,3.83,0.32,,3.36,0.12,,4.06,0.61
,,3.83,0.32,,3.36,0.12,,4.06,0.61
,,3.83,0.31,,3.36,0.12,,4.05,0.6
,,3.82,0.31,,3.35,0.12,,4.05,0.6
,,3.82,0.31,,3.35,0.12,,4.04,0.59
,,3.82,0.3,,3.34,0.12,,4.04,0.59
,,3.81,0.3,,3.34,0.11,,4.04,0.58
,,3.81,0.3,,3.34,0.11,,4.03,0.58
,,3.8,0.29,,3.33,0.11,,4.03,0.57
,,3.8,0.29,,3.33,0.11,,4.03,0.56
,,3.8,0.29,,3.32,0.11,,4.02,0.56
,,3.79,0.28,,3.32,0.11,,4.02,0.55
,,3.79,0.28,,3.32,0.11,,4.01,0.55
,,3.78,0.28,,3.31,0.11,,4.01,0.54
,,3.78,0.28,,3.31,0.1,,4.01,0.54
,,3.78,0.27,,3.3,0.1,,4,0.53
,,3.77,0.27,,3.3,0.1,,4,0.53
,,3.77,0.27,,3.3,0.1,,3.99,0.52
,,3.76,0.26,,3.29,0.1,,3.99,0.52
,,3.76,0.26,,3.29,0.1,,3.99,0.51
,,3.76,0.26,,3.28,0.09,,3.98,0.51
,,3.75,0.26,,3.28,0.09,,3.98,0.5
,,3.75,0.25,,3.28,0.09,,3.97,0.5
,,3.74,0.25,,3.27,0.09,,3.97,0.49
,,3.74,0.25,,3.27,0.09,,3.97,0.49
,,3.74,0.24,,3.26,0.09,,3.96,0.48
,,3.73,0.24,,3.26,0.08,,3.96,0.48
,,3.73,0.24,,3.26,0.08,,3.95,0.47
,,3.72,0.24,,3.25,0.08,,3.95,0.47
,,3.72,0.23,,3.25,0.08,,3.95,0.46
,,3.72,0.23,,3.24,0.08,,3.94,0.46
,,3.71,0.23,,3.24,0.08,,3.94,0.45
,,3.71,0.23,,3.24,0.08,,3.93,0.45
,,3.7,0.23,,3.23,0.08,,3.93,0.44
,,3.7,0.22,,3.23,0.08,,3.93,0.44
,,3.7,0.22,,3.22,0.08,,3.92,0.43
,,3.69,0.22,,3.22,0.08,,3.92,0.43
,,3.69,0.22,,3.22,0.08,,3.91,0.42
,,3.68,0.21,,3.21,0.08,,3.91,0.42
,,3.68,0.21,,3.21,0.08,,3.91,0.42
,,3.68,0.21,,3.2,0.08,,3.9,0.41
,,3.67,0.21,,3.2,0.08,,3.9,0.41
,,3.67,0.2,,3.2,0.08,,3.89,0.4
,,3.66,0.2,,3.19,0.08,,3.89,0.4
,,3.66,0.2,,3.19,0.08,,3.89,0.39
,,3.66,0.2,,3.18,0.08,,3.88,0.39
,,3.65,0.2,,3.18,0.08,,3.88,0.38
,,3.65,0.19,,3.18,0.09,,3.87,0.38
,,3.64,0.19,,3.17,0.09,,3.87,0.38
,,3.64,0.19,,3.17,0.09,,3.87,0.37
,,3.64,0.19,,3.16,0.09,,3.86,0.37
,,3.63,0.19,,3.16,0.09,,3.86,0.36
,,3.63,0.19,,3.16,0.09,,3.85,0.36
,,3.62,0.18,,3.15,0.09,,3.85,0.36
,,3.62,0.18,,3.15,0.08,,3.85,0.35
,,3.62,0.18,,3.15,0.08,,3.84,0.35
,,3.61,0.18,,3.14,0.08,,3.84,0.34
,,3.61,0.18,,3.14,0.08,,3.83,0.34
,,3.6,0.17,,3.13,0.08,,3.83,0.34
,,3.6,0.17,,3.13,0.08,,3.83,0.33
,,3.6,0.17,,3.13,0.08,,3.82,0.33
,,3.59,0.17,,3.12,0.08,,3.82,0.33
,,3.59,0.17,,3.12,0.08,,3.82,0.32
,,3.59,0.17,,3.11,0.08,,3.81,0.32
,,3.58,0.17,,3.11,0.08,,3.81,0.32
,,3.58,0.16,,3.11,0.08,,3.8,0.31
,,3.57,0.16,,3.1,0.07,,3.8,0.31
,,3.57,0.16,,3.1,0.07,,3.8,0.31
,,3.57,0.16,,3.09,0.07,,3.79,0.3
,,3.56,0.16,,3.09,0.07,,3.79,0.3
,,3.56,0.16,,3.09,0.07,,3.78,0.3
,,3.55,0.16,,3.08,0.07,,3.78,0.29
,,3.55,0.15,,3.08,0.07,,3.78,0.29
,,3.55,0.15,,3.07,0.07,,3.77,0.29
,,3.54,0.15,,3.07,0.08,,3.77,0.28
,,3.54,0.15,,3.07,0.08,,3.76,0.28
,,3.53,0.15,,3.06,0.08,,3.76,0.28
,,3.53,0.15,,3.06,0.08,,3.76,0.27
,,3.53,0.15,,3.05,0.08,,3.75,0.27
,,3.52,0.14,,3.05,0.09,,3.75,0.27
,,3.52,0.14,,3.05,0.09,,3.74,0.27
,,3.51,0.14,,3.04,0.09,,3.74,0.26
,,3.51,0.14,,3.04,0.1,,3.74,0.26
,,3.51,0.14,,3.03,0.1,,3.73,0.26
,,3.5,0.14,,3.03,0.1,,3.73,0.25
,,3.5,0.13,,3.03,0.11,,3.72,0.25
,,3.49,0.13,,3.02,0.11,,3.72,0.25
,,3.49,0.13,,3.02,0.12,,3.72,0.25
,,3.49,0.13,,3.01,0.12,,3.71,0.24
,,3.48,0.13,,3.01,0.13,,3.71,0.24
,,3.48,0.13,,3.01,0.13,,3.7,0.24
,,3.47,0.12,,3,0.13,,3.7,0.24
,,3.47,0.12,,3,0.14,,3.7,0.23
,,3.47,0.12,,2.99,0.14,,3.69,0.23
,,3.46,0.12,,2.99,0.14,,3.69,0.23
,,3.46,0.12,,2.99,0.14,,3.68,0.23
,,3.45,0.12,,2.98,0.15,,3.68,0.22
,,3.45,0.12,,2.98,0.15,,3.68,0.22
,,3.45,0.12,,2.97,0.15,,3.67,0.22
,,3.44,0.12,,2.97,0.15,,3.67,0.22
,,3.44,0.11,,2.97,0.15,,3.66,0.22
,,3.43,0.11,,2.96,0.15,,3.66,0.21
,,3.43,0.11,,2.96,0.15,,3.66,0.21
,,3.43,0.11,,2.96,0.15,,3.65,0.21
,,3.42,0.11,,2.95,0.14,,3.65,0.21
,,3.42,0.11,,2.95,0.14,,3.64,0.2
,,3.41,0.11,,2.94,0.14,,3.64,0.2
,,3.41,0.11,,2.94,0.14,,3.64,0.2
,,3.41,0.12,,2.94,0.13,,3.63,0.2
,,3.4,0.12,,2.93,0.13,,3.63,0.2
,,3.4,0.12,,2.93,0.13,,3.62,0.19
,,3.39,0.12,,2.92,0.13,,3.62,0.19
,,3.39,0.12,,2.92,0.12,,3.62,0.19
,,3.39,0.12,,2.92,0.12,,3.61,0.19
,,3.38,0.12,,2.91,0.12,,3.61,0.19
,,3.38,0.12,,2.91,0.12,,3.6,0.19
,,3.38,0.12,,2.9,0.11,,3.6,0.18
,,3.37,0.12,,2.9,0.11,,3.6,0.18
,,3.37,0.12,,2.9,0.11,,3.59,0.18
,,3.36,0.12,,2.89,0.11,,3.59,0.18
,,3.36,0.12,,2.89,0.1,,3.59,0.18
,,3.36,0.12,,2.88,0.1,,3.58,0.18
,,3.35,0.12,,2.88,0.1,,3.58,0.17
,,3.35,0.12,,2.88,0.1,,3.57,0.17
,,3.34,0.12,,2.87,0.09,,3.57,0.17
,,3.34,0.12,,2.87,0.09,,3.57,0.17
,,3.34,0.12,,2.86,0.09,,3.56,0.17
,,3.33,0.11,,2.86,0.08,,3.56,0.17
,,3.33,0.11,,2.86,0.08,,3.55,0.16
,,3.32,0.11,,2.85,0.08,,3.55,0.16
,,3.32,0.11,,2.85,0.08,,3.55,0.16
,,3.32,0.11,,2.84,0.07,,3.54,0.16
,,3.31,0.11,,2.84,0.07,,3.54,0.16
,,3.31,0.1,,2.84,0.07,,3.53,0.16
,,3.3,0.1,,2.83,0.07,,3.53,0.16
,,3.3,0.1,,2.83,0.06,,3.53,0.15
,,3.3,0.1,,2.82,0.06,,3.52,0.15
,,3.29,0.1,,2.82,0.06,,3.52,0.15
,,3.29,0.09,,2.82,0.06,,3.51,0.15
,,3.28,0.09,,2.81,0.05,,3.51,0.15
,,3.28,0.09,,2.81,0.05,,3.51,0.15
,,3.28,0.09,,2.8,0.05,,3.5,0.15
,,3.27,0.09,,2.8,0.05,,3.5,0.14
,,3.27,0.08,,2.8,0.05,,3.49,0.14
,,3.26,0.08,,2.79,0.05,,3.49,0.14
,,3.26,0.08,,2.79,0.04,,3.49,0.14
,,3.26,0.08,,2.78,0.04,,3.48,0.14
,,3.25,0.08,,2.78,0.04,,3.48,0.14
,,3.25,0.08,,2.78,0.04,,3.47,0.14
,,3.24,0.08,,2.77,0.04,,3.47,0.13
,,3.24,0.08,,2.77,0.04,,3.47,0.13
,,3.24,0.08,,2.76,0.04,,3.46,0.13
,,3.23,0.08,,2.76,0.04,,3.46,0.13
,,3.23,0.07,,2.76,0.04,,3.45,0.13
,,3.22,0.07,,2.75,0.04,,3.45,0.13
,,3.22,0.07,,2.75,0.03,,3.45,0.13
,,3.22,0.07,,2.75,0.03,,3.44,0.13
,,3.21,0.07,,2.74,0.03,,3.44,0.13
,,3.21,0.07,,2.74,0.03,,3.43,0.13
,,3.2,0.07,,2.73,0.03,,3.43,0.12
,,3.2,0.07,,2.73,0.03,,3.43,0.12
,,3.2,0.07,,2.73,0.03,,3.42,0.12
,,3.19,0.07,,2.72,0.03,,3.42,0.12
,,3.19,0.07,,2.72,0.03,,3.41,0.12
,,3.18,0.07,,2.71,0.03,,3.41,0.12
,,3.18,0.07,,2.71,0.03,,3.41,0.12
,,3.18,0.07,,2.71,0.03,,3.4,0.12
,,3.17,0.07,,2.7,0.03,,3.4,0.12
,,3.17,0.07,,2.7,0.03,,3.39,0.12
,,3.16,0.07,,2.69,0.03,,3.39,0.12
,,3.16,0.07,,2.69,0.03,,3.39,0.12
,,3.16,0.07,,2.69,0.03,,3.38,0.12
,,3.15,0.07,,2.68,0.03,,3.38,0.12
,,3.15,0.07,,2.68,0.03,,3.38,0.12
,,3.15,0.07,,2.67,0.03,,3.37,0.12
,,3.14,0.06,,2.67,0.03,,3.37,0.12
,,3.14,0.06,,2.67,0.02,,3.36,0.12
,,3.13,0.06,,2.66,0.02,,3.36,0.12
,,3.13,0.06,,2.66,0.02,,3.36,0.12
,,3.13,0.06,,2.65,0.02,,3.35,0.12
,,3.12,0.06,,2.65,0.02,,3.35,0.12
,,3.12,0.06,,2.65,0.02,,3.34,0.12
,,3.11,0.06,,2.64,0.02,,3.34,0.12
,,3.11,0.06,,2.64,0.02,,3.34,0.12
,,3.11,0.06,,2.63,0.02,,3.33,0.12
,,3.1,0.06,,2.63,0.02,,3.33,0.11
,,3.1,0.06,,2.63,0.02,,3.32,0.11
,,3.09,0.06,,2.62,0.02,,3.32,0.11
,,3.09,0.06,,2.62,0.02,,3.32,0.11
,,3.09,0.06,,2.61,0.02,,3.31,0.11
,,3.08,0.06,,2.61,0.02,,3.31,0.11
,,3.08,0.06,,2.61,0.02,,3.3,0.1
,,3.07,0.06,,2.6,0.02,,3.3,0.1
,,3.07,0.07,,2.6,0.02,,3.3,0.1
,,3.07,0.07,,2.59,0.03,,3.29,0.1
,,3.06,0.07,,2.59,0.03,,3.29,0.1
,,3.06,0.07,,2.59,0.03,,3.28,0.1
,,3.05,0.08,,2.58,0.03,,3.28,0.09
,,3.05,0.08,,2.58,0.03,,3.28,0.09
,,3.05,0.09,,2.57,0.03,,3.27,0.09
,,3.04,0.09,,2.57,0.03,,3.27,0.09
,,3.04,0.09,,2.57,0.03,,3.26,0.09
,,3.03,0.1,,2.56,0.03,,3.26,0.09
,,3.03,0.1,,2.56,0.03,,3.26,0.09
,,3.03,0.11,,2.56,0.03,,3.25,0.09
,,3.02,0.11,,2.55,0.03,,3.25,0.09
,,3.02,0.12,,2.55,0.04,,3.24,0.08
,,3.01,0.12,,2.54,0.04,,3.24,0.08
,,3.01,0.13,,2.54,0.04,,3.24,0.08
,,3.01,0.13,,2.54,0.04,,3.23,0.08
,,3,0.14,,2.53,0.04,,3.23,0.08
,,3,0.14,,2.53,0.04,,3.22,0.08
,,2.99,0.15,,2.52,0.04,,3.22,0.08
,,2.99,0.15,,2.52,0.04,,3.22,0.08
,,2.99,0.15,,2.51,0.04,,3.21,0.08
,,2.98,0.15,,2.51,0.04,,3.21,0.09
,,2.98,0.15,,2.51,0.04,,3.2,0.09
,,2.97,0.16,,2.5,0.04,,3.2,0.09
,,2.97,0.16,,2.5,0.04,,3.2,0.09
,,2.97,0.16,,2.5,0.04,,3.19,0.09
,,2.96,0.15,,2.49,0.04,,3.19,0.09
,,2.96,0.15,,2.49,0.04,,3.18,0.09
,,2.96,0.15,,2.48,0.04,,3.18,0.09
,,2.95,0.15,,2.48,0.04,,3.18,0.09
,,2.95,0.15,,2.48,0.04,,3.17,0.09
,,2.94,0.14,,2.47,0.04,,3.17,0.09
,,2.94,0.14,,2.47,0.04,,3.16,0.09
,,2.94,0.14,,2.46,0.04,,3.16,0.09
,,2.93,0.13,,2.46,0.04,,3.16,0.09
,,2.93,0.13,,2.45,0.04,,3.15,0.09
,,2.92,0.13,,2.45,0.04,,3.15,0.09
,,2.92,0.12,,2.45,0.04,,3.15,0.09
,,2.92,0.12,,2.44,0.03,,3.14,0.09
,,2.91,0.12,,2.44,0.03,,3.14,0.09
,,2.91,0.11,,2.44,0.03,,3.13,0.09
,,2.9,0.11,,2.43,0.03,,3.13,0.09
,,2.9,0.11,,2.43,0.03,,3.13,0.09
,,2.9,0.1,,2.42,0.03,,3.12,0.08
,,2.89,0.1,,2.42,0.03,,3.12,0.08
,,2.89,0.1,,2.42,0.03,,3.11,0.08
,,2.88,0.09,,2.41,0.03,,3.11,0.08
,,2.88,0.09,,2.41,0.03,,3.11,0.08
,,2.88,0.09,,2.4,0.02,,3.1,0.08
,,2.87,0.08,,2.4,0.02,,3.1,0.08
,,2.87,0.08,,2.4,0.02,,3.09,0.08
,,2.86,0.08,,2.39,0.02,,3.09,0.07
,,2.86,0.08,,2.39,0.02,,3.09,0.07
,,2.86,0.07,,2.38,0.02,,3.08,0.07
,,2.85,0.07,,2.38,0.02,,3.08,0.07
,,2.85,0.07,,2.38,0.02,,3.07,0.07
,,2.84,0.07,,2.37,0.02,,3.07,0.07
,,2.84,0.06,,2.37,0.02,,3.07,0.07
,,2.84,0.06,,2.36,0.02,,3.06,0.08
,,2.83,0.06,,2.36,0.02,,3.06,0.08
,,2.83,0.06,,2.36,0.02,,3.05,0.08
,,2.82,0.06,,2.35,0.02,,3.05,0.08
,,2.82,0.05,,2.35,0.02,,3.05,0.08
,,2.82,0.05,,2.34,0.02,,3.04,0.09
,,2.81,0.05,,2.34,0.02,,3.04,0.09
,,2.81,0.05,,2.34,0.02,,3.03,0.09
,,2.8,0.05,,2.33,0.02,,3.03,0.1
,,2.8,0.05,,2.33,0.02,,3.03,0.1
,,2.8,0.04,,2.32,0.02,,3.02,0.1
,,2.79,0.04,,2.32,0.02,,3.02,0.11
,,2.79,0.04,,2.32,0.02,,3.01,0.11
,,2.78,0.04,,2.31,0.02,,3.01,0.11
,,2.78,0.04,,2.31,0.02,,3.01,0.12
,,2.78,0.04,,2.31,0.02,,3,0.12
,,2.77,0.04,,2.3,0.02,,3,0.12
,,2.77,0.04,,2.3,0.02,,2.99,0.13
,,2.76,0.04,,2.29,0.03,,2.99,0.13
,,2.76,0.04,,2.29,0.02,,2.99,0.13
,,2.76,0.03,,2.29,0.02,,2.98,0.13
,,2.75,0.03,,2.28,0.02,,2.98,0.13
,,2.75,0.03,,2.28,0.02,,2.97,0.13
,,2.75,0.03,,2.27,0.02,,2.97,0.13
,,2.74,0.03,,2.27,0.02,,2.97,0.13
,,2.74,0.03,,2.26,0.02,,2.96,0.13
,,2.73,0.03,,2.26,0.02,,2.96,0.13
,,2.73,0.03,,2.26,0.02,,2.96,0.13
,,2.73,0.03,,2.25,0.02,,2.95,0.13
,,2.72,0.03,,2.25,0.02,,2.95,0.13
,,2.72,0.03,,2.25,0.02,,2.94,0.13
,,2.71,0.03,,2.24,0.02,,2.94,0.13
,,2.71,0.03,,2.24,0.02,,2.94,0.12
,,2.71,0.03,,2.23,0.02,,2.93,0.12
,,2.7,0.03,,2.23,0.02,,2.93,0.12
,,2.7,0.03,,2.23,0.02,,2.92,0.12
,,2.69,0.03,,2.22,0.02,,2.92,0.12
,,2.69,0.03,,2.22,0.02,,2.92,0.12
,,2.69,0.03,,2.21,0.01,,2.91,0.11
,,2.68,0.02,,,,,2.91,0.11
,,2.68,0.02,,,,,2.9,0.11
,,2.67,0.02,,,,,2.9,0.11
,,2.67,0.02,,,,,2.9,0.11
,,2.67,0.02,,,,,2.89,0.11
,,2.66,0.02,,,,,2.89,0.1
,,2.66,0.02,,,,,2.88,0.1
,,2.65,0.02,,,,,2.88,0.1
,,2.65,0.02,,,,,2.88,0.1
,,2.65,0.02,,,,,2.87,0.1
,,2.64,0.02,,,,,2.87,0.09
,,2.64,0.02,,,,,2.86,0.09
,,2.63,0.02,,,,,2.86,0.09
,,2.63,0.02,,,,,2.86,0.09
,,2.63,0.02,,,,,2.85,0.08
,,2.62,0.02,,,,,2.85,0.08
,,2.62,0.02,,,,,2.84,0.08
,,2.61,0.02,,,,,2.84,0.08
,,2.61,0.02,,,,,2.84,0.07
,,2.61,0.02,,,,,2.83,0.07
,,2.6,0.02,,,,,2.83,0.07
,,2.6,0.02,,,,,2.82,0.06
,,2.59,0.02,,,,,2.82,0.06
,,2.59,0.02,,,,,2.82,0.06
,,2.59,0.02,,,,,2.81,0.06
,,2.58,0.02,,,,,2.81,0.05
,,2.58,0.02,,,,,2.8,0.05
,,2.57,0.02,,,,,2.8,0.05
,,2.57,0.02,,,,,2.8,0.05
,,2.57,0.02,,,,,2.79,0.04
,,2.56,0.03,,,,,2.79,0.04
,,2.56,0.03,,,,,2.78,0.04
,,2.56,0.03,,,,,2.78,0.04
,,2.55,0.03,,,,,2.78,0.04
,,2.55,0.03,,,,,2.77,0.04
,,2.54,0.03,,,,,2.77,0.04
,,2.54,0.03,,,,,2.76,0.04
,,2.54,0.03,,,,,2.76,0.03
,,2.53,0.03,,,,,2.76,0.03
,,2.53,0.03,,,,,2.75,0.03
,,2.52,0.03,,,,,2.75,0.03
,,2.52,0.03,,,,,2.75,0.03
,,2.51,0.03,,,,,2.74,0.03
,,2.51,0.03,,,,,2.74,0.03
,,2.51,0.03,,,,,2.73,0.03
,,2.5,0.03,,,,,2.73,0.03
,,2.5,0.03,,,,,2.73,0.03
,,2.5,0.03,,,,,2.72,0.03
,,2.49,0.03,,,,,2.72,0.02
,,2.49,0.03,,,,,2.71,0.02
,,2.48,0.03,,,,,2.71,0.02
,,2.48,0.03,,,,,2.71,0.02
,,2.48,0.03,,,,,2.7,0.02
,,2.47,0.03,,,,,2.7,0.02
,,2.47,0.03,,,,,2.69,0.02
,,2.46,0.03,,,,,2.69,0.02
,,2.46,0.03,,,,,2.69,0.02
,,2.45,0.03,,,,,2.68,0.02
,,2.45,0.03,,,,,2.68,0.02
,,2.45,0.03,,,,,2.67,0.02
,,2.44,0.03,,,,,2.67,0.02
,,2.44,0.03,,,,,2.67,0.02
,,2.44,0.03,,,,,2.66,0.02
,,2.43,0.03,,,,,2.66,0.02
,,2.43,0.03,,,,,2.65,0.02
,,2.42,0.02,,,,,2.65,0.02
,,2.42,0.02,,,,,2.65,0.02
,,2.42,0.02,,,,,2.64,0.01
,,2.41,0.02,,,,,2.64,0.01
,,2.41,0.02,,,,,2.63,0.01
,,2.4,0.02,,,,,2.63,0.01
,,2.4,0.02,,,,,2.63,0.01
,,2.4,0.02,,,,,2.62,0.01
,,2.39,0.02,,,,,2.62,0.01
,,2.39,0.02,,,,,2.61,0.01
,,2.38,0.02,,,,,2.61,0.01
,,2.38,0.02,,,,,2.61,0.01
,,2.38,0.02,,,,,2.6,0.01
,,2.37,0.02,,,,,2.6,0.01
,,2.37,0.02,,,,,2.59,0.02
,,2.36,0.02,,,,,2.59,0.02
