Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,5.8,0,,5.33,0.02,,6.03,0
,,5.8,0,,5.33,0.02,,6.03,0
,,5.8,0,,5.33,0.03,,6.02,0
,,5.79,0,,5.32,0.03,,6.02,0
,,5.79,0,,5.32,0.03,,6.01,0
,,5.78,0,,5.31,0.03,,6.01,0
,,5.78,0,,5.31,0.03,,6.01,0
,,5.78,0,,5.31,0.03,,6,0
,,5.77,0,,5.3,0.03,,6,0
,,5.77,0,,5.3,0.03,,6,0
,,5.77,0,,5.29,0.03,,5.99,0
,,5.76,0,,5.29,0.04,,5.99,0
,,5.76,0,,5.29,0.04,,5.98,0
,,5.75,0,,5.28,0.04,,5.98,0
,,5.75,0,,5.28,0.04,,5.98,0
,,5.75,0,,5.27,0.04,,5.97,0
,,5.74,0,,5.27,0.04,,5.97,0
,,5.74,0,,5.27,0.04,,5.96,0
,,5.73,0,,5.26,0.05,,5.96,0
,,5.73,0,,5.26,0.05,,5.96,0
,,5.73,0,,5.25,0.05,,5.95,0
,,5.72,0,,5.25,0.05,,5.95,0
,,5.72,0,,5.25,0.05,,5.94,0
,,5.71,0,,5.24,0.05,,5.94,0
,,5.71,0,,5.24,0.06,,5.94,0
,,5.71,0,,5.23,0.06,,5.93,0
,,5.7,0,,5.23,0.06,,5.93,0
,,5.7,0,,5.23,0.06,,5.92,0
,,5.69,0,,5.22,0.06,,5.92,0
,,5.69,0,,5.22,0.07,,5.92,0
,,5.69,0,,5.21,0.07,,5.91,0
,,5.68,0,,5.21,0.07,,5.91,0
,,5.68,0,,5.21,0.07,,5.9,0
,,5.67,0,,5.2,0.08,,5.9,0
,,5.67,0,,5.2,0.08,,5.9,0
,,5.67,0,,5.19,0.08,,5.89,0
,,5.66,0,,5.19,0.08,,5.89,0
,,5.66,0,,5.19,0.09,,5.88,0
,,5.65,0,,5.18,0.09,,5.88,0
,,5.65,0,,5.18,0.09,,5.88,0
,,5.65,0,,5.17,0.09,,5.87,0
,,5.64,0,,5.17,0.1,,5.87,0
,,5.64,0,,5.17,0.1,,5.86,0
,,5.63,0,,5.16,0.1,,5.86,0
,,5.63,0,,5.16,0.11,,5.86,0
,,5.63,0,,5.15,0.11,,5.85,0
,,5.62,0,,5.15,0.11,,5.85,0
,,5.62,0,,5.15,0.12,,5.84,0
,,5.61,0,,5.14,0.12,,5.84,0
,,5.61,0,,5.14,0.12,,5.84,0
,,5.61,0,,5.13,0.13,,5.83,0
,,5.6,0,,5.13,0.13,,5.83,0
,,5.6,0,,5.13,0.13,,5.82,0
,,5.59,0,,5.12,0.14,,5.82,0
,,5.59,0,,5.12,0.14,,5.82,0
,,5.59,0,,5.12,0.14,,5.81,0
,,5.58,0,,5.11,0.15,,5.81,0
,,5.58,0,,5.11,0.15,,5.8,0
,,5.57,0,,5.1,0.16,,5.8,0
,,5.57,0,,5.1,0.16,,5.8,0
,,5.57,0,,5.1,0.16,,5.79,0
,,5.56,0,,5.09,0.17,,5.79,0
,,5.56,0,,5.09,0.17,,5.78,0
,,5.56,0,,5.08,0.18,,5.78,0
,,5.55,0,,5.08,0.18,,5.78,0
,,5.55,0,,5.08,0.19,,5.77,0
,,5.54,0,,5.07,0.19,,5.77,0
,,5.54,0,,5.07,0.2,,5.77,0
,,5.54,0,,5.06,0.2,,5.76,0
,,5.53,0,,5.06,0.21,,5.76,0
,,5.53,0,,5.06,0.21,,5.75,0
,,5.52,0,,5.05,0.22,,5.75,0
,,5.52,0,,5.05,0.22,,5.75,0
,,5.52,0,,5.04,0.23,,5.74,0
,,5.51,0,,5.04,0.23,,5.74,0
,,5.51,0,,5.04,0.24,,5.73,0
,,5.5,0,,5.03,0.24,,5.73,0
,,5.5,0,,5.03,0.25,,5.73,0
,,5.5,0,,5.02,0.25,,5.72,0
