Machine Name,Lloyd LRX ,P40 Undamaged,1,,,2,,,3,,,4,,,P40 20 min healing,1,,,2,,,3,,,P40 1 hr healing,1,,,2,,,3,,,4,,,P40 3 hr healing,1,,,2,,,3,,,4,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,,-2.29,0,,-5.72,0,,-1.1,0,,,-1.12,0,,-0.57,0,,-0.28,0,,-4.59,0,,,-0.62,0,,-3.11,0,,-0.38,0,,-8.26,0
,,,18.96,0.15,,316.2,0.34,,23.86,0.17,,15.36,0.12,,,9.29,0.13,,4.4,0.03,,10.2,0.08,,,16.54,0.16,,18.36,0.15,,7.44,0.08,,-2.04,0.01,,,7.52,0.1,,14.3,0.16,,21.61,0.17,,4.6,0.04
,,,20.78,0.15,,333.94,0.34,,26.02,0.18,,17.18,0.13,,,10.58,0.14,,5.66,0.04,,11.64,0.09,,,18.19,0.17,,20.03,0.15,,8.53,0.08,,-0.59,0.01,,,9.13,0.12,,15.95,0.16,,23.48,0.17,,6.27,0.05
,,,22.6,0.16,,351.69,0.34,,28.19,0.19,,19.05,0.14,,,11.87,0.14,,6.96,0.05,,12.96,0.1,,,19.8,0.18,,21.64,0.16,,9.64,0.09,,0.95,0.01,,,10.84,0.13,,17.67,0.17,,25.35,0.18,,7.93,0.06
,,,24.36,0.16,,369.43,0.34,,30.34,0.2,,20.87,0.14,,,13.15,0.15,,8.21,0.06,,14.4,0.1,,,21.38,0.18,,23.25,0.16,,10.73,0.09,,2.46,0.01,,,12.42,0.13,,19.36,0.18,,27.18,0.18,,9.59,0.07
,,,26.15,0.17,,387.18,0.35,,32.51,0.2,,22.7,0.15,,,14.46,0.16,,9.53,0.06,,15.76,0.11,,,23.04,0.19,,24.9,0.17,,11.82,0.1,,3.9,0.02,,,14.09,0.14,,21.01,0.18,,29.06,0.19,,11.28,0.08
,,,27.97,0.17,,404.92,0.35,,34.7,0.21,,24.58,0.16,,,15.74,0.17,,10.77,0.07,,17.15,0.11,,,24.62,0.2,,26.58,0.18,,12.92,0.1,,5.41,0.02,,,15.75,0.15,,22.76,0.19,,30.96,0.2,,12.94,0.09
,,,29.78,0.18,,422.67,0.35,,36.84,0.21,,26.4,0.16,,,17.06,0.18,,12.09,0.08,,18.55,0.11,,,26.22,0.2,,28.18,0.18,,13.99,0.1,,7,0.02,,,17.35,0.16,,24.45,0.2,,32.78,0.2,,14.63,0.1
,,,31.53,0.18,,440.41,0.35,,39.03,0.22,,28.23,0.17,,,18.31,0.18,,13.31,0.08,,19.89,0.12,,,27.86,0.21,,29.81,0.19,,15.12,0.11,,8.49,0.03,,,19.04,0.17,,26.11,0.2,,34.64,0.21,,16.3,0.11
,,,33.36,0.18,,458.16,0.35,,41.21,0.22,,30.08,0.18,,,19.63,0.19,,14.63,0.09,,21.32,0.12,,,29.43,0.21,,31.47,0.19,,16.18,0.11,,9.91,0.03,,,20.66,0.17,,27.82,0.21,,36.5,0.21,,17.99,0.11
,,,35.11,0.19,,475.9,0.35,,43.38,0.22,,31.93,0.18,,,20.88,0.19,,15.9,0.1,,22.67,0.13,,,31.06,0.21,,33.12,0.19,,17.34,0.11,,11.52,0.04,,,22.27,0.18,,29.47,0.22,,38.36,0.21,,19.66,0.12
,,,36.87,0.19,,493.65,0.35,,45.54,0.23,,33.77,0.19,,,22.22,0.2,,17.18,0.1,,24.1,0.13,,,32.7,0.22,,34.76,0.19,,18.38,0.11,,13.07,0.04,,,24,0.18,,31.19,0.22,,40.23,0.21,,21.38,0.12
,,,38.68,0.2,,511.39,0.35,,47.71,0.23,,35.62,0.19,,,23.47,0.2,,18.43,0.11,,25.44,0.14,,,34.3,0.22,,36.4,0.2,,19.52,0.12,,14.53,0.05,,,25.53,0.19,,32.92,0.23,,42.09,0.22,,23.02,0.13
,,,40.48,0.2,,529.14,0.35,,49.87,0.24,,37.46,0.19,,,24.79,0.21,,19.76,0.11,,26.87,0.14,,,35.9,0.23,,38.04,0.2,,20.59,0.12,,16.07,0.05,,,27.23,0.19,,34.63,0.24,,43.96,0.22,,24.72,0.13
,,,42.28,0.21,,546.89,0.35,,52.04,0.24,,39.3,0.2,,,26.05,0.21,,20.99,0.12,,28.21,0.14,,,37.51,0.23,,39.68,0.2,,21.71,0.12,,17.63,0.06,,,28.87,0.2,,36.34,0.24,,45.82,0.22,,26.38,0.13
,,,44.08,0.21,,564.59,0.35,,54.2,0.24,,41.15,0.2,,,27.39,0.22,,22.31,0.12,,29.63,0.14,,,39.12,0.24,,41.33,0.21,,22.81,0.13,,19.06,0.06,,,30.49,0.2,,38.04,0.24,,47.69,0.23,,28.11,0.14
,,,45.88,0.21,,582.27,0.36,,56.37,0.25,,42.99,0.2,,,28.62,0.23,,23.53,0.13,,31,0.15,,,40.73,0.24,,42.97,0.21,,23.88,0.13,,20.58,0.07,,,32.19,0.21,,39.74,0.25,,49.55,0.23,,29.75,0.14
,,,47.68,0.22,,600.02,0.36,,58.54,0.25,,44.83,0.21,,,29.92,0.23,,24.87,0.13,,32.38,0.15,,,42.34,0.24,,44.6,0.21,,24.99,0.13,,22.16,0.07,,,33.81,0.21,,41.44,0.25,,51.42,0.23,,31.46,0.14
,,,49.49,0.22,,617.76,0.36,,60.7,0.26,,46.68,0.21,,,31.21,0.24,,26.09,0.13,,33.75,0.15,,,43.96,0.25,,46.24,0.22,,26.07,0.13,,23.58,0.08,,,35.45,0.22,,43.15,0.25,,53.28,0.24,,33.1,0.15
,,,51.29,0.23,,635.51,0.36,,62.87,0.26,,48.52,0.21,,,32.5,0.24,,27.38,0.14,,35.12,0.15,,,45.57,0.25,,47.87,0.22,,27.18,0.13,,25.11,0.08,,,37.17,0.22,,44.84,0.25,,55.15,0.24,,34.82,0.15
,,,53.09,0.23,,653.25,0.36,,65.03,0.27,,50.37,0.22,,,33.79,0.24,,28.68,0.14,,36.48,0.15,,,47.18,0.26,,49.51,0.22,,28.27,0.14,,26.67,0.08,,,38.75,0.23,,46.54,0.26,,57.01,0.24,,36.46,0.15
,,,54.89,0.23,,670.97,0.36,,67.2,0.27,,52.21,0.22,,,35.08,0.24,,29.96,0.14,,37.9,0.16,,,48.79,0.26,,51.14,0.22,,29.39,0.14,,28.13,0.09,,,40.43,0.23,,48.23,0.26,,58.88,0.24,,38.12,0.16
,,,56.69,0.23,,688.79,0.36,,69.36,0.27,,54.05,0.23,,,36.37,0.25,,31.24,0.15,,39.28,0.16,,,50.4,0.26,,52.77,0.23,,30.5,0.14,,29.61,0.09,,,42.04,0.24,,49.92,0.26,,60.74,0.25,,39.8,0.16
,,,58.5,0.23,,706.53,0.36,,71.53,0.27,,55.9,0.23,,,37.66,0.25,,32.52,0.15,,40.67,0.16,,,52.01,0.27,,54.41,0.23,,31.59,0.14,,31.22,0.09,,,43.63,0.24,,51.62,0.27,,62.61,0.25,,41.48,0.16
,,,60.3,0.24,,724.28,0.36,,73.69,0.27,,57.74,0.23,,,38.95,0.25,,33.81,0.15,,42.05,0.2,,,53.62,0.27,,56.04,0.23,,32.72,0.14,,32.73,0.1,,,45.33,0.25,,53.31,0.27,,64.47,0.25,,43.15,0.17
,,,62.1,0.24,,742.02,0.36,,75.86,0.28,,59.58,0.23,,,40.24,0.25,,35.09,0.15,,43.44,0.2,,,55.23,0.27,,57.68,0.24,,33.83,0.14,,34.18,0.1,,,46.93,0.25,,55,0.27,,66.33,0.26,,44.83,0.17
,,,63.9,0.24,,759.76,0.36,,78.02,0.28,,61.43,0.23,,,41.52,0.26,,36.37,0.16,,44.82,0.2,,,56.84,0.27,,59.31,0.24,,34.94,0.14,,35.76,0.1,,,48.61,0.25,,56.69,0.28,,68.2,0.26,,46.5,0.17
,,,65.7,0.24,,777.49,0.37,,80.19,0.28,,63.27,0.23,,,42.81,0.26,,37.65,0.16,,46.21,0.2,,,58.45,0.27,,60.95,0.24,,36.03,0.15,,37.32,0.11,,,50.29,0.26,,58.39,0.28,,70.06,0.26,,48.18,0.18
,,,67.51,0.24,,795.23,0.37,,82.35,0.28,,65.11,0.24,,,44.1,0.26,,38.93,0.16,,47.59,0.21,,,60.07,0.28,,62.58,0.24,,37.12,0.15,,38.75,0.11,,,51.89,0.26,,60.08,0.28,,71.92,0.27,,49.85,0.18
,,,69.31,0.25,,812.97,0.37,,84.52,0.28,,66.96,0.24,,,45.39,0.26,,40.21,0.16,,48.98,0.21,,,61.68,0.28,,64.22,0.24,,38.22,0.15,,40.31,0.11,,,53.62,0.26,,61.77,0.28,,73.78,0.27,,51.53,0.18
,,,71.11,0.25,,830.69,0.36,,86.68,0.29,,68.8,0.24,,,46.68,0.27,,41.49,0.16,,50.36,0.21,,,63.29,0.28,,65.85,0.24,,39.32,0.15,,41.88,0.11,,,55.23,0.26,,63.46,0.29,,75.65,0.27,,53.2,0.18
,,,72.91,0.25,,848.42,0.36,,88.85,0.29,,70.64,0.24,,,47.97,0.27,,42.77,0.17,,51.75,0.21,,,64.9,0.28,,67.49,0.25,,40.42,0.15,,43.31,0.11,,,56.89,0.27,,65.16,0.29,,77.51,0.27,,54.88,0.19
,,,74.71,0.25,,866.17,0.36,,91.01,0.29,,72.49,0.24,,,49.26,0.27,,44.05,0.17,,53.14,0.21,,,66.51,0.29,,69.12,0.25,,41.52,0.15,,44.82,0.12,,,58.58,0.27,,66.85,0.29,,79.37,0.27,,56.55,0.19
,,,76.51,0.26,,883.92,0.36,,93.18,0.29,,74.33,0.24,,,50.54,0.27,,45.34,0.17,,54.52,0.21,,,68.12,0.29,,70.76,0.25,,42.62,0.15,,46.44,0.12,,,60.17,0.27,,68.54,0.29,,81.24,0.27,,58.23,0.19
,,,78.32,0.26,,901.66,0.36,,95.35,0.29,,76.17,0.24,,,51.83,0.28,,46.62,0.17,,55.91,0.21,,,69.73,0.29,,72.39,0.25,,43.72,0.15,,47.9,0.12,,,61.84,0.27,,70.24,0.29,,83.1,0.27,,59.9,0.19
,,,80.12,0.26,,919.41,0.36,,97.51,0.3,,78.02,0.24,,,53.12,0.28,,47.9,0.17,,57.29,0.22,,,71.34,0.29,,74.03,0.25,,44.82,0.16,,49.41,0.12,,,63.52,0.28,,71.93,0.3,,84.96,0.28,,61.58,0.19
,,,81.92,0.26,,937.15,0.36,,99.68,0.3,,79.86,0.25,,,54.41,0.28,,49.18,0.18,,58.68,0.22,,,72.95,0.29,,75.66,0.25,,45.92,0.16,,50.96,0.13,,,65.17,0.28,,73.62,0.3,,86.83,0.28,,63.25,0.19
,,,83.72,0.26,,954.9,0.36,,101.84,0.3,,81.7,0.25,,,55.7,0.28,,50.46,0.18,,60.06,0.22,,,74.57,0.3,,77.3,0.26,,47.02,0.16,,52.46,0.13,,,66.83,0.28,,75.31,0.3,,88.69,0.28,,64.93,0.19
,,,85.52,0.27,,972.64,0.36,,104.01,0.3,,83.55,0.25,,,56.99,0.29,,51.74,0.18,,61.45,0.22,,,76.18,0.3,,78.93,0.26,,48.12,0.16,,53.91,0.13,,,68.48,0.28,,77.01,0.3,,90.55,0.28,,66.6,0.2
,,,87.33,0.27,,990.39,0.36,,106.17,0.3,,85.39,0.25,,,58.27,0.29,,53.02,0.18,,62.83,0.22,,,77.79,0.3,,80.57,0.26,,49.22,0.16,,55.53,0.13,,,70.13,0.29,,78.7,0.3,,92.42,0.28,,68.28,0.2
,,,89.13,0.27,,1008.14,0.36,,108.34,0.31,,87.23,0.25,,,59.56,0.29,,54.3,0.18,,64.22,0.22,,,79.4,0.3,,82.2,0.26,,50.32,0.16,,57.01,0.13,,,71.78,0.29,,80.39,0.31,,94.28,0.28,,69.95,0.2
,,,90.93,0.27,,1025.89,0.36,,110.5,0.31,,89.08,0.25,,,60.85,0.29,,55.58,0.19,,65.6,0.22,,,81.01,0.31,,83.84,0.26,,51.43,0.16,,58.45,0.14,,,73.43,0.29,,82.09,0.31,,96.14,0.28,,71.63,0.2
,,,92.73,0.27,,1043.63,0.36,,112.67,0.31,,90.92,0.25,,,62.14,0.29,,56.86,0.19,,66.99,0.22,,,82.62,0.31,,85.47,0.26,,52.53,0.16,,59.95,0.14,,,75.08,0.29,,83.78,0.31,,98,0.29,,73.3,0.2
,,,94.53,0.27,,1061.38,0.36,,114.84,0.31,,92.76,0.25,,,63.43,0.3,,58.14,0.19,,68.37,0.22,,,84.23,0.31,,87.11,0.26,,53.63,0.17,,61.49,0.14,,,76.73,0.3,,85.47,0.31,,99.87,0.29,,74.98,0.2
,,,96.33,0.27,,1079.13,0.36,,117.01,0.31,,94.61,0.25,,,64.72,0.3,,59.42,0.19,,69.76,0.23,,,85.84,0.31,,88.74,0.27,,54.73,0.17,,63.04,0.14,,,78.38,0.3,,87.16,0.31,,101.73,0.29,,76.65,0.21
,,,98.13,0.28,,1096.91,0.36,,119.18,0.31,,96.45,0.26,,,66.01,0.3,,60.71,0.19,,71.14,0.23,,,87.46,0.31,,90.38,0.27,,55.83,0.17,,64.57,0.14,,,80.03,0.3,,88.86,0.32,,103.59,0.29,,78.33,0.21
,,,99.93,0.28,,1114.73,0.36,,121.34,0.31,,98.3,0.26,,,67.29,0.3,,61.99,0.19,,72.53,0.23,,,89.07,0.32,,92.01,0.27,,56.93,0.17,,66.11,0.14,,,81.68,0.3,,90.55,0.32,,105.46,0.29,,80,0.21
,,,101.73,0.28,,1132.47,0.36,,123.51,0.31,,100.14,0.26,,,68.58,0.3,,63.27,0.2,,73.91,0.23,,,90.68,0.32,,93.65,0.27,,58.03,0.17,,67.64,0.14,,,83.33,0.31,,92.24,0.32,,107.32,0.29,,81.68,0.21
,,,103.53,0.28,,1150.2,0.36,,125.68,0.31,,101.99,0.26,,,69.87,0.3,,64.55,0.2,,75.3,0.23,,,92.29,0.32,,95.28,0.27,,59.13,0.17,,69.14,0.15,,,84.98,0.31,,93.94,0.32,,109.18,0.29,,83.35,0.21
,,,105.33,0.28,,1167.93,0.36,,127.85,0.31,,103.83,0.26,,,71.16,0.3,,65.83,0.2,,76.69,0.23,,,93.9,0.32,,96.92,0.27,,60.23,0.17,,70.64,0.15,,,86.62,0.31,,95.63,0.32,,111.05,0.3,,85.03,0.21
,,,107.13,0.28,,1185.65,0.35,,130.02,0.31,,105.67,0.26,,,72.45,0.3,,67.11,0.2,,78.07,0.23,,,95.51,0.32,,98.55,0.27,,61.33,0.18,,72.15,0.15,,,88.27,0.31,,97.32,0.33,,112.91,0.3,,86.7,0.21
,,,108.93,0.28,,1203.38,0.35,,132.19,0.31,,107.52,0.26,,,73.74,0.3,,68.39,0.2,,79.46,0.23,,,97.12,0.32,,100.18,0.27,,62.43,0.18,,73.67,0.15,,,89.92,0.32,,99.01,0.33,,114.77,0.3,,88.38,0.22
,,,110.73,0.28,,1221.11,0.35,,134.36,0.31,,109.36,0.26,,,75.02,0.3,,69.67,0.2,,80.84,0.24,,,98.74,0.32,,101.82,0.27,,63.53,0.18,,75.18,0.15,,,91.57,0.32,,100.71,0.33,,116.64,0.3,,90.06,0.22
,,,112.53,0.28,,1238.85,0.35,,136.53,0.32,,111.21,0.26,,,76.31,0.31,,70.95,0.2,,82.23,0.24,,,100.35,0.32,,103.45,0.27,,64.63,0.18,,76.69,0.15,,,93.22,0.32,,102.4,0.32,,118.5,0.3,,91.73,0.22
,,,114.33,0.29,,1256.59,0.35,,138.7,0.32,,113.05,0.26,,,77.6,0.31,,72.23,0.2,,83.61,0.24,,,101.96,0.32,,105.09,0.27,,65.73,0.18,,78.2,0.15,,,94.87,0.32,,104.09,0.32,,120.36,0.3,,93.41,0.22
,,,116.13,0.29,,1274.33,0.36,,140.87,0.32,,114.9,0.27,,,78.89,0.31,,73.51,0.2,,84.99,0.24,,,103.57,0.33,,106.72,0.27,,66.83,0.18,,79.71,0.15,,,96.52,0.33,,105.79,0.33,,122.22,0.3,,95.08,0.22
,,,117.93,0.29,,1292.06,0.36,,143.04,0.32,,116.74,0.27,,,80.18,0.31,,74.8,0.2,,86.38,0.24,,,105.18,0.33,,108.36,0.27,,67.93,0.18,,81.22,0.15,,,98.17,0.33,,107.48,0.33,,124.09,0.3,,96.76,0.22
,,,119.73,0.29,,1309.78,0.36,,145.21,0.32,,118.58,0.27,,,81.47,0.31,,76.08,0.2,,87.76,0.24,,,106.79,0.33,,109.99,0.27,,69.03,0.18,,82.74,0.16,,,99.82,0.31,,109.17,0.33,,125.95,0.3,,98.43,0.22
,,,121.53,0.29,,1327.52,0.35,,147.37,0.32,,120.43,0.27,,,82.75,0.31,,77.36,0.21,,89.15,0.24,,,108.4,0.33,,111.63,0.27,,70.13,0.19,,84.25,0.16,,,101.46,0.31,,110.86,0.33,,127.81,0.3,,100.11,0.22
,,,123.33,0.29,,1345.26,0.35,,149.54,0.32,,122.27,0.27,,,84.04,0.31,,78.64,0.21,,90.53,0.24,,,110.02,0.33,,113.26,0.27,,71.23,0.19,,85.76,0.16,,,103.11,0.32,,112.56,0.33,,129.68,0.3,,101.78,0.23
,,,125.13,0.29,,1363,0.35,,151.71,0.32,,124.12,0.27,,,85.33,0.31,,79.92,0.21,,91.92,0.25,,,111.63,0.33,,114.9,0.27,,72.33,0.19,,87.27,0.16,,,104.76,0.32,,114.25,0.33,,131.54,0.31,,103.46,0.23
,,,126.93,0.29,,1380.75,0.35,,153.88,0.32,,125.96,0.27,,,86.62,0.31,,81.2,0.21,,93.3,0.25,,,113.24,0.33,,116.53,0.28,,73.43,0.19,,88.78,0.16,,,106.41,0.32,,115.94,0.33,,133.4,0.31,,105.13,0.23
,,,128.73,0.29,,1398.49,0.35,,156.05,0.32,,127.81,0.27,,,87.91,0.31,,82.48,0.21,,94.69,0.25,,,114.85,0.33,,118.17,0.28,,74.53,0.19,,90.29,0.16,,,108.06,0.32,,117.64,0.33,,135.26,0.31,,106.81,0.23
